county,candidate,precinct,office,district,party,votes
Lake,Eric Burnette,SILVER LAKE P-1,U.S. House,2,DEM,4
Lake,Eric Burnette,SUMMER LAKE P-2,U.S. House,2,DEM,1
Lake,Eric Burnette,PAISLEY P-3,U.S. House,2,DEM,2
Lake,Eric Burnette,CROOKED CREEK P-4,U.S. House,2,DEM,0
Lake,Eric Burnette,NORTH WARNER P-5,U.S. House,2,DEM,0
Lake,Eric Burnette,SOUTH WARNER P-6,U.S. House,2,DEM,0
Lake,Eric Burnette,NORTH LAKEVIEW P-7,U.S. House,2,DEM,2
Lake,Eric Burnette,SOUTH LAKEVIEW P-8,U.S. House,2,DEM,0
Lake,Eric Burnette,FREMONT P-9,U.S. House,2,DEM,1
Lake,Eric Burnette,GOOSE LAKE P-10,U.S. House,2,DEM,0
Lake,Eric Burnette,COGSWELL CREEK P-11,U.S. House,2,DEM,0
Lake,Eric Burnette,THOM.CRK. WESTSIDE P-12,U.S. House,2,DEM,2
Lake,Eric Burnette,CHRISTMAS VALLEY P-13,U.S. House,2,DEM,1
Lake,Eric Burnette,FORT ROCK P-14,U.S. House,2,DEM,1
Lake,Eric Burnette,WEST LAKEVIEW P-15,U.S. House,2,DEM,3
Lake,Eric Burnette,NEW PINE CREEK P-16,U.S. House,2,DEM,0
Lake,Eric Burnette,VALLEY FALLS PREC.  P-18,U.S. House,2,DEM,0
Lake,Eric Burnette,NO. CENTRAL LKVW.  P-20,U.S. House,2,DEM,0
Lake,Eric Burnette,SO. CENTRAL LKVW.   P-21,U.S. House,2,DEM,3
Lake,Eric Burnette,TOTAL,U.S. House,2,DEM,20
Lake,Michael Byrne,SILVER LAKE P-1,U.S. House,2,DEM,0
Lake,Michael Byrne,SUMMER LAKE P-2,U.S. House,2,DEM,0
Lake,Michael Byrne,PAISLEY P-3,U.S. House,2,DEM,2
Lake,Michael Byrne,CROOKED CREEK P-4,U.S. House,2,DEM,0
Lake,Michael Byrne,NORTH WARNER P-5,U.S. House,2,DEM,0
Lake,Michael Byrne,SOUTH WARNER P-6,U.S. House,2,DEM,0
Lake,Michael Byrne,NORTH LAKEVIEW P-7,U.S. House,2,DEM,0
Lake,Michael Byrne,SOUTH LAKEVIEW P-8,U.S. House,2,DEM,0
Lake,Michael Byrne,FREMONT P-9,U.S. House,2,DEM,2
Lake,Michael Byrne,GOOSE LAKE P-10,U.S. House,2,DEM,1
Lake,Michael Byrne,COGSWELL CREEK P-11,U.S. House,2,DEM,3
Lake,Michael Byrne,THOM.CRK. WESTSIDE P-12,U.S. House,2,DEM,3
Lake,Michael Byrne,CHRISTMAS VALLEY P-13,U.S. House,2,DEM,5
Lake,Michael Byrne,FORT ROCK P-14,U.S. House,2,DEM,0
Lake,Michael Byrne,WEST LAKEVIEW P-15,U.S. House,2,DEM,2
Lake,Michael Byrne,NEW PINE CREEK P-16,U.S. House,2,DEM,2
Lake,Michael Byrne,VALLEY FALLS PREC.  P-18,U.S. House,2,DEM,0
Lake,Michael Byrne,NO. CENTRAL LKVW.  P-20,U.S. House,2,DEM,2
Lake,Michael Byrne,SO. CENTRAL LKVW.   P-21,U.S. House,2,DEM,2
Lake,Michael Byrne,TOTAL,U.S. House,2,DEM,24
Lake,Tim White,SILVER LAKE P-1,U.S. House,2,DEM,0
Lake,Tim White,SUMMER LAKE P-2,U.S. House,2,DEM,1
