precinct,office,district,party,candidate,votes
Precinct 001,U.S. House,1,DEM,Ricky Barajas,7
Precinct 001,U.S. House,1,DEM,Suzanne Bonamici,265
Precinct 001,U.S. House,1,DEM,Michael E Stansfield,16
Precinct 001,U.S. House,1,DEM,Write-in,1
Precinct 001,U.S. House,1,IND,Write-in,6
Precinct 001,U.S. House,1,REP,John Verbeek,195
Precinct 001,U.S. House,1,REP,George Griffith,179
Precinct 001,U.S. House,1,REP,Preston L Miller,38
Precinct 001,U.S. House,1,REP,Write-in,2
Precinct 001,Governor,,DEM,Ed Jones,34
Precinct 001,Governor,,DEM,Kate Brown,219
Precinct 001,Governor,,DEM,Candace Neville,26
Precinct 001,Governor,,DEM,Write-in,9
Precinct 001,Governor,,IND,Dan Mr P Pistoresi,0
Precinct 001,Governor,,IND,Skye J Allen,4
Precinct 001,Governor,,IND,Patrick Starnes,7
Precinct 001,Governor,,IND,Write-in,17
Precinct 001,Governor,,REP,Knute Buehler,231
Precinct 001,Governor,,REP,Keenan W Bohach,0
Precinct 001,Governor,,REP,Greg C Wooldridge,119
Precinct 001,Governor,,REP,Jon I Edwards lll,1
Precinct 001,Governor,,REP,David W Stauffer,3
Precinct 001,Governor,,REP,Jeff Smith,11
Precinct 001,Governor,,REP,Jack W Tacy,0
Precinct 001,Governor,,REP,Brett Hyland,0
Precinct 001,Governor,,REP,Bruce Cuff,7
Precinct 001,Governor,,REP,Sam Carpenter,145
Precinct 001,Governor,,REP,Write-in,1
Precinct 001,State Senate,13,DEM,Paul Diller,167
Precinct 001,State Senate,13,DEM,Sarah Grider,95
Precinct 001,State Senate,13,DEM,Write-in,1
Precinct 001,State Senate,13,IND,Write-in,7
Precinct 001,State Senate,13,REP,Kim Thatcher,420
Precinct 001,State Senate,13,REP,Write-in,3
Precinct 001,State House,25,DEM,Dave McCall,160
Precinct 001,State House,25,DEM,Write-in,3
Precinct 001,State House,25,IND,Write-in,4
Precinct 001,State House,25,REP,Bill Post,415
Precinct 001,State House,25,REP,Write-in,4
Precinct 001,Commissioner of the Bureau of Labor and Industries,,,Lou Ogden,426
Precinct 001,Commissioner of the Bureau of Labor and Industries,,,Val Hoyle,314
Precinct 001,Commissioner of the Bureau of Labor and Industries,,,Jack Howard,82
Precinct 001,Commissioner of the Bureau of Labor and Industries,,,Write-in,3
Precinct 001,"Judge of the Supreme Court, Position 3",,REP,Van Pounds,263
Precinct 001,"Judge of the Supreme Court, Position 3",,REP,Meagan A Flynn,502
Precinct 001,"Judge of the Supreme Court, Position 3",,REP,Write-in,2
Precinct 001,"Judge of the Supreme Court, Position 2",,REP,Rebecca Duncan,539
Precinct 001,"Judge of the Supreme Court, Position 2",,REP,Write-in,7
Precinct 001,"Judge of the Court of Appeals, Position 10",,REP,Rex Armstrong,470
Precinct 001,"Judge of the Court of Appeals, Position 10",,REP,Kyle L Krohn,269
Precinct 001,"Judge of the Court of Appeals, Position 10",,REP,Write-in,0
Precinct 001,"Judge of the Court of Appeals, Position 6",,REP,James  Jim C Egan,512
Precinct 001,"Judge of the Court of Appeals, Position 6",,REP,Write-in,6
Precinct 001,"Judge of the Court of Appeals, Position 9",,REP,Erika Hadlock,475
Precinct 001,"Judge of the Court of Appeals, Position 9",,REP,Write-in,4
Precinct 001,"Judge of the Circuit Court, 25th District, Position 2",,REP,Mark Pihl,145
Precinct 001,"Judge of the Circuit Court, 25th District, Position 2",,REP,J Mark Lawrence,127
Precinct 001,"Judge of the Circuit Court, 25th District, Position 2",,REP,Lisl Miller,273
Precinct 001,"Judge of the Circuit Court, 25th District, Position 2",,REP,Jennifer Chapman,154
Precinct 001,"Judge of the Circuit Court, 25th District, Position 2",,REP,Carol J Fredrick,66
Precinct 001,"Judge of the Circuit Court, 25th District, Position 2",,REP,Write-in,1
Precinct 002,U.S. House,1,DEM,Ricky Barajas,15
Precinct 002,U.S. House,1,DEM,Suzanne Bonamici,378
Precinct 002,U.S. House,1,DEM,Michael E Stansfield,18
Precinct 002,U.S. House,1,DEM,Write-in,2
Precinct 002,U.S. House,1,IND,Write-in,14
Precinct 002,U.S. House,1,REP,John Verbeek,254
Precinct 002,U.S. House,1,REP,George Griffith,190
Precinct 002,U.S. House,1,REP,Preston L Miller,41
Precinct 002,U.S. House,1,REP,Write-in,4
Precinct 002,Governor,,DEM,Ed Jones,45
Precinct 002,Governor,,DEM,Kate Brown,339
Precinct 002,Governor,,DEM,Candace Neville,37
Precinct 002,Governor,,DEM,Write-in,10
Precinct 002,Governor,,IND,Dan Mr P Pistoresi,2
Precinct 002,Governor,,IND,Skye J Allen,6
Precinct 002,Governor,,IND,Patrick Starnes,14
Precinct 002,Governor,,IND,Write-in,26
Precinct 002,Governor,,REP,Knute Buehler,260
Precinct 002,Governor,,REP,Keenan W Bohach,3
Precinct 002,Governor,,REP,Greg C Wooldridge,157
Precinct 002,Governor,,REP,Jon I Edwards lll,0
Precinct 002,Governor,,REP,David W Stauffer,6
Precinct 002,Governor,,REP,Jeff Smith,7
Precinct 002,Governor,,REP,Jack W Tacy,1
Precinct 002,Governor,,REP,Brett Hyland,1
Precinct 002,Governor,,REP,Bruce Cuff,15
Precinct 002,Governor,,REP,Sam Carpenter,152
Precinct 002,Governor,,REP,Write-in,2
Precinct 002,State Senate,13,DEM,Paul Diller,195
Precinct 002,State Senate,13,DEM,Sarah Grider,196
Precinct 002,State Senate,13,DEM,Write-in,1
Precinct 002,State Senate,13,IND,Write-in,13
Precinct 002,State Senate,13,REP,Kim Thatcher,476
Precinct 002,State Senate,13,REP,Write-in,5
Precinct 002,State House,25,DEM,Dave McCall,266
Precinct 002,State House,25,DEM,Write-in,7
Precinct 002,State House,25,IND,Write-in,14
Precinct 002,State House,25,REP,Bill Post,480
Precinct 002,State House,25,REP,Write-in,3
Precinct 002,Commissioner of the Bureau of Labor and Industries,,,Lou Ogden,506
Precinct 002,Commissioner of the Bureau of Labor and Industries,,,Val Hoyle,461
Precinct 002,Commissioner of the Bureau of Labor and Industries,,,Jack Howard,121
Precinct 002,Commissioner of the Bureau of Labor and Industries,,,Write-in,3
Precinct 002,"Judge of the Supreme Court, Position 3",,REP,Van Pounds,321
Precinct 002,"Judge of the Supreme Court, Position 3",,REP,Meagan A Flynn,721
Precinct 002,"Judge of the Supreme Court, Position 3",,REP,Write-in,2
Precinct 002,"Judge of the Supreme Court, Position 2",,REP,Rebecca Duncan,804
Precinct 002,"Judge of the Supreme Court, Position 2",,REP,Write-in,11
Precinct 002,"Judge of the Court of Appeals, Position 10",,REP,Rex Armstrong,587
Precinct 002,"Judge of the Court of Appeals, Position 10",,REP,Kyle L Krohn,410
Precinct 002,"Judge of the Court of Appeals, Position 10",,REP,Write-in,2
Precinct 002,"Judge of the Court of Appeals, Position 6",,REP,James  Jim C Egan,777
