precinct,office,district,party,candidate,votes
1,President,,D,Barack Obama,34
3,President,,D,Barack Obama,168
4,President,,D,Barack Obama,50
5,President,,D,Barack Obama,301
6,President,,D,Barack Obama,199
7,President,,D,Barack Obama,100
8,President,,D,Barack Obama,162
9,President,,D,Barack Obama,235
10,President,,D,Barack Obama,210
11,President,,D,Barack Obama,248
12,President,,D,Barack Obama,94
13,President,,D,Barack Obama,76
14,President,,D,Barack Obama,100
15,President,,D,Barack Obama,145
16,President,,D,Barack Obama,367
17,President,,D,Barack Obama,460
18,President,,D,Barack Obama,162
19,President,,D,Barack Obama,215
20,President,,D,Barack Obama,115
21,President,,D,Barack Obama,86
22,President,,D,Barack Obama,152
24,President,,D,Barack Obama,163
25,President,,D,Barack Obama,148
26,President,,D,Barack Obama,259
27,President,,D,Barack Obama,89
2,President,,D,Barack Obama,130
23,President,,D,Barack Obama,157
1,President,,G,Jill Stein,0
3,President,,G,Jill Stein,0
4,President,,G,Jill Stein,1
5,President,,G,Jill Stein,5
6,President,,G,Jill Stein,4
7,President,,G,Jill Stein,5
8,President,,G,Jill Stein,3
9,President,,G,Jill Stein,6
10,President,,G,Jill Stein,1
11,President,,G,Jill Stein,5
12,President,,G,Jill Stein,1
13,President,,G,Jill Stein,2
14,President,,G,Jill Stein,5
15,President,,G,Jill Stein,1
16,President,,G,Jill Stein,9
17,President,,G,Jill Stein,11
18,President,,G,Jill Stein,2
19,President,,G,Jill Stein,2
20,President,,G,Jill Stein,8
21,President,,G,Jill Stein,2
22,President,,G,Jill Stein,4
24,President,,G,Jill Stein,2
25,President,,G,Jill Stein,1
26,President,,G,Jill Stein,9
27,President,,G,Jill Stein,1
2,President,,G,Jill Stein,5
23,President,,G,Jill Stein,3
1,President,,J,Rocky Anderson,0
3,President,,J,Rocky Anderson,0
4,President,,J,Rocky Anderson,0
5,President,,J,Rocky Anderson,2
6,President,,J,Rocky Anderson,0
7,President,,J,Rocky Anderson,0
8,President,,J,Rocky Anderson,0
9,President,,J,Rocky Anderson,2
10,President,,J,Rocky Anderson,0
11,President,,J,Rocky Anderson,4
12,President,,J,Rocky Anderson,0
13,President,,J,Rocky Anderson,0
14,President,,J,Rocky Anderson,1
15,President,,J,Rocky Anderson,0
16,President,,J,Rocky Anderson,1
17,President,,J,Rocky Anderson,3
18,President,,J,Rocky Anderson,2
19,President,,J,Rocky Anderson,0
20,President,,J,Rocky Anderson,1
21,President,,J,Rocky Anderson,0
22,President,,J,Rocky Anderson,0
24,President,,J,Rocky Anderson,0
25,President,,J,Rocky Anderson,4
26,President,,J,Rocky Anderson,1
27,President,,J,Rocky Anderson,0
2,President,,J,Rocky Anderson,1
23,President,,J,Rocky Anderson,0
1,President,,L,Gary Johnson,2
3,President,,L,Gary Johnson,3
4,President,,L,Gary Johnson,6
5,President,,L,Gary Johnson,11
6,President,,L,Gary Johnson,5
7,President,,L,Gary Johnson,2
8,President,,L,Gary Johnson,2
9,President,,L,Gary Johnson,11
10,President,,L,Gary Johnson,4
11,President,,L,Gary Johnson,16
12,President,,L,Gary Johnson,3
13,President,,L,Gary Johnson,5
14,President,,L,Gary Johnson,2
15,President,,L,Gary Johnson,6
16,President,,L,Gary Johnson,7
17,President,,L,Gary Johnson,18
18,President,,L,Gary Johnson,6
19,President,,L,Gary Johnson,7
20,President,,L,Gary Johnson,7
21,President,,L,Gary Johnson,6
22,President,,L,Gary Johnson,7
24,President,,L,Gary Johnson,4
25,President,,L,Gary Johnson,7
26,President,,L,Gary Johnson,12
27,President,,L,Gary Johnson,5
2,President,,L,Gary Johnson,9
23,President,,L,Gary Johnson,3
1,President,,R,Mitt Romney,34
3,President,,R,Mitt Romney,200
4,President,,R,Mitt Romney,107
5,President,,R,Mitt Romney,241
6,President,,R,Mitt Romney,175
7,President,,R,Mitt Romney,84
8,President,,R,Mitt Romney,248
9,President,,R,Mitt Romney,410
