county,precinct,office,district,candidate,votes
Morrow,Boardman #1,U.S. Senate,,Jim Huffman,351
Morrow,Irrigon #2,U.S. Senate,,Jim Huffman,471
Morrow,Lexington #3,U.S. Senate,,Jim Huffman,176
Morrow,Ione #4,U.S. Senate,,Jim Huffman,189
Morrow,Heppner #5,U.S. Senate,,Jim Huffman,463
Morrow,Boardman #1,U.S. Senate,,Rick Staggenborg,4
Morrow,Irrigon #2,U.S. Senate,,Rick Staggenborg,5
Morrow,Lexington #3,U.S. Senate,,Rick Staggenborg,0
Morrow,Ione #4,U.S. Senate,,Rick Staggenborg,0
Morrow,Heppner #5,U.S. Senate,,Rick Staggenborg,5
Morrow,Boardman #1,U.S. Senate,,Ron Wyden,312
Morrow,Irrigon #2,U.S. Senate,,Ron Wyden,422
Morrow,Lexington #3,U.S. Senate,,Ron Wyden,79
Morrow,Ione #4,U.S. Senate,,Ron Wyden,131
Morrow,Heppner #5,U.S. Senate,,Ron Wyden,428
Morrow,Boardman #1,U.S. Senate,,Marc Delphine,14
Morrow,Irrigon #2,U.S. Senate,,Marc Delphine,27
Morrow,Lexington #3,U.S. Senate,,Marc Delphine,3
Morrow,Ione #4,U.S. Senate,,Marc Delphine,1
Morrow,Heppner #5,U.S. Senate,,Marc Delphine,8
Morrow,Boardman #1,U.S. Senate,,Bruce Cronk,17
Morrow,Irrigon #2,U.S. Senate,,Bruce Cronk,37
Morrow,Lexington #3,U.S. Senate,,Bruce Cronk,5
Morrow,Ione #4,U.S. Senate,,Bruce Cronk,3
Morrow,Heppner #5,U.S. Senate,,Bruce Cronk,13
Morrow,Boardman #1,U.S. Senate,,Write-ins,1
Morrow,Irrigon #2,U.S. Senate,,Write-ins,2
Morrow,Lexington #3,U.S. Senate,,Write-ins,0
Morrow,Ione #4,U.S. Senate,,Write-ins,0
Morrow,Heppner #5,U.S. Senate,,Write-ins,1
Morrow,Boardman #1,U.S. Senate,,Over Votes,0
Morrow,Irrigon #2,U.S. Senate,,Over Votes,0
Morrow,Lexington #3,U.S. Senate,,Over Votes,0
Morrow,Ione #4,U.S. Senate,,Over Votes,0
Morrow,Heppner #5,U.S. Senate,,Over Votes,0
Morrow,Boardman #1,U.S. Senate,,Under Votes,14
Morrow,Irrigon #2,U.S. Senate,,Under Votes,6
Morrow,Lexington #3,U.S. Senate,,Under Votes,9
Morrow,Ione #4,U.S. Senate,,Under Votes,7
Morrow,Heppner #5,U.S. Senate,,Under Votes,19
Morrow,Boardman #1,U.S. House,2,Joyce B. Segers,124
Morrow,Irrigon #2,U.S. House,2,Joyce B. Segers,228
Morrow,Lexington #3,U.S. House,2,Joyce B. Segers,26
Morrow,Ione #4,U.S. House,2,Joyce B. Segers,28
Morrow,Heppner #5,U.S. House,2,Joyce B. Segers,131
Morrow,Boardman #1,U.S. House,2,Greg Walden,566
Morrow,Irrigon #2,U.S. House,2,Greg Walden,726
Morrow,Lexington #3,U.S. House,2,Greg Walden,237
Morrow,Ione #4,U.S. House,2,Greg Walden,294
Morrow,Heppner #5,U.S. House,2,Greg Walden,770
Morrow,Boardman #1,U.S. House,2,Write-ins,2
Morrow,Irrigon #2,U.S. House,2,Write-ins,1
Morrow,Lexington #3,U.S. House,2,Write-ins,0
Morrow,Ione #4,U.S. House,2,Write-ins,0
Morrow,Heppner #5,U.S. House,2,Write-ins,5
Morrow,Boardman #1,U.S. House,2,Over Votes,0
Morrow,Irrigon #2,U.S. House,2,Over Votes,0
Morrow,Lexington #3,U.S. House,2,Over Votes,0
Morrow,Ione #4,U.S. House,2,Over Votes,0
Morrow,Heppner #5,U.S. House,2,Over Votes,0
Morrow,Boardman #1,U.S. House,2,Under Votes,21
Morrow,Irrigon #2,U.S. House,2,Under Votes,15
Morrow,Lexington #3,U.S. House,2,Under Votes,9
Morrow,Ione #4,U.S. House,2,Under Votes,9
Morrow,Heppner #5,U.S. House,2,Under Votes,31
Morrow,Boardman #1,Governor,,John Kitzhaber,220
Morrow,Irrigon #2,Governor,,John Kitzhaber,317
Morrow,Lexington #3,Governor,,John Kitzhaber,37
Morrow,Ione #4,Governor,,John Kitzhaber,58
Morrow,Heppner #5,Governor,,John Kitzhaber,218
Morrow,Boardman #1,Governor,,Greg Kord,33
Morrow,Irrigon #2,Governor,,Greg Kord,36
Morrow,Lexington #3,Governor,,Greg Kord,2
Morrow,Ione #4,Governor,,Greg Kord,2
Morrow,Heppner #5,Governor,,Greg Kord,14
Morrow,Boardman #1,Governor,,Wes Wagner,13
Morrow,Irrigon #2,Governor,,Wes Wagner,19
Morrow,Lexington #3,Governor,,Wes Wagner,4
Morrow,Ione #4,Governor,,Wes Wagner,1
Morrow,Heppner #5,Governor,,Wes Wagner,11
Morrow,Boardman #1,Governor,,Chris Dudley,437
Morrow,Irrigon #2,Governor,,Chris Dudley,587
Morrow,Lexington #3,Governor,,Chris Dudley,222
Morrow,Ione #4,Governor,,Chris Dudley,263
Morrow,Heppner #5,Governor,,Chris Dudley,675
Morrow,Boardman #1,Governor,,Write-ins,0
Morrow,Irrigon #2,Governor,,Write-ins,2
Morrow,Lexington #3,Governor,,Write-ins,0
Morrow,Ione #4,Governor,,Write-ins,0
Morrow,Heppner #5,Governor,,Write-ins,4
Morrow,Boardman #1,Governor,,Over Votes,0
Morrow,Irrigon #2,Governor,,Over Votes,0
Morrow,Lexington #3,Governor,,Over Votes,0
Morrow,Ione #4,Governor,,Over Votes,0
Morrow,Heppner #5,Governor,,Over Votes,0
Morrow,Boardman #1,Governor,,Under Votes,10
Morrow,Irrigon #2,Governor,,Under Votes,9
Morrow,Lexington #3,Governor,,Under Votes,7
Morrow,Ione #4,Governor,,Under Votes,7
Morrow,Heppner #5,Governor,,Under Votes,15
Morrow,Boardman #1,State Treasurer,,Walter F. (Walt) Brown,13
Morrow,Irrigon #2,State Treasurer,,Walter F. (Walt) Brown,38
Morrow,Lexington #3,State Treasurer,,Walter F. (Walt) Brown,2
Morrow,Ione #4,State Treasurer,,Walter F. (Walt) Brown,10
Morrow,Heppner #5,State Treasurer,,Walter F. (Walt) Brown,16
Morrow,Boardman #1,State Treasurer,,Chris Telfer,378
Morrow,Irrigon #2,State Treasurer,,Chris Telfer,521
Morrow,Lexington #3,State Treasurer,,Chris Telfer,173
Morrow,Ione #4,State Treasurer,,Chris Telfer,197
Morrow,Heppner #5,State Treasurer,,Chris Telfer,459
Morrow,Boardman #1,State Treasurer,,Ted Wheeler,228
Morrow,Irrigon #2,State Treasurer,,Ted Wheeler,313
Morrow,Lexington #3,State Treasurer,,Ted Wheeler,50
Morrow,Ione #4,State Treasurer,,Ted Wheeler,81
Morrow,Heppner #5,State Treasurer,,Ted Wheeler,298
Morrow,Boardman #1,State Treasurer,,Michael Marsh,37
Morrow,Irrigon #2,State Treasurer,,Michael Marsh,41
Morrow,Lexington #3,State Treasurer,,Michael Marsh,10
Morrow,Ione #4,State Treasurer,,Michael Marsh,5
Morrow,Heppner #5,State Treasurer,,Michael Marsh,32
Morrow,Boardman #1,State Treasurer,,Write-ins,0
Morrow,Irrigon #2,State Treasurer,,Write-ins,0
Morrow,Lexington #3,State Treasurer,,Write-ins,0
Morrow,Ione #4,State Treasurer,,Write-ins,0
Morrow,Heppner #5,State Treasurer,,Write-ins,0
Morrow,Boardman #1,State Treasurer,,Over Votes,0
Morrow,Irrigon #2,State Treasurer,,Over Votes,0
Morrow,Lexington #3,State Treasurer,,Over Votes,0
Morrow,Ione #4,State Treasurer,,Over Votes,0
Morrow,Heppner #5,State Treasurer,,Over Votes,1
Morrow,Boardman #1,State Treasurer,,Under Votes,57
Morrow,Irrigon #2,State Treasurer,,Under Votes,57
Morrow,Lexington #3,State Treasurer,,Under Votes,37
Morrow,Ione #4,State Treasurer,,Under Votes,38
Morrow,Heppner #5,State Treasurer,,Under Votes,131
Morrow,Boardman #1,State House,57,Greg Smith,540
Morrow,Irrigon #2,State House,57,Greg Smith,712
Morrow,Lexington #3,State House,57,Greg Smith,225
Morrow,Ione #4,State House,57,Greg Smith,256
Morrow,Heppner #5,State House,57,Greg Smith,768
Morrow,Boardman #1,State House,57,Jean A. Falbo,148
Morrow,Irrigon #2,State House,57,Jean A. Falbo,227
Morrow,Lexington #3,State House,57,Jean A. Falbo,32
Morrow,Ione #4,State House,57,Jean A. Falbo,52
Morrow,Heppner #5,State House,57,Jean A. Falbo,140
Morrow,Boardman #1,State House,57,Write-ins,2
Morrow,Irrigon #2,State House,57,Write-ins,1
Morrow,Lexington #3,State House,57,Write-ins,0
Morrow,Ione #4,State House,57,Write-ins,0
Morrow,Heppner #5,State House,57,Write-ins,3
Morrow,Boardman #1,State House,57,Over Votes,0
Morrow,Irrigon #2,State House,57,Over Votes,0
Morrow,Lexington #3,State House,57,Over Votes,0
Morrow,Ione #4,State House,57,Over Votes,0
Morrow,Heppner #5,State House,57,Over Votes,0
Morrow,Boardman #1,State House,57,Under Votes,23
Morrow,Irrigon #2,State House,57,Under Votes,30
Morrow,Lexington #3,State House,57,Under Votes,15
Morrow,Ione #4,State House,57,Under Votes,21
Morrow,Heppner #5,State House,57,Under Votes,26
