county,precinct,office,district,candidate,votes
Harney,Burns #21,President,,John F. Kery,369
Harney,Hines #25,President,,John F. Kery,224
Harney,Rural Harney #26,President,,John F. Kery,246
Harney,Burns #21,President,,David Cobb,6
Harney,Hines #25,President,,David Cobb,0
Harney,Rural Harney #26,President,,David Cobb,2
Harney,Burns #21,President,,Michael Peroutka,6
Harney,Hines #25,President,,Michael Peroutka,2
Harney,Rural Harney #26,President,,Michael Peroutka,2
Harney,Burns #21,President,,Michael Badnarik,6
Harney,Hines #25,President,,Michael Badnarik,2
Harney,Rural Harney #26,President,,Michael Badnarik,5
Harney,Burns #21,President,,George W. Bush,840
Harney,Hines #25,President,,George W. Bush,571
Harney,Rural Harney #26,President,,George W. Bush,1404
Harney,Burns #21,President,,Write-ins,7
Harney,Hines #25,President,,Write-ins,4
Harney,Rural Harney #26,President,,Write-ins,6
Harney,Burns #21,President,,Over Votes,2
Harney,Hines #25,President,,Over Votes,1
Harney,Rural Harney #26,President,,Over Votes,2
Harney,Burns #21,President,,Under Votes,9
Harney,Hines #25,President,,Under Votes,8
Harney,Rural Harney #26,President,,Under Votes,11
Harney,Burns #21,U.S. Senate,,Teresa Keane,21
Harney,Hines #25,U.S. Senate,,Teresa Keane,10
Harney,Rural Harney #26,U.S. Senate,,Teresa Keane,6
Harney,Burns #21,U.S. Senate,,Al King,494
Harney,Hines #25,U.S. Senate,,Al King,335
Harney,Rural Harney #26,U.S. Senate,,Al King,1031
Harney,Burns #21,U.S. Senate,,Dan Fitzgerald,14
Harney,Hines #25,U.S. Senate,,Dan Fitzgerald,15
Harney,Rural Harney #26,U.S. Senate,,Dan Fitzgerald,10
Harney,Burns #21,U.S. Senate,,Ron Wyden,666
Harney,Hines #25,U.S. Senate,,Ron Wyden,422
Harney,Rural Harney #26,U.S. Senate,,Ron Wyden,559
Harney,Burns #21,U.S. Senate,,David Brownlow,13
Harney,Hines #25,U.S. Senate,,David Brownlow,6
Harney,Rural Harney #26,U.S. Senate,,David Brownlow,13
Harney,Burns #21,U.S. Senate,,Write-ins,1
Harney,Hines #25,U.S. Senate,,Write-ins,0
Harney,Rural Harney #26,U.S. Senate,,Write-ins,0
Harney,Burns #21,U.S. Senate,,Over Votes,2
Harney,Hines #25,U.S. Senate,,Over Votes,0
Harney,Rural Harney #26,U.S. Senate,,Over Votes,1
Harney,Burns #21,U.S. Senate,,Under Votes,34
