county,candidate,precinct,votes,office,party,district
Lane,Barack Obama,0702 702,666,President,D,
Lane,Barack Obama,0704 704,176,President,D,
Lane,Barack Obama,0706 706,188,President,D,
Lane,Barack Obama,0708 708,424,President,D,
Lane,Barack Obama,0710 710,218,President,D,
Lane,Barack Obama,0712 712,292,President,D,
Lane,Barack Obama,0714 714,364,President,D,
Lane,Barack Obama,0716 716,293,President,D,
Lane,Barack Obama,0718 718,270,President,D,
Lane,Barack Obama,0720 720,409,President,D,
Lane,Barack Obama,0722 722,84,President,D,
Lane,Barack Obama,0724 724,59,President,D,
Lane,Barack Obama,0726 726,670,President,D,
Lane,Barack Obama,0728 728,311,President,D,
Lane,Barack Obama,0730 730,1025,President,D,
Lane,Barack Obama,0732 732,424,President,D,
Lane,Barack Obama,0734 734,85,President,D,
Lane,Barack Obama,0736 736,119,President,D,
Lane,Barack Obama,0738 738,424,President,D,
Lane,Barack Obama,0740 740,53,President,D,
Lane,Barack Obama,0742 742,218,President,D,
Lane,Barack Obama,0744 744,113,President,D,
Lane,Barack Obama,0746 746,488,President,D,
Lane,Barack Obama,0748 748,514,President,D,
Lane,Barack Obama,0750 750,105,President,D,
Lane,Barack Obama,0752 752,231,President,D,
Lane,Barack Obama,0754 754,160,President,D,
Lane,Barack Obama,0756 756,475,President,D,
Lane,Barack Obama,0758 758,287,President,D,
Lane,Barack Obama,0760 760,325,President,D,
Lane,Barack Obama,0762 762,279,President,D,
Lane,Barack Obama,0764 764,190,President,D,
Lane,Barack Obama,0766 766,87,President,D,
Lane,Barack Obama,1121,61,President,D,
Lane,Barack Obama,1123,393,President,D,
Lane,Barack Obama,1125,805,President,D,
Lane,Barack Obama,1127,1025,President,D,
Lane,Barack Obama,1129,996,President,D,
Lane,Barack Obama,1231,1037,President,D,
Lane,Barack Obama,1233,1113,President,D,
Lane,Barack Obama,1235,1297,President,D,
Lane,Barack Obama,1237,1013,President,D,
Lane,Barack Obama,1341,31,President,D,
Lane,Barack Obama,1343,105,President,D,
Lane,Barack Obama,1345,1049,President,D,
Lane,Barack Obama,1347,731,President,D,
Lane,Barack Obama,1349,54,President,D,
