county,precinct,office,party,district,candidate,votes
Wheeler,Fossil,President,D,,Hillary Clinton,59
Wheeler,Mitchell,President,D,,Hillary Clinton,37
Wheeler,Spray,President,D,,Hillary Clinton,18
Wheeler,Fossil,President,D,,Barack Obama,55
Wheeler,Mitchell,President,D,,Barack Obama,24
Wheeler,Spray,President,D,,Barack Obama,30
Wheeler,Fossil,President,D,,Write-ins,6
Wheeler,Mitchell,President,D,,Write-ins,2
Wheeler,Spray,President,D,,Write-ins,0
Wheeler,Fossil,President,D,,Over Votes,3
Wheeler,Mitchell,President,D,,Over Votes,0
Wheeler,Spray,President,D,,Over Votes,0
Wheeler,Fossil,President,D,,Under Votes,8
Wheeler,Mitchell,President,D,,Under Votes,5
Wheeler,Spray,President,D,,Under Votes,7
Wheeler,Fossil,U.S. Senate,D,,Paul Goberman,3
Wheeler,Mitchell,U.S. Senate,D,,Paul Goberman,4
Wheeler,Spray,U.S. Senate,D,,Paul Goberman,3
Wheeler,Fossil,U.S. Senate,D,,Jeff Merkley,51
Wheeler,Mitchell,U.S. Senate,D,,Jeff Merkley,31
Wheeler,Spray,U.S. Senate,D,,Jeff Merkley,15
Wheeler,Fossil,U.S. Senate,D,,Roger S. Obrist,7
Wheeler,Mitchell,U.S. Senate,D,,Roger S. Obrist,2
Wheeler,Spray,U.S. Senate,D,,Roger S. Obrist,1
Wheeler,Fossil,U.S. Senate,D,,David Loera,1
Wheeler,Mitchell,U.S. Senate,D,,David Loera,1
Wheeler,Spray,U.S. Senate,D,,David Loera,1
Wheeler,Fossil,U.S. Senate,D,,Candy Neville,4
Wheeler,Mitchell,U.S. Senate,D,,Candy Neville,3
Wheeler,Spray,U.S. Senate,D,,Candy Neville,7
Wheeler,Fossil,U.S. Senate,D,,Steve Novick,41
Wheeler,Mitchell,U.S. Senate,D,,Steve Novick,21
Wheeler,Spray,U.S. Senate,D,,Steve Novick,18
Wheeler,Fossil,U.S. Senate,D,,Write-ins,6
Wheeler,Mitchell,U.S. Senate,D,,Write-ins,2
Wheeler,Spray,U.S. Senate,D,,Write-ins,3
