candidate,office,party,incumbent,votes,county,district,chamber
"Lee, Jan","STATE REPRESENTATIVE, 10TH DISTRICT",REP,TRUE,12592,Clackamas,10,R
"Lee, Jan","STATE REPRESENTATIVE, 10TH DISTRICT",REP,TRUE,1554,Multnomah,10,R
"Smith, Mike","STATE REPRESENTATIVE, 10TH DISTRICT",DEM,FALSE,11790,Clackamas,10,R
"Smith, Mike","STATE REPRESENTATIVE, 10TH DISTRICT",DEM,FALSE,1768,Multnomah,10,R
Other,"STATE REPRESENTATIVE, 10TH DISTRICT",OTH,FALSE,8,Clackamas,10,R
Other,"STATE REPRESENTATIVE, 10TH DISTRICT",OTH,FALSE,10,Multnomah,10,R
"Nolan, Mary","STATE REPRESENTATIVE, 11TH DISTRICT",DEM,TRUE,18008,Multnomah,11,R
"Gardner, Joan","STATE REPRESENTATIVE, 11TH DISTRICT",REP,FALSE,7752,Multnomah,11,R
Other,"STATE REPRESENTATIVE, 11TH DISTRICT",OTH,FALSE,102,Multnomah,11,R
"Beck, Chris","STATE REPRESENTATIVE, 12TH DISTRICT",DEM,TRUE,18066,Multnomah,12,R
"Tabor, H. Joe","STATE REPRESENTATIVE, 12TH DISTRICT",LIB,FALSE,1320,Multnomah,12,R
"Schoel, Jeanne","STATE REPRESENTATIVE, 12TH DISTRICT",REP,FALSE,5383,Multnomah,12,R
Other,"STATE REPRESENTATIVE, 12TH DISTRICT",OTH,FALSE,97,Multnomah,12,R
"Gardner, Dan","STATE REPRESENTATIVE, 13TH DISTRICT",DEM,TRUE,15434,Multnomah,13,R
Other,"STATE REPRESENTATIVE, 13TH DISTRICT",OTH,FALSE,684,Multnomah,13,R
"McEnroe, John","STATE REPRESENTATIVE, 14TH DISTRICT",LIB,FALSE,2747,Multnomah,14,R
"Rosenbaum, Diane","STATE REPRESENTATIVE, 14TH DISTRICT",DEM,TRUE,19531,Multnomah,14,R
Other,"STATE REPRESENTATIVE, 14TH DISTRICT",OTH,FALSE,200,Multnomah,14,R
"March, Steve","STATE REPRESENTATIVE, 15TH DISTRICT",DEM,TRUE,14932,Multnomah,15,R
"Lutz, Scott","STATE REPRESENTATIVE, 15TH DISTRICT",REP,FALSE,5058,Multnomah,15,R
Other,"STATE REPRESENTATIVE, 15TH DISTRICT",OTH,FALSE,128,Multnomah,15,R
"Merkley, Jeff","STATE REPRESENTATIVE, 16TH DISTRICT",DEM,TRUE,14084,Multnomah,16,R
"Tillemans, David","STATE REPRESENTATIVE, 16TH DISTRICT",PAC,FALSE,2774,Multnomah,16,R
Other,"STATE REPRESENTATIVE, 16TH DISTRICT",OTH,FALSE,367,Multnomah,16,R
"Hansen, Gary D.","STATE REPRESENTATIVE, 17TH DISTRICT",DEM,TRUE,14859,Multnomah,17,R
"Albright, Thomas W.","STATE REPRESENTATIVE, 17TH DISTRICT",SOC,FALSE,1933,Multnomah,17,R
Other,"STATE REPRESENTATIVE, 17TH DISTRICT",OTH,FALSE,350,Multnomah,17,R
"Kafoury, Deborah","STATE REPRESENTATIVE, 18TH DISTRICT",DEM,TRUE,15748,Multnomah,18,R
"Stull, Barry Joe","STATE REPRESENTATIVE, 18TH DISTRICT",PAC,FALSE,2250,Multnomah,18,R
"Shipman, Roger","STATE REPRESENTATIVE, 18TH DISTRICT",CON,FALSE,640,Multnomah,18,R
"Guillebeau, Victoria P.","STATE REPRESENTATIVE, 18TH DISTRICT",SOC,FALSE,597,Multnomah,18,R
Other,"STATE REPRESENTATIVE, 18TH DISTRICT",OTH,FALSE,123,Multnomah,18,R
"Bowman, Jo Ann A.","STATE REPRESENTATIVE, 19TH DISTRICT",DEM,TRUE,18506,Multnomah,19,R
"Bitans, Ivars","STATE REPRESENTATIVE, 19TH DISTRICT",REP,FALSE,4281,Multnomah,19,R
Other,"STATE REPRESENTATIVE, 19TH DISTRICT",OTH,FALSE,100,Multnomah,19,R
"Ekstrom, Bob","STATE REPRESENTATIVE, 1ST DISTRICT",CON,FALSE,1402,Clatsop,1,R
"Ekstrom, Bob","STATE REPRESENTATIVE, 1ST DISTRICT",CON,FALSE,5966,Columbia,1,R
"Johnson, Elizabeth (Betsy)","STATE REPRESENTATIVE, 1ST DISTRICT",DEM,TRUE,3879,Clatsop,1,R
