county,precinct,office,district,candidate,votes
Wheeler,Fossil,U.S. Senate,,Gordon H. Smith,200
Wheeler,Mitchell,U.S. Senate,,Gordon H. Smith,149
Wheeler,Spray,U.S. Senate,,Gordon H. Smith,160
Wheeler,Fossil,U.S. Senate,,Jeff Merkley,110
Wheeler,Mitchell,U.S. Senate,,Jeff Merkley,58
Wheeler,Spray,U.S. Senate,,Jeff Merkley,44
Wheeler,Fossil,U.S. Senate,,Dave Brownlow,30
Wheeler,Mitchell,U.S. Senate,,Dave Brownlow,18
Wheeler,Spray,U.S. Senate,,Dave Brownlow,20
Wheeler,Fossil,U.S. Senate,,Write-ins,1
Wheeler,Mitchell,U.S. Senate,,Write-ins,1
Wheeler,Spray,U.S. Senate,,Write-ins,0
Wheeler,Fossil,U.S. Senate,,Over Votes,0
Wheeler,Mitchell,U.S. Senate,,Over Votes,0
Wheeler,Spray,U.S. Senate,,Over Votes,0
Wheeler,Fossil,U.S. Senate,,Under Votes,21
Wheeler,Mitchell,U.S. Senate,,Under Votes,9
Wheeler,Spray,U.S. Senate,,Under Votes,9
Wheeler,Fossil,President,,Ralph Nader,6
Wheeler,Mitchell,President,,Ralph Nader,4
Wheeler,Spray,President,,Ralph Nader,1
Wheeler,Fossil,President,,Cynthia McKinney,0
Wheeler,Mitchell,President,,Cynthia McKinney,0
Wheeler,Spray,President,,Cynthia McKinney,1
Wheeler,Fossil,President,,John McCain,184
Wheeler,Mitchell,President,,John McCain,144
Wheeler,Spray,President,,John McCain,170
Wheeler,Fossil,President,,Bob Barr,3
Wheeler,Mitchell,President,,Bob Barr,4
Wheeler,Spray,President,,Bob Barr,2
Wheeler,Fossil,President,,Chuck Baldwin,4
Wheeler,Mitchell,President,,Chuck Baldwin,0
Wheeler,Spray,President,,Chuck Baldwin,1
Wheeler,Fossil,President,,Barack Obama,152
Wheeler,Mitchell,President,,Barack Obama,75
Wheeler,Spray,President,,Barack Obama,54
Wheeler,Fossil,President,,Write-ins,3
Wheeler,Mitchell,President,,Write-ins,3
Wheeler,Spray,President,,Write-ins,1
Wheeler,Fossil,President,,Over Votes,0
Wheeler,Mitchell,President,,Over Votes,0
Wheeler,Spray,President,,Over Votes,0
Wheeler,Fossil,President,,Under Votes,10
Wheeler,Mitchell,President,,Under Votes,5
Wheeler,Spray,President,,Under Votes,3
Wheeler,Fossil,Secretary of State,,Kate Brown,134
Wheeler,Mitchell,Secretary of State,,Kate Brown,80
Wheeler,Spray,Secretary of State,,Kate Brown,50
Wheeler,Fossil,Secretary of State,,Seth Alan Woolley,7
Wheeler,Mitchell,Secretary of State,,Seth Alan Woolley,4
Wheeler,Spray,Secretary of State,,Seth Alan Woolley,3
Wheeler,Fossil,Secretary of State,,Rick Dancer,185
Wheeler,Mitchell,Secretary of State,,Rick Dancer,142
Wheeler,Spray,Secretary of State,,Rick Dancer,166
Wheeler,Fossil,Secretary of State,,Write-ins,0
Wheeler,Mitchell,Secretary of State,,Write-ins,1
Wheeler,Spray,Secretary of State,,Write-ins,0
Wheeler,Fossil,Secretary of State,,Over Votes,0
Wheeler,Mitchell,Secretary of State,,Over Votes,0
Wheeler,Spray,Secretary of State,,Over Votes,0
Wheeler,Fossil,Secretary of State,,Under Votes,36
Wheeler,Mitchell,Secretary of State,,Under Votes,8
Wheeler,Spray,Secretary of State,,Under Votes,14
Wheeler,Fossil,U.S. House,2,Richard D. Hake,8
Wheeler,Mitchell,U.S. House,2,Richard D. Hake,4
Wheeler,Spray,U.S. House,2,Richard D. Hake,9
Wheeler,Fossil,U.S. House,2,Tristin Mock,3
Wheeler,Mitchell,U.S. House,2,Tristin Mock,1
Wheeler,Spray,U.S. House,2,Tristin Mock,7
Wheeler,Fossil,U.S. House,2,Greg Walden,237
Wheeler,Mitchell,U.S. House,2,Greg Walden,180
Wheeler,Spray,U.S. House,2,Greg Walden,172
Wheeler,Fossil,U.S. House,2,Noah Lemas,88
Wheeler,Mitchell,U.S. House,2,Noah Lemas,45
Wheeler,Spray,U.S. House,2,Noah Lemas,28
Wheeler,Fossil,U.S. House,2,Write-ins,1
Wheeler,Mitchell,U.S. House,2,Write-ins,0
