county,precinct,office,district,candidate,votes
clackamas,001,President,,Barack Obama,1660
clackamas,001,President,,Jill Stein,32
clackamas,001,President,,Ross C. (Rocky) Anderson,7
clackamas,001,President,,Gary Johnson,34
clackamas,001,President,,Mitt Romney,1330
clackamas,001,President,,Will Christensen,6
clackamas,001,President,,Write-ins,23
clackamas,001,President,,Over Votes,3
clackamas,001,President,,Under Votes,42
clackamas,002,President,,Barack Obama,1314
clackamas,002,President,,Jill Stein,32
clackamas,002,President,,Ross C. (Rocky) Anderson,3
clackamas,002,President,,Gary Johnson,37
clackamas,002,President,,Mitt Romney,1071
clackamas,002,President,,Will Christensen,6
clackamas,002,President,,Write-ins,23
clackamas,002,President,,Over Votes,3
clackamas,002,President,,Under Votes,25
clackamas,003,President,,Barack Obama,1003
clackamas,003,President,,Jill Stein,14
clackamas,003,President,,Ross C. (Rocky) Anderson,1
clackamas,003,President,,Gary Johnson,29
clackamas,003,President,,Mitt Romney,764
clackamas,003,President,,Will Christensen,8
clackamas,003,President,,Write-ins,17
clackamas,003,President,,Over Votes,0
clackamas,003,President,,Under Votes,33
clackamas,004,President,,Barack Obama,13
clackamas,004,President,,Jill Stein,1
clackamas,004,President,,Ross C. (Rocky) Anderson,0
clackamas,004,President,,Gary Johnson,0
clackamas,004,President,,Mitt Romney,15
clackamas,004,President,,Will Christensen,0
clackamas,004,President,,Write-ins,0
clackamas,004,President,,Over Votes,0
clackamas,004,President,,Under Votes,0
clackamas,005,President,,Barack Obama,1423
clackamas,005,President,,Jill Stein,22
clackamas,005,President,,Ross C. (Rocky) Anderson,1
clackamas,005,President,,Gary Johnson,33
clackamas,005,President,,Mitt Romney,1289
clackamas,005,President,,Will Christensen,4
clackamas,005,President,,Write-ins,22
clackamas,005,President,,Over Votes,1
clackamas,005,President,,Under Votes,34
clackamas,006,President,,Barack Obama,873
clackamas,006,President,,Jill Stein,12
clackamas,006,President,,Ross C. (Rocky) Anderson,0
clackamas,006,President,,Gary Johnson,15
clackamas,006,President,,Mitt Romney,1111
clackamas,006,President,,Will Christensen,6
clackamas,006,President,,Write-ins,9
clackamas,006,President,,Over Votes,0
clackamas,006,President,,Under Votes,19
clackamas,007,President,,Barack Obama,1092
clackamas,007,President,,Jill Stein,17
clackamas,007,President,,Ross C. (Rocky) Anderson,1
clackamas,007,President,,Gary Johnson,26
clackamas,007,President,,Mitt Romney,1050
clackamas,007,President,,Will Christensen,3
clackamas,007,President,,Write-ins,23
clackamas,007,President,,Over Votes,0
clackamas,007,President,,Under Votes,35
clackamas,010,President,,Barack Obama,3
clackamas,010,President,,Jill Stein,0
clackamas,010,President,,Ross C. (Rocky) Anderson,0
clackamas,010,President,,Gary Johnson,0
clackamas,010,President,,Mitt Romney,10
clackamas,010,President,,Will Christensen,0
clackamas,010,President,,Write-ins,0
clackamas,010,President,,Over Votes,0
clackamas,010,President,,Under Votes,1
clackamas,031,President,,Barack Obama,914
clackamas,031,President,,Jill Stein,16
clackamas,031,President,,Ross C. (Rocky) Anderson,2
clackamas,031,President,,Gary Johnson,22
clackamas,031,President,,Mitt Romney,750
clackamas,031,President,,Will Christensen,4
clackamas,031,President,,Write-ins,18
clackamas,031,President,,Over Votes,3
clackamas,031,President,,Under Votes,16
clackamas,032,President,,Barack Obama,1002
