county,precinct,office,district,candidate,party,votes,,
Lincoln,01 Waldport,Registered Voters,,,,1788,,
Lincoln,01 Waldport,Ballots Cast,,,,1453,,
Lincoln,01 Waldport,Ballots Cast Blank,,,,2,,
Lincoln,01 Waldport,President,,Donald J. Trump,REP,567,,
Lincoln,01 Waldport,President,,Joseph R. Biden,DEM,837,,
Lincoln,01 Waldport,President,,Jo Jorgensen,LBT,16,,
Lincoln,01 Waldport,President,,Howie Hawkins,PGP,9,,
Lincoln,01 Waldport,President,,Dario Hunter,PRO,0,,
Lincoln,01 Waldport,President,,Write-In,,8,,
Lincoln,01 Waldport,President,,Over Votes,,0,,
Lincoln,01 Waldport,President,,Under Votes,,16,,
Lincoln,01 Waldport,U.S. Senate,,Jo Rae Perkins,REP,551,,
Lincoln,01 Waldport,U.S. Senate,,Jeff Merkley,DEM,828,,
Lincoln,01 Waldport,U.S. Senate,,Ibrahim A. Taher,PGP,21,,
Lincoln,01 Waldport,U.S. Senate,,Gary Dye,LBT,25,,
Lincoln,01 Waldport,U.S. Senate,,Write-In,,2,,
Lincoln,01 Waldport,U.S. Senate,,Over Votes,,0,,
Lincoln,01 Waldport,U.S. Senate,,Under Votes,,26,,
Lincoln,01 Waldport,U.S. House,5,Matthew James Rix,LBT,41,,
Lincoln,01 Waldport,U.S. House,5,Amy Ryan Courser,REP,555,,
Lincoln,01 Waldport,U.S. House,5,Kurt Schrader,DEM,813,,
Lincoln,01 Waldport,U.S. House,5,Write-In,,2,,
Lincoln,01 Waldport,U.S. House,5,Over Votes,,0,,
Lincoln,01 Waldport,U.S. House,5,Under Votes,,42,,
Lincoln,01 Waldport,Secretary of State,,Nathalie Paravicini,PGP,44,,
Lincoln,01 Waldport,Secretary of State,,Kyle Markley,LBT,38,,
Lincoln,01 Waldport,Secretary of State,,Kim Thatcher,REP,577,,
Lincoln,01 Waldport,Secretary of State,,Shemia Fagan,DEM,740,,
Lincoln,01 Waldport,Secretary of State,,Write-In,,1,,
Lincoln,01 Waldport,Secretary of State,,Over Votes,,0,,
Lincoln,01 Waldport,Secretary of State,,Under Votes,,53,,
Lincoln,01 Waldport,State Treasurer,,Michael P. Marsh,CON,36,,
Lincoln,01 Waldport,State Treasurer,,Tobias Read,DEM,759,,
Lincoln,01 Waldport,State Treasurer,,Chris Henry,IND,65,,
Lincoln,01 Waldport,State Treasurer,,Jeff Gudman,REP,535,,
Lincoln,01 Waldport,State Treasurer,,Write-In,,1,,
Lincoln,01 Waldport,State Treasurer,,Over Votes,,0,,
Lincoln,01 Waldport,State Treasurer,,Under Votes,,57,,
Lincoln,01 Waldport,Attorney General,,Ellen Rosenblum,DEM,782,,
Lincoln,01 Waldport,Attorney General,,Lars D.H. Hedbor,LBT,30,,
Lincoln,01 Waldport,Attorney General,,Michael Cross,REP,581,,
Lincoln,01 Waldport,Attorney General,,Write-In,,3,,
Lincoln,01 Waldport,Attorney General,,Over Votes,,0,,
Lincoln,01 Waldport,Attorney General,,Under Votes,,57,,
Lincoln,01 Waldport,State Senate,5,Dick Anderson,REP,580,,
Lincoln,01 Waldport,State Senate,5,Shauleen Higgins,PGP,57,,
Lincoln,01 Waldport,State Senate,5,Melissa T. Cribbins,DEM,762,,
Lincoln,01 Waldport,State Senate,5,Write-In,,1,,
Lincoln,01 Waldport,State Senate,5,Over Votes,,1,,
Lincoln,01 Waldport,State Senate,5,Under Votes,,52,,
Lincoln,01 Waldport,State House,9,Cal Mukumoto,DEM,,,
Lincoln,01 Waldport,State House,9,Boomer Wright,REP,,,
Lincoln,01 Waldport,State House,9,Write-In,,,,
Lincoln,01 Waldport,State House,9,Over Votes,,,,
Lincoln,01 Waldport,State House,9,Under Votes,,,,
