county,precinct,office,district,party,candidate,votes,notes
Lane,0033 5 MCKENZIE,President,,DEM,Kerry/Edwards,1351,
Lane,0033 5 MCKENZIE,President,,PGN,Cobb/La Marche,9,
Lane,0033 5 MCKENZIE,President,,CON,Peroutka/Baldwin,7,
Lane,0033 5 MCKENZIE,President,,LIB,Badnarik/Campagna,14,
Lane,0033 5 MCKENZIE,President,,REP,Bush/Cheney,1698,
Lane,0033 5 MCKENZIE,President,,,Over Votes,0,
Lane,0033 5 MCKENZIE,President,,,Under Votes,32,
Lane,0078 6 SPRINGFIELD 206,President,,DEM,Kerry/Edwards,2481,
Lane,0078 6 SPRINGFIELD 206,President,,PGN,Cobb/La Marche,15,
Lane,0078 6 SPRINGFIELD 206,President,,CON,Peroutka/Baldwin,20,
Lane,0078 6 SPRINGFIELD 206,President,,LIB,Badnarik/Campagna,19,
Lane,0078 6 SPRINGFIELD 206,President,,REP,Bush/Cheney,1442,
Lane,0078 6 SPRINGFIELD 206,President,,,Over Votes,4,
Lane,0078 6 SPRINGFIELD 206,President,,,Under Votes,24,
Lane,0026 9 SALMON CREEK,President,,DEM,Kerry/Edwards,329,
Lane,0026 9 SALMON CREEK,President,,PGN,Cobb/La Marche,1,
Lane,0026 9 SALMON CREEK,President,,CON,Peroutka/Baldwin,2,
Lane,0026 9 SALMON CREEK,President,,LIB,Badnarik/Campagna,5,
Lane,0026 9 SALMON CREEK,President,,REP,Bush/Cheney,358,
Lane,0026 9 SALMON CREEK,President,,,Over Votes,0,
Lane,0026 9 SALMON CREEK,President,,,Under Votes,5,
Lane,0080 2 SPRINGFIELD 402,President,,DEM,Kerry/Edwards,2113,
Lane,0080 2 SPRINGFIELD 402,President,,PGN,Cobb/La Marche,14,
Lane,0080 2 SPRINGFIELD 402,President,,CON,Peroutka/Baldwin,16,
Lane,0080 2 SPRINGFIELD 402,President,,LIB,Badnarik/Campagna,24,
Lane,0080 2 SPRINGFIELD 402,President,,REP,Bush/Cheney,2028,
Lane,0080 2 SPRINGFIELD 402,President,,,Over Votes,5,
Lane,0080 2 SPRINGFIELD 402,President,,,Under Votes,32,
Lane,0013 7 GLENADA,President,,DEM,Kerry/Edwards,577,
Lane,0013 7 GLENADA,President,,PGN,Cobb/La Marche,0,
Lane,0013 7 GLENADA,President,,CON,Peroutka/Baldwin,4,
Lane,0013 7 GLENADA,President,,LIB,Badnarik/Campagna,8,
Lane,0013 7 GLENADA,President,,REP,Bush/Cheney,546,
Lane,0013 7 GLENADA,President,,,Over Votes,1,
Lane,0013 7 GLENADA,President,,,Under Votes,9,
Lane,0028 4 SANTA CLARA 4,President,,DEM,Kerry/Edwards,1972,
Lane,0028 4 SANTA CLARA 4,President,,PGN,Cobb/La Marche,14,
Lane,0028 4 SANTA CLARA 4,President,,CON,Peroutka/Baldwin,8,
Lane,0028 4 SANTA CLARA 4,President,,LIB,Badnarik/Campagna,21,
Lane,0028 4 SANTA CLARA 4,President,,REP,Bush/Cheney,1935,
Lane,0028 4 SANTA CLARA 4,President,,,Over Votes,3,
Lane,0028 4 SANTA CLARA 4,President,,,Under Votes,41,
Lane,0010 2 FERNRIDGE,President,,DEM,Kerry/Edwards,910,
Lane,0010 2 FERNRIDGE,President,,PGN,Cobb/La Marche,8,
Lane,0010 2 FERNRIDGE,President,,CON,Peroutka/Baldwin,12,
Lane,0010 2 FERNRIDGE,President,,LIB,Badnarik/Campagna,9,
Lane,0010 2 FERNRIDGE,President,,REP,Bush/Cheney,1033,
Lane,0010 2 FERNRIDGE,President,,,Over Votes,0,
Lane,0010 2 FERNRIDGE,President,,,Under Votes,12,
Lane,0002 3 ARMITAGE,President,,DEM,Kerry/Edwards,481,
Lane,0002 3 ARMITAGE,President,,PGN,Cobb/La Marche,2,
Lane,0002 3 ARMITAGE,President,,CON,Peroutka/Baldwin,2,
Lane,0002 3 ARMITAGE,President,,LIB,Badnarik/Campagna,3,
Lane,0002 3 ARMITAGE,President,,REP,Bush/Cheney,476,
Lane,0002 3 ARMITAGE,President,,,Over Votes,0,
Lane,0002 3 ARMITAGE,President,,,Under Votes,8,
Lane,0030 0 SIUSLAW,President,,DEM,Kerry/Edwards,950,
Lane,0030 0 SIUSLAW,President,,PGN,Cobb/La Marche,13,
Lane,0030 0 SIUSLAW,President,,CON,Peroutka/Baldwin,6,
Lane,0030 0 SIUSLAW,President,,LIB,Badnarik/Campagna,12,
Lane,0030 0 SIUSLAW,President,,REP,Bush/Cheney,961,
Lane,0030 0 SIUSLAW,President,,,Over Votes,0,
Lane,0030 0 SIUSLAW,President,,,Under Votes,20,
Lane,0052 7 EUGENE 237,President,,DEM,Kerry/Edwards,2088,
Lane,0052 7 EUGENE 237,President,,PGN,Cobb/La Marche,5,
Lane,0052 7 EUGENE 237,President,,CON,Peroutka/Baldwin,2,
Lane,0052 7 EUGENE 237,President,,LIB,Badnarik/Campagna,14,
Lane,0052 7 EUGENE 237,President,,REP,Bush/Cheney,681,
Lane,0052 7 EUGENE 237,President,,,Over Votes,1,
Lane,0052 7 EUGENE 237,President,,,Under Votes,24,
Lane,0070 7 EUGENE 717,President,,DEM,Kerry/Edwards,211,
Lane,0070 7 EUGENE 717,President,,PGN,Cobb/La Marche,0,
Lane,0070 7 EUGENE 717,President,,CON,Peroutka/Baldwin,1,
Lane,0070 7 EUGENE 717,President,,LIB,Badnarik/Campagna,2,
Lane,0070 7 EUGENE 717,President,,REP,Bush/Cheney,38,
Lane,0070 7 EUGENE 717,President,,,Over Votes,0,
Lane,0070 7 EUGENE 717,President,,,Under Votes,1,
Lane,0004 5 BLACHLY,President,,DEM,Kerry/Edwards,637,
Lane,0004 5 BLACHLY,President,,PGN,Cobb/La Marche,7,
Lane,0004 5 BLACHLY,President,,CON,Peroutka/Baldwin,7,
Lane,0004 5 BLACHLY,President,,LIB,Badnarik/Campagna,10,
Lane,0004 5 BLACHLY,President,,REP,Bush/Cheney,574,
Lane,0004 5 BLACHLY,President,,,Over Votes,0,
Lane,0004 5 BLACHLY,President,,,Under Votes,9,
Lane,0063 3 EUGENE 523,President,,DEM,Kerry/Edwards,1692,
Lane,0063 3 EUGENE 523,President,,PGN,Cobb/La Marche,4,
Lane,0063 3 EUGENE 523,President,,CON,Peroutka/Baldwin,8,
Lane,0063 3 EUGENE 523,President,,LIB,Badnarik/Campagna,8,
Lane,0063 3 EUGENE 523,President,,REP,Bush/Cheney,1780,
Lane,0063 3 EUGENE 523,President,,,Over Votes,3,
Lane,0063 3 EUGENE 523,President,,,Under Votes,20,
Lane,0035 0 COTTAGE GROVE,President,,DEM,Kerry/Edwards,1808,
Lane,0035 0 COTTAGE GROVE,President,,PGN,Cobb/La Marche,18,
Lane,0035 0 COTTAGE GROVE,President,,CON,Peroutka/Baldwin,13,
Lane,0035 0 COTTAGE GROVE,President,,LIB,Badnarik/Campagna,25,
Lane,0035 0 COTTAGE GROVE,President,,REP,Bush/Cheney,2062,
Lane,0035 0 COTTAGE GROVE,President,,,Over Votes,5,
Lane,0035 0 COTTAGE GROVE,President,,,Under Votes,57,
Lane,0069 5 EUGENE 715,President,,DEM,Kerry/Edwards,222,
Lane,0069 5 EUGENE 715,President,,PGN,Cobb/La Marche,1,
