county,precinct,office,party,district,candidate,votes
Harney,Burns #21,President,D,,"Lyndon H. Larouche, Jr.",10
Harney,Hines #25,President,D,,"Lyndon H. Larouche, Jr.",10
Harney,Rural Harney #26,President,D,,"Lyndon H. Larouche, Jr.",10
Harney,Burns #21,President,D,,John F. Kerry,201
Harney,Hines #25,President,D,,John F. Kerry,139
Harney,Rural Harney #26,President,D,,John F. Kerry,102
Harney,Burns #21,President,D,,Dennis J. Kucinich,40
Harney,Hines #25,President,D,,Dennis J. Kucinich,34
Harney,Rural Harney #26,President,D,,Dennis J. Kucinich,36
Harney,Burns #21,President,D,,Write-ins,33
Harney,Hines #25,President,D,,Write-ins,20
Harney,Rural Harney #26,President,D,,Write-ins,39
Harney,Burns #21,President,D,,Over Votes,0
Harney,Hines #25,President,D,,Over Votes,0
Harney,Rural Harney #26,President,D,,Over Votes,0
Harney,Burns #21,President,D,,Under Votes,44
Harney,Hines #25,President,D,,Under Votes,36
Harney,Rural Harney #26,President,D,,Under Votes,38
Harney,Burns #21,U.S. Senate,D,,Ron Wyden,288
Harney,Hines #25,U.S. Senate,D,,Ron Wyden,205
Harney,Rural Harney #26,U.S. Senate,D,,Ron Wyden,184
Harney,Burns #21,U.S. Senate,D,,Write-ins,3
Harney,Hines #25,U.S. Senate,D,,Write-ins,1
Harney,Rural Harney #26,U.S. Senate,D,,Write-ins,7
Harney,Burns #21,U.S. Senate,D,,Over Votes,0
Harney,Hines #25,U.S. Senate,D,,Over Votes,0
Harney,Rural Harney #26,U.S. Senate,D,,Over Votes,0
Harney,Burns #21,U.S. Senate,D,,Under Votes,37
Harney,Hines #25,U.S. Senate,D,,Under Votes,33
Harney,Rural Harney #26,U.S. Senate,D,,Under Votes,34
Harney,Burns #21,U.S. House,D,2,John C. McColgan,201
Harney,Hines #25,U.S. House,D,2,John C. McColgan,154
Harney,Rural Harney #26,U.S. House,D,2,John C. McColgan,121
Harney,Burns #21,U.S. House,D,2,Write-ins,7
Harney,Hines #25,U.S. House,D,2,Write-ins,9
Harney,Rural Harney #26,U.S. House,D,2,Write-ins,21
Harney,Burns #21,U.S. House,D,2,Over Votes,0
Harney,Hines #25,U.S. House,D,2,Over Votes,0
Harney,Rural Harney #26,U.S. House,D,2,Over Votes,0
Harney,Burns #21,U.S. House,D,2,Under Votes,120
Harney,Hines #25,U.S. House,D,2,Under Votes,76
Harney,Rural Harney #26,U.S. House,D,2,Under Votes,83
Harney,Burns #21,Secretary of State,D,,Bill Bradbury,248
Harney,Hines #25,Secretary of State,D,,Bill Bradbury,184
Harney,Rural Harney #26,Secretary of State,D,,Bill Bradbury,146
Harney,Burns #21,Secretary of State,D,,Paul Damian Wells,39
Harney,Hines #25,Secretary of State,D,,Paul Damian Wells,30
Harney,Rural Harney #26,Secretary of State,D,,Paul Damian Wells,33
Harney,Burns #21,Secretary of State,D,,Write-ins,2
Harney,Hines #25,Secretary of State,D,,Write-ins,2
Harney,Rural Harney #26,Secretary of State,D,,Write-ins,6
Harney,Burns #21,Secretary of State,D,,Over Votes,0
Harney,Hines #25,Secretary of State,D,,Over Votes,0
Harney,Rural Harney #26,Secretary of State,D,,Over Votes,0
Harney,Burns #21,Secretary of State,D,,Under Votes,39
Harney,Hines #25,Secretary of State,D,,Under Votes,23
Harney,Rural Harney #26,Secretary of State,D,,Under Votes,40
Harney,Burns #21,State Treasurer,D,,Randall Edwards,227
Harney,Hines #25,State Treasurer,D,,Randall Edwards,163
Harney,Rural Harney #26,State Treasurer,D,,Randall Edwards,145
