county,precinct,office,district,party,candidate,votes,
Jefferson,No. 1 Haystack,U.S. Senate,,Democratic,Pavel Goberman,4,
Jefferson,No. 2 Crooked River Ranch,U.S. Senate,,Democratic,Pavel Goberman,9,
Jefferson,No. 5 Ashwood,U.S. Senate,,Democratic,Pavel Goberman,0,
Jefferson,No. 6 Kutcher,U.S. Senate,,Democratic,Pavel Goberman,2,
Jefferson,No. 8 Lyle Gap,U.S. Senate,,Democratic,Pavel Goberman,0,
Jefferson,No. 11 Metolius,U.S. Senate,,Democratic,Pavel Goberman,1,
Jefferson,No. 13 East Madras,U.S. Senate,,Democratic,Pavel Goberman,7,
Jefferson,No. 14 Warm Springs,U.S. Senate,,Democratic,Pavel Goberman,1,
Jefferson,No. 16 Camp Sherman,U.S. Senate,,Democratic,Pavel Goberman,0,
Jefferson,No.  17 Culver,U.S. Senate,,Democratic,Pavel Goberman,3,
Jefferson,No. 18 Round Butte,U.S. Senate,,Democratic,Pavel Goberman,1,
Jefferson,No. 19 West Madras,U.S. Senate,,Democratic,Pavel Goberman,4,
Jefferson,No. 20 Circle M,U.S. Senate,,Democratic,Pavel Goberman,1,
Jefferson,No. 21 Central,U.S. Senate,,Democratic,Pavel Goberman,9,
Jefferson,No. 22 Sunset,U.S. Senate,,Democratic,Pavel Goberman,4,
Jefferson,No. 1 Haystack,U.S. Senate,,Democratic,Jeff Merkley,77,
Jefferson,No. 2 Crooked River Ranch,U.S. Senate,,Democratic,Jeff Merkley,262,
Jefferson,No. 5 Ashwood,U.S. Senate,,Democratic,Jeff Merkley,4,
Jefferson,No. 6 Kutcher,U.S. Senate,,Democratic,Jeff Merkley,32,
Jefferson,No. 8 Lyle Gap,U.S. Senate,,Democratic,Jeff Merkley,10,
Jefferson,No. 11 Metolius,U.S. Senate,,Democratic,Jeff Merkley,19,
Jefferson,No. 13 East Madras,U.S. Senate,,Democratic,Jeff Merkley,143,
Jefferson,No. 14 Warm Springs,U.S. Senate,,Democratic,Jeff Merkley,39,
Jefferson,No. 16 Camp Sherman,U.S. Senate,,Democratic,Jeff Merkley,39,
Jefferson,No.  17 Culver,U.S. Senate,,Democratic,Jeff Merkley,46,
Jefferson,No. 18 Round Butte,U.S. Senate,,Democratic,Jeff Merkley,25,
Jefferson,No. 19 West Madras,U.S. Senate,,Democratic,Jeff Merkley,64,
Jefferson,No. 20 Circle M,U.S. Senate,,Democratic,Jeff Merkley,21,
Jefferson,No. 21 Central,U.S. Senate,,Democratic,Jeff Merkley,128,
Jefferson,No. 22 Sunset,U.S. Senate,,Democratic,Jeff Merkley,57,
Jefferson,No. 1 Haystack,U.S. Senate,,Democratic,William Bryk,5,
Jefferson,No. 2 Crooked River Ranch,U.S. Senate,,Democratic,William Bryk,21,
Jefferson,No. 5 Ashwood,U.S. Senate,,Democratic,William Bryk,0,
Jefferson,No. 6 Kutcher,U.S. Senate,,Democratic,William Bryk,2,
Jefferson,No. 8 Lyle Gap,U.S. Senate,,Democratic,William Bryk,0,
Jefferson,No. 11 Metolius,U.S. Senate,,Democratic,William Bryk,5,
Jefferson,No. 13 East Madras,U.S. Senate,,Democratic,William Bryk,12,
Jefferson,No. 14 Warm Springs,U.S. Senate,,Democratic,William Bryk,2,
Jefferson,No. 16 Camp Sherman,U.S. Senate,,Democratic,William Bryk,1,
Jefferson,No.  17 Culver,U.S. Senate,,Democratic,William Bryk,3,
Jefferson,No. 18 Round Butte,U.S. Senate,,Democratic,William Bryk,9,
Jefferson,No. 19 West Madras,U.S. Senate,,Democratic,William Bryk,9,
Jefferson,No. 20 Circle M,U.S. Senate,,Democratic,William Bryk,4,
Jefferson,No. 21 Central,U.S. Senate,,Democratic,William Bryk,12,
Jefferson,No. 22 Sunset,U.S. Senate,,Democratic,William Bryk,9,
