county,candidate,party,office,district,precinct,votes
Multnomah,Dennis Richardson,REP,Governor,,2701,146
Multnomah,Chris Henry,PRO,Governor,,2701,2
Multnomah,Aaron Auer,CON,Governor,,2701,2
Multnomah,John Kitzhaber,DEM,Governor,,2701,297
Multnomah,Paul Grad,LBT,Governor,,2701,4
Multnomah,Jason Levin,PAC,Governor,,2701,7
Multnomah,Write-ins,,Governor,,2701,13
Multnomah,Over Votes,,Governor,,2701,0
Multnomah,Under Votes,,Governor,,2701,20
Multnomah,Dennis Richardson,REP,Governor,,2702,227
Multnomah,Chris Henry,PRO,Governor,,2702,4
Multnomah,Aaron Auer,CON,Governor,,2702,0
Multnomah,John Kitzhaber,DEM,Governor,,2702,371
Multnomah,Paul Grad,LBT,Governor,,2702,4
Multnomah,Jason Levin,PAC,Governor,,2702,3
Multnomah,Write-ins,,Governor,,2702,7
Multnomah,Over Votes,,Governor,,2702,0
Multnomah,Under Votes,,Governor,,2702,31
Multnomah,Dennis Richardson,REP,Governor,,3101,277
Multnomah,Chris Henry,PRO,Governor,,3101,7
Multnomah,Aaron Auer,CON,Governor,,3101,4
Multnomah,John Kitzhaber,DEM,Governor,,3101,559
Multnomah,Paul Grad,LBT,Governor,,3101,14
Multnomah,Jason Levin,PAC,Governor,,3101,20
Multnomah,Write-ins,,Governor,,3101,10
Multnomah,Over Votes,,Governor,,3101,0
Multnomah,Under Votes,,Governor,,3101,26
Multnomah,Dennis Richardson,REP,Governor,,3102,491
Multnomah,Chris Henry,PRO,Governor,,3102,17
Multnomah,Aaron Auer,CON,Governor,,3102,11
Multnomah,John Kitzhaber,DEM,Governor,,3102,809
Multnomah,Paul Grad,LBT,Governor,,3102,19
Multnomah,Jason Levin,PAC,Governor,,3102,27
Multnomah,Write-ins,,Governor,,3102,7
Multnomah,Over Votes,,Governor,,3102,1
Multnomah,Under Votes,,Governor,,3102,42
Multnomah,Dennis Richardson,REP,Governor,,3103,196
Multnomah,Chris Henry,PRO,Governor,,3103,1
Multnomah,Aaron Auer,CON,Governor,,3103,2
Multnomah,John Kitzhaber,DEM,Governor,,3103,252
Multnomah,Paul Grad,LBT,Governor,,3103,7
Multnomah,Jason Levin,PAC,Governor,,3103,8
Multnomah,Write-ins,,Governor,,3103,2
Multnomah,Over Votes,,Governor,,3103,0
Multnomah,Under Votes,,Governor,,3103,22
Multnomah,Dennis Richardson,REP,Governor,,3301,345
Multnomah,Chris Henry,PRO,Governor,,3301,36
Multnomah,Aaron Auer,CON,Governor,,3301,5
Multnomah,John Kitzhaber,DEM,Governor,,3301,2665
Multnomah,Paul Grad,LBT,Governor,,3301,46
Multnomah,Jason Levin,PAC,Governor,,3301,85
Multnomah,Write-ins,,Governor,,3301,20
Multnomah,Over Votes,,Governor,,3301,0
Multnomah,Under Votes,,Governor,,3301,128
Multnomah,Dennis Richardson,REP,Governor,,3302,529
Multnomah,Chris Henry,PRO,Governor,,3302,44
Multnomah,Aaron Auer,CON,Governor,,3302,4
Multnomah,John Kitzhaber,DEM,Governor,,3302,2382
Multnomah,Paul Grad,LBT,Governor,,3302,41
Multnomah,Jason Levin,PAC,Governor,,3302,74
Multnomah,Write-ins,,Governor,,3302,14
Multnomah,Over Votes,,Governor,,3302,0
Multnomah,Under Votes,,Governor,,3302,140
Multnomah,Dennis Richardson,REP,Governor,,3303,796
Multnomah,Chris Henry,PRO,Governor,,3303,13
Multnomah,Aaron Auer,CON,Governor,,3303,3
Multnomah,John Kitzhaber,DEM,Governor,,3303,1551
Multnomah,Paul Grad,LBT,Governor,,3303,26
Multnomah,Jason Levin,PAC,Governor,,3303,27
Multnomah,Write-ins,,Governor,,3303,11
Multnomah,Over Votes,,Governor,,3303,1
Multnomah,Under Votes,,Governor,,3303,101
Multnomah,Dennis Richardson,REP,Governor,,3304,122
Multnomah,Chris Henry,PRO,Governor,,3304,1
Multnomah,Aaron Auer,CON,Governor,,3304,2
Multnomah,John Kitzhaber,DEM,Governor,,3304,295
Multnomah,Paul Grad,LBT,Governor,,3304,9
Multnomah,Jason Levin,PAC,Governor,,3304,5
Multnomah,Write-ins,,Governor,,3304,5
Multnomah,Over Votes,,Governor,,3304,0
Multnomah,Under Votes,,Governor,,3304,18
Multnomah,Dennis Richardson,REP,Governor,,3501,210
Multnomah,Chris Henry,PRO,Governor,,3501,7
Multnomah,Aaron Auer,CON,Governor,,3501,4
Multnomah,John Kitzhaber,DEM,Governor,,3501,429
Multnomah,Paul Grad,LBT,Governor,,3501,7
Multnomah,Jason Levin,PAC,Governor,,3501,14
Multnomah,Write-ins,,Governor,,3501,2
Multnomah,Over Votes,,Governor,,3501,0
Multnomah,Under Votes,,Governor,,3501,24
Multnomah,Dennis Richardson,REP,Governor,,3502,860
Multnomah,Chris Henry,PRO,Governor,,3502,39
Multnomah,Aaron Auer,CON,Governor,,3502,13
Multnomah,John Kitzhaber,DEM,Governor,,3502,2558
Multnomah,Paul Grad,LBT,Governor,,3502,48
Multnomah,Jason Levin,PAC,Governor,,3502,96
Multnomah,Write-ins,,Governor,,3502,21
Multnomah,Over Votes,,Governor,,3502,2
Multnomah,Under Votes,,Governor,,3502,143
Multnomah,Dennis Richardson,REP,Governor,,3601,283
Multnomah,Chris Henry,PRO,Governor,,3601,4
Multnomah,Aaron Auer,CON,Governor,,3601,2
Multnomah,John Kitzhaber,DEM,Governor,,3601,827
Multnomah,Paul Grad,LBT,Governor,,3601,9
Multnomah,Jason Levin,PAC,Governor,,3601,18
Multnomah,Write-ins,,Governor,,3601,16
Multnomah,Over Votes,,Governor,,3601,0
Multnomah,Under Votes,,Governor,,3601,32
Multnomah,Dennis Richardson,REP,Governor,,3602,251
Multnomah,Chris Henry,PRO,Governor,,3602,45
Multnomah,Aaron Auer,CON,Governor,,3602,9
Multnomah,John Kitzhaber,DEM,Governor,,3602,1942
Multnomah,Paul Grad,LBT,Governor,,3602,54
Multnomah,Jason Levin,PAC,Governor,,3602,86
Multnomah,Write-ins,,Governor,,3602,10
Multnomah,Over Votes,,Governor,,3602,0
Multnomah,Under Votes,,Governor,,3602,121
Multnomah,Dennis Richardson,REP,Governor,,3603,293
Multnomah,Chris Henry,PRO,Governor,,3603,58
Multnomah,Aaron Auer,CON,Governor,,3603,17
Multnomah,John Kitzhaber,DEM,Governor,,3603,1419
Multnomah,Paul Grad,LBT,Governor,,3603,56
Multnomah,Jason Levin,PAC,Governor,,3603,85
Multnomah,Write-ins,,Governor,,3603,22
Multnomah,Over Votes,,Governor,,3603,2
Multnomah,Under Votes,,Governor,,3603,90
Multnomah,Dennis Richardson,REP,Governor,,3604,604
Multnomah,Chris Henry,PRO,Governor,,3604,28
Multnomah,Aaron Auer,CON,Governor,,3604,5
Multnomah,John Kitzhaber,DEM,Governor,,3604,2339
Multnomah,Paul Grad,LBT,Governor,,3604,47
Multnomah,Jason Levin,PAC,Governor,,3604,93
Multnomah,Write-ins,,Governor,,3604,24
Multnomah,Over Votes,,Governor,,3604,0
Multnomah,Under Votes,,Governor,,3604,139
Multnomah,Dennis Richardson,REP,Governor,,3605,520
Multnomah,Chris Henry,PRO,Governor,,3605,32
Multnomah,Aaron Auer,CON,Governor,,3605,5
Multnomah,John Kitzhaber,DEM,Governor,,3605,1636
Multnomah,Paul Grad,LBT,Governor,,3605,43
Multnomah,Jason Levin,PAC,Governor,,3605,84
Multnomah,Write-ins,,Governor,,3605,27
Multnomah,Over Votes,,Governor,,3605,0
Multnomah,Under Votes,,Governor,,3605,178
Multnomah,Dennis Richardson,REP,Governor,,3606,712
Multnomah,Chris Henry,PRO,Governor,,3606,27
Multnomah,Aaron Auer,CON,Governor,,3606,5
Multnomah,John Kitzhaber,DEM,Governor,,3606,2716
Multnomah,Paul Grad,LBT,Governor,,3606,35
Multnomah,Jason Levin,PAC,Governor,,3606,76
Multnomah,Write-ins,,Governor,,3606,29
Multnomah,Over Votes,,Governor,,3606,0
Multnomah,Under Votes,,Governor,,3606,137
Multnomah,Dennis Richardson,REP,Governor,,3607,368
Multnomah,Chris Henry,PRO,Governor,,3607,19
Multnomah,Aaron Auer,CON,Governor,,3607,6
Multnomah,John Kitzhaber,DEM,Governor,,3607,1411
Multnomah,Paul Grad,LBT,Governor,,3607,26
Multnomah,Jason Levin,PAC,Governor,,3607,41
Multnomah,Write-ins,,Governor,,3607,16
Multnomah,Over Votes,,Governor,,3607,0
Multnomah,Under Votes,,Governor,,3607,75
Multnomah,Dennis Richardson,REP,Governor,,3608,615
Multnomah,Chris Henry,PRO,Governor,,3608,31
Multnomah,Aaron Auer,CON,Governor,,3608,5
Multnomah,John Kitzhaber,DEM,Governor,,3608,2018
Multnomah,Paul Grad,LBT,Governor,,3608,46
Multnomah,Jason Levin,PAC,Governor,,3608,67
Multnomah,Write-ins,,Governor,,3608,19
Multnomah,Over Votes,,Governor,,3608,0
Multnomah,Under Votes,,Governor,,3608,135
Multnomah,Dennis Richardson,REP,Governor,,3609,131
Multnomah,Chris Henry,PRO,Governor,,3609,1
Multnomah,Aaron Auer,CON,Governor,,3609,0
Multnomah,John Kitzhaber,DEM,Governor,,3609,271
Multnomah,Paul Grad,LBT,Governor,,3609,4
Multnomah,Jason Levin,PAC,Governor,,3609,7
Multnomah,Write-ins,,Governor,,3609,2
Multnomah,Over Votes,,Governor,,3609,0
Multnomah,Under Votes,,Governor,,3609,15
Multnomah,Dennis Richardson,REP,Governor,,3610,641
Multnomah,Chris Henry,PRO,Governor,,3610,18
Multnomah,Aaron Auer,CON,Governor,,3610,6
Multnomah,John Kitzhaber,DEM,Governor,,3610,2259
Multnomah,Paul Grad,LBT,Governor,,3610,51
Multnomah,Jason Levin,PAC,Governor,,3610,59
Multnomah,Write-ins,,Governor,,3610,23
Multnomah,Over Votes,,Governor,,3610,0
Multnomah,Under Votes,,Governor,,3610,135
Multnomah,Dennis Richardson,REP,Governor,,3611,710
Multnomah,Chris Henry,PRO,Governor,,3611,29
Multnomah,Aaron Auer,CON,Governor,,3611,4
Multnomah,John Kitzhaber,DEM,Governor,,3611,2644
Multnomah,Paul Grad,LBT,Governor,,3611,53
Multnomah,Jason Levin,PAC,Governor,,3611,86
Multnomah,Write-ins,,Governor,,3611,25
Multnomah,Over Votes,,Governor,,3611,1
Multnomah,Under Votes,,Governor,,3611,119
Multnomah,Dennis Richardson,REP,Governor,,3612,468
Multnomah,Chris Henry,PRO,Governor,,3612,36
Multnomah,Aaron Auer,CON,Governor,,3612,5
Multnomah,John Kitzhaber,DEM,Governor,,3612,2216
Multnomah,Paul Grad,LBT,Governor,,3612,47
Multnomah,Jason Levin,PAC,Governor,,3612,80
Multnomah,Write-ins,,Governor,,3612,20
Multnomah,Over Votes,,Governor,,3612,0
Multnomah,Under Votes,,Governor,,3612,121
Multnomah,Dennis Richardson,REP,Governor,,3801,800
Multnomah,Chris Henry,PRO,Governor,,3801,20
Multnomah,Aaron Auer,CON,Governor,,3801,7
Multnomah,John Kitzhaber,DEM,Governor,,3801,2193
Multnomah,Paul Grad,LBT,Governor,,3801,39
Multnomah,Jason Levin,PAC,Governor,,3801,66
Multnomah,Write-ins,,Governor,,3801,17
Multnomah,Over Votes,,Governor,,3801,1
Multnomah,Under Votes,,Governor,,3801,134
Multnomah,Dennis Richardson,REP,Governor,,3802,556
Multnomah,Chris Henry,PRO,Governor,,3802,22
Multnomah,Aaron Auer,CON,Governor,,3802,6
Multnomah,John Kitzhaber,DEM,Governor,,3802,1868
Multnomah,Paul Grad,LBT,Governor,,3802,32
Multnomah,Jason Levin,PAC,Governor,,3802,43
Multnomah,Write-ins,,Governor,,3802,24
Multnomah,Over Votes,,Governor,,3802,1
Multnomah,Under Votes,,Governor,,3802,101
Multnomah,Dennis Richardson,REP,Governor,,3803,488
Multnomah,Chris Henry,PRO,Governor,,3803,39
Multnomah,Aaron Auer,CON,Governor,,3803,8
Multnomah,John Kitzhaber,DEM,Governor,,3803,2356
Multnomah,Paul Grad,LBT,Governor,,3803,41
Multnomah,Jason Levin,PAC,Governor,,3803,112
Multnomah,Write-ins,,Governor,,3803,24
Multnomah,Over Votes,,Governor,,3803,1
Multnomah,Under Votes,,Governor,,3803,141
Multnomah,Dennis Richardson,REP,Governor,,3804,415
Multnomah,Chris Henry,PRO,Governor,,3804,17
Multnomah,Aaron Auer,CON,Governor,,3804,4
Multnomah,John Kitzhaber,DEM,Governor,,3804,1530
Multnomah,Paul Grad,LBT,Governor,,3804,41
Multnomah,Jason Levin,PAC,Governor,,3804,47
Multnomah,Write-ins,,Governor,,3804,19
Multnomah,Over Votes,,Governor,,3804,1
Multnomah,Under Votes,,Governor,,3804,84
Multnomah,Dennis Richardson,REP,Governor,,3805,336
Multnomah,Chris Henry,PRO,Governor,,3805,18
Multnomah,Aaron Auer,CON,Governor,,3805,4
Multnomah,John Kitzhaber,DEM,Governor,,3805,1099
Multnomah,Paul Grad,LBT,Governor,,3805,24
Multnomah,Jason Levin,PAC,Governor,,3805,50
Multnomah,Write-ins,,Governor,,3805,11
Multnomah,Over Votes,,Governor,,3805,0
Multnomah,Under Votes,,Governor,,3805,57
Multnomah,Dennis Richardson,REP,Governor,,3806,482
Multnomah,Chris Henry,PRO,Governor,,3806,17
Multnomah,Aaron Auer,CON,Governor,,3806,5
Multnomah,John Kitzhaber,DEM,Governor,,3806,877
Multnomah,Paul Grad,LBT,Governor,,3806,13
Multnomah,Jason Levin,PAC,Governor,,3806,17
Multnomah,Write-ins,,Governor,,3806,3
Multnomah,Over Votes,,Governor,,3806,2
Multnomah,Under Votes,,Governor,,3806,44
Multnomah,Dennis Richardson,REP,Governor,,3807,346
Multnomah,Chris Henry,PRO,Governor,,3807,3
Multnomah,Aaron Auer,CON,Governor,,3807,3
Multnomah,John Kitzhaber,DEM,Governor,,3807,431
Multnomah,Paul Grad,LBT,Governor,,3807,7
Multnomah,Jason Levin,PAC,Governor,,3807,3
Multnomah,Write-ins,,Governor,,3807,5
Multnomah,Over Votes,,Governor,,3807,0
Multnomah,Under Votes,,Governor,,3807,40
Multnomah,Dennis Richardson,REP,Governor,,3808,18
Multnomah,Chris Henry,PRO,Governor,,3808,5
Multnomah,Aaron Auer,CON,Governor,,3808,0
Multnomah,John Kitzhaber,DEM,Governor,,3808,137
Multnomah,Paul Grad,LBT,Governor,,3808,5
Multnomah,Jason Levin,PAC,Governor,,3808,17
Multnomah,Write-ins,,Governor,,3808,1
Multnomah,Over Votes,,Governor,,3808,0
Multnomah,Under Votes,,Governor,,3808,20
Multnomah,Dennis Richardson,REP,Governor,,4101,455
Multnomah,Chris Henry,PRO,Governor,,4101,34
Multnomah,Aaron Auer,CON,Governor,,4101,9
