county,office,district,party,candidate,votes
Baker ,U.S. Senate,,D,Pavel Goberman,39
Benton ,U.S. Senate,,D,Pavel Goberman,130
Clackamas ,U.S. Senate,,D,Pavel Goberman,916
Clatsop ,U.S. Senate,,D,Pavel Goberman,112
Columbia ,U.S. Senate,,D,Pavel Goberman,209
Coos ,U.S. Senate,,D,Pavel Goberman,235
Crook ,U.S. Senate,,D,Pavel Goberman,55
Curry ,U.S. Senate,,D,Pavel Goberman,90
Deschutes ,U.S. Senate,,D,Pavel Goberman,288
Douglas ,U.S. Senate,,D,Pavel Goberman,303
Gilliam ,U.S. Senate,,D,Pavel Goberman,11
Grant ,U.S. Senate,,D,Pavel Goberman,17
Harney ,U.S. Senate,,D,Pavel Goberman,23
Hood River ,U.S. Senate,,D,Pavel Goberman,34
Jackson ,U.S. Senate,,D,Pavel Goberman,587
Jefferson ,U.S. Senate,,D,Pavel Goberman,46
Josephine ,U.S. Senate,,D,Pavel Goberman,271
Klamath ,U.S. Senate,,D,Pavel Goberman,179
Lake ,U.S. Senate,,D,Pavel Goberman,16
Lane ,U.S. Senate,,D,Pavel Goberman,683
Lincoln ,U.S. Senate,,D,Pavel Goberman,164
Linn ,U.S. Senate,,D,Pavel Goberman,295
Malheur ,U.S. Senate,,D,Pavel Goberman,39
Marion ,U.S. Senate,,D,Pavel Goberman,677
Morrow ,U.S. Senate,,D,Pavel Goberman,29
Multnomah ,U.S. Senate,,D,Pavel Goberman,1277
Polk ,U.S. Senate,,D,Pavel Goberman,160
Sherman ,U.S. Senate,,D,Pavel Goberman,6
Tillamook ,U.S. Senate,,D,Pavel Goberman,84
Umatilla ,U.S. Senate,,D,Pavel Goberman,117
Union ,U.S. Senate,,D,Pavel Goberman,65
Wallowa ,U.S. Senate,,D,Pavel Goberman,26
Wasco ,U.S. Senate,,D,Pavel Goberman,64
Washington ,U.S. Senate,,D,Pavel Goberman,948
Wheeler ,U.S. Senate,,D,Pavel Goberman,1
Yamhill ,U.S. Senate,,D,Pavel Goberman,240
Baker ,U.S. Senate,,D,Jeff Merkley,766
Benton ,U.S. Senate,,D,Jeff Merkley,7520
Clackamas ,U.S. Senate,,D,Jeff Merkley,24955
Clatsop ,U.S. Senate,,D,Jeff Merkley,3257
Columbia ,U.S. Senate,,D,Jeff Merkley,4205
Coos ,U.S. Senate,,D,Jeff Merkley,4112
Crook ,U.S. Senate,,D,Jeff Merkley,961
Curry ,U.S. Senate,,D,Jeff Merkley,1901
Deschutes ,U.S. Senate,,D,Jeff Merkley,10966
Douglas ,U.S. Senate,,D,Jeff Merkley,5722
Gilliam ,U.S. Senate,,D,Jeff Merkley,165
Grant ,U.S. Senate,,D,Jeff Merkley,396
Harney ,U.S. Senate,,D,Jeff Merkley,260
Hood River ,U.S. Senate,,D,Jeff Merkley,1325
Jackson ,U.S. Senate,,D,Jeff Merkley,19235
Jefferson ,U.S. Senate,,D,Jeff Merkley,966
Josephine ,U.S. Senate,,D,Jeff Merkley,6023
Klamath ,U.S. Senate,,D,Jeff Merkley,2780
Lake ,U.S. Senate,,D,Jeff Merkley,298
Lane ,U.S. Senate,,D,Jeff Merkley,28526
Lincoln ,U.S. Senate,,D,Jeff Merkley,4462
Linn ,U.S. Senate,,D,Jeff Merkley,5113
Malheur ,U.S. Senate,,D,Jeff Merkley,603
Marion ,U.S. Senate,,D,Jeff Merkley,13973
Morrow ,U.S. Senate,,D,Jeff Merkley,351
Multnomah ,U.S. Senate,,D,Jeff Merkley,76547
Polk ,U.S. Senate,,D,Jeff Merkley,4320
Sherman ,U.S. Senate,,D,Jeff Merkley,100
Tillamook ,U.S. Senate,,D,Jeff Merkley,2116
Umatilla ,U.S. Senate,,D,Jeff Merkley,1909
Union ,U.S. Senate,,D,Jeff Merkley,1237
Wallowa ,U.S. Senate,,D,Jeff Merkley,468
Wasco ,U.S. Senate,,D,Jeff Merkley,1525
Washington ,U.S. Senate,,D,Jeff Merkley,33827
Wheeler ,U.S. Senate,,D,Jeff Merkley,85
Yamhill ,U.S. Senate,,D,Jeff Merkley,6145
Baker ,U.S. Senate,,D,William Bryk,72
Benton ,U.S. Senate,,D,William Bryk,168
Clackamas ,U.S. Senate,,D,William Bryk,1091
