county,precinct,office,district,party,candidate,votes,,,
Linn,1,U.S. Senate,,DEM,Pavel Goberman,3,,,
Linn,3,U.S. Senate,,DEM,Pavel Goberman,3,,,
Linn,5,U.S. Senate,,DEM,Pavel Goberman,2,,,
Linn,8,U.S. Senate,,DEM,Pavel Goberman,4,,,
Linn,11,U.S. Senate,,DEM,Pavel Goberman,1,,,
Linn,14,U.S. Senate,,DEM,Pavel Goberman,1,,,
Linn,15,U.S. Senate,,DEM,Pavel Goberman,0,,,
Linn,16,U.S. Senate,,DEM,Pavel Goberman,3,,,
Linn,18,U.S. Senate,,DEM,Pavel Goberman,5,,,
Linn,19,U.S. Senate,,DEM,Pavel Goberman,3,,,
Linn,20,U.S. Senate,,DEM,Pavel Goberman,1,,,
Linn,21,U.S. Senate,,DEM,Pavel Goberman,1,,,
Linn,22,U.S. Senate,,DEM,Pavel Goberman,2,,,
Linn,23,U.S. Senate,,DEM,Pavel Goberman,4,,,
Linn,25,U.S. Senate,,DEM,Pavel Goberman,2,,,
Linn,26,U.S. Senate,,DEM,Pavel Goberman,3,,,
Linn,27,U.S. Senate,,DEM,Pavel Goberman,0,,,
Linn,28,U.S. Senate,,DEM,Pavel Goberman,0,,,
Linn,29,U.S. Senate,,DEM,Pavel Goberman,8,,,
Linn,30,U.S. Senate,,DEM,Pavel Goberman,0,,,
Linn,31,U.S. Senate,,DEM,Pavel Goberman,3,,,
Linn,32,U.S. Senate,,DEM,Pavel Goberman,2,,,
Linn,33,U.S. Senate,,DEM,Pavel Goberman,1,,,
Linn,34,U.S. Senate,,DEM,Pavel Goberman,2,,,
Linn,35,U.S. Senate,,DEM,Pavel Goberman,7,,,
Linn,36,U.S. Senate,,DEM,Pavel Goberman,3,,,
Linn,37,U.S. Senate,,DEM,Pavel Goberman,4,,,
Linn,38,U.S. Senate,,DEM,Pavel Goberman,3,,,
Linn,39,U.S. Senate,,DEM,Pavel Goberman,2,,,
Linn,41,U.S. Senate,,DEM,Pavel Goberman,3,,,
Linn,42,U.S. Senate,,DEM,Pavel Goberman,4,,,
Linn,43,U.S. Senate,,DEM,Pavel Goberman,3,,,
Linn,44,U.S. Senate,,DEM,Pavel Goberman,5,,,
Linn,45,U.S. Senate,,DEM,Pavel Goberman,7,,,
Linn,46,U.S. Senate,,DEM,Pavel Goberman,3,,,
Linn,47,U.S. Senate,,DEM,Pavel Goberman,0,,,
Linn,48,U.S. Senate,,DEM,Pavel Goberman,5,,,
Linn,49,U.S. Senate,,DEM,Pavel Goberman,0,,,
Linn,50,U.S. Senate,,DEM,Pavel Goberman,5,,,
Linn,51,U.S. Senate,,DEM,Pavel Goberman,1,,,
Linn,52,U.S. Senate,,DEM,Pavel Goberman,1,,,
Linn,53,U.S. Senate,,DEM,Pavel Goberman,4,,,
Linn,54,U.S. Senate,,DEM,Pavel Goberman,2,,,
Linn,55,U.S. Senate,,DEM,Pavel Goberman,3,,,
Linn,56,U.S. Senate,,DEM,Pavel Goberman,2,,,
Linn,57,U.S. Senate,,DEM,Pavel Goberman,0,,,
Linn,58,U.S. Senate,,DEM,Pavel Goberman,1,,,
Linn,59,U.S. Senate,,DEM,Pavel Goberman,3,,,
Linn,60,U.S. Senate,,DEM,Pavel Goberman,3,,,
Linn,61,U.S. Senate,,DEM,Pavel Goberman,2,,,
Linn,62,U.S. Senate,,DEM,Pavel Goberman,7,,,
Linn,63,U.S. Senate,,DEM,Pavel Goberman,5,,,
Linn,65,U.S. Senate,,DEM,Pavel Goberman,0,,,
Linn,66,U.S. Senate,,DEM,Pavel Goberman,2,,,
Linn,67,U.S. Senate,,DEM,Pavel Goberman,3,,,
Linn,68,U.S. Senate,,DEM,Pavel Goberman,0,,,
Linn,70,U.S. Senate,,DEM,Pavel Goberman,8,,,
Linn,71,U.S. Senate,,DEM,Pavel Goberman,1,,,
Linn,73,U.S. Senate,,DEM,Pavel Goberman,6,,,
Linn,74,U.S. Senate,,DEM,Pavel Goberman,4,,,
Linn,75,U.S. Senate,,DEM,Pavel Goberman,5,,,
Linn,76,U.S. Senate,,DEM,Pavel Goberman,9,,,
Linn,77,U.S. Senate,,DEM,Pavel Goberman,5,,,
Linn,78,U.S. Senate,,DEM,Pavel Goberman,1,,,
Linn,79,U.S. Senate,,DEM,Pavel Goberman,4,,,
Linn,80,U.S. Senate,,DEM,Pavel Goberman,4,,,
Linn,82,U.S. Senate,,DEM,Pavel Goberman,4,,,
Linn,83,U.S. Senate,,DEM,Pavel Goberman,0,,,
Linn,84,U.S. Senate,,DEM,Pavel Goberman,4,,,
Linn,86,U.S. Senate,,DEM,Pavel Goberman,7,,,
Linn,87,U.S. Senate,,DEM,Pavel Goberman,1,,,
Linn,88,U.S. Senate,,DEM,Pavel Goberman,8,,,
Linn,89,U.S. Senate,,DEM,Pavel Goberman,0,,,
Linn,91,U.S. Senate,,DEM,Pavel Goberman,3,,,
Linn,92,U.S. Senate,,DEM,Pavel Goberman,8,,,
Linn,93,U.S. Senate,,DEM,Pavel Goberman,3,,,
Linn,94,U.S. Senate,,DEM,Pavel Goberman,1,,,
Linn,95,U.S. Senate,,DEM,Pavel Goberman,4,,,
Linn,96,U.S. Senate,,DEM,Pavel Goberman,4,,,
Linn,97,U.S. Senate,,DEM,Pavel Goberman,8,,,
Linn,99,U.S. Senate,,DEM,Pavel Goberman,1,,,
Linn,100,U.S. Senate,,DEM,Pavel Goberman,10,,,
Linn,101,U.S. Senate,,DEM,Pavel Goberman,3,,,
Linn,102,U.S. Senate,,DEM,Pavel Goberman,10,,,
Linn,103,U.S. Senate,,DEM,Pavel Goberman,5,,,
Linn,104,U.S. Senate,,DEM,Pavel Goberman,2,,,
Linn,105,U.S. Senate,,DEM,Pavel Goberman,3,,,
Linn,106,U.S. Senate,,DEM,Pavel Goberman,4,,,
Linn,107,U.S. Senate,,DEM,Pavel Goberman,5,,,
Linn,108,U.S. Senate,,DEM,Pavel Goberman,3,,,
Linn,1,U.S. Senate,,DEM,Jeff Merkley,96,,,
Linn,3,U.S. Senate,,DEM,Jeff Merkley,92,,,
Linn,5,U.S. Senate,,DEM,Jeff Merkley,74,,,
Linn,8,U.S. Senate,,DEM,Jeff Merkley,62,,,
Linn,11,U.S. Senate,,DEM,Jeff Merkley,66,,,
Linn,14,U.S. Senate,,DEM,Jeff Merkley,44,,,
Linn,15,U.S. Senate,,DEM,Jeff Merkley,18,,,
Linn,16,U.S. Senate,,DEM,Jeff Merkley,94,,,
Linn,18,U.S. Senate,,DEM,Jeff Merkley,195,,,
Linn,19,U.S. Senate,,DEM,Jeff Merkley,90,,,
Linn,20,U.S. Senate,,DEM,Jeff Merkley,39,,,
Linn,21,U.S. Senate,,DEM,Jeff Merkley,25,,,
Linn,22,U.S. Senate,,DEM,Jeff Merkley,7,,,
Linn,23,U.S. Senate,,DEM,Jeff Merkley,63,,,
Linn,25,U.S. Senate,,DEM,Jeff Merkley,68,,,
Linn,26,U.S. Senate,,DEM,Jeff Merkley,22,,,
Linn,27,U.S. Senate,,DEM,Jeff Merkley,62,,,
Linn,28,U.S. Senate,,DEM,Jeff Merkley,5,,,
Linn,29,U.S. Senate,,DEM,Jeff Merkley,135,,,
Linn,30,U.S. Senate,,DEM,Jeff Merkley,13,,,
Linn,31,U.S. Senate,,DEM,Jeff Merkley,39,,,
Linn,32,U.S. Senate,,DEM,Jeff Merkley,60,,,
Linn,33,U.S. Senate,,DEM,Jeff Merkley,5,,,
Linn,34,U.S. Senate,,DEM,Jeff Merkley,16,,,
Linn,35,U.S. Senate,,DEM,Jeff Merkley,106,,,
Linn,36,U.S. Senate,,DEM,Jeff Merkley,72,,,
Linn,37,U.S. Senate,,DEM,Jeff Merkley,81,,,
Linn,38,U.S. Senate,,DEM,Jeff Merkley,46,,,
Linn,39,U.S. Senate,,DEM,Jeff Merkley,52,,,
Linn,41,U.S. Senate,,DEM,Jeff Merkley,47,,,
Linn,42,U.S. Senate,,DEM,Jeff Merkley,38,,,
Linn,43,U.S. Senate,,DEM,Jeff Merkley,59,,,
Linn,44,U.S. Senate,,DEM,Jeff Merkley,116,,,
Linn,45,U.S. Senate,,DEM,Jeff Merkley,37,,,
Linn,46,U.S. Senate,,DEM,Jeff Merkley,67,,,
Linn,47,U.S. Senate,,DEM,Jeff Merkley,35,,,
Linn,48,U.S. Senate,,DEM,Jeff Merkley,144,,,
Linn,49,U.S. Senate,,DEM,Jeff Merkley,0,,,
Linn,50,U.S. Senate,,DEM,Jeff Merkley,29,,,
Linn,51,U.S. Senate,,DEM,Jeff Merkley,12,,,
Linn,52,U.S. Senate,,DEM,Jeff Merkley,28,,,
Linn,53,U.S. Senate,,DEM,Jeff Merkley,74,,,
Linn,54,U.S. Senate,,DEM,Jeff Merkley,19,,,
Linn,55,U.S. Senate,,DEM,Jeff Merkley,45,,,
Linn,56,U.S. Senate,,DEM,Jeff Merkley,58,,,
Linn,57,U.S. Senate,,DEM,Jeff Merkley,2,,,
Linn,58,U.S. Senate,,DEM,Jeff Merkley,4,,,
