precinct,office,district,party,candidate,votes
PRECINCT 01 ,U.S. Senate,,CON,James E. Leuenberger,12
PRECINCT 10 ,U.S. Senate,,CON,James E. Leuenberger,8
PRECINCT 11 ,U.S. Senate,,CON,James E. Leuenberger,15
PRECINCT 12 ,U.S. Senate,,CON,James E. Leuenberger,2
PRECINCT 13 ,U.S. Senate,,CON,James E. Leuenberger,8
PRECINCT 14 ,U.S. Senate,,CON,James E. Leuenberger,15
PRECINCT 15 ,U.S. Senate,,CON,James E. Leuenberger,13
PRECINCT 16 ,U.S. Senate,,CON,James E. Leuenberger,19
PRECINCT 17 ,U.S. Senate,,CON,James E. Leuenberger,44
PRECINCT 02 ,U.S. Senate,,CON,James E. Leuenberger,12
PRECINCT 03 ,U.S. Senate,,CON,James E. Leuenberger,4
PRECINCT 04 ,U.S. Senate,,CON,James E. Leuenberger,18
PRECINCT 05 ,U.S. Senate,,CON,James E. Leuenberger,21
PRECINCT 06 ,U.S. Senate,,CON,James E. Leuenberger,5
PRECINCT 07 ,U.S. Senate,,CON,James E. Leuenberger,2
PRECINCT 01 ,U.S. Senate,,PGP,Christina Jean Lugo,2
PRECINCT 10 ,U.S. Senate,,PGP,Christina Jean Lugo,5
PRECINCT 11 ,U.S. Senate,,PGP,Christina Jean Lugo,12
PRECINCT 12 ,U.S. Senate,,PGP,Christina Jean Lugo,2
PRECINCT 13 ,U.S. Senate,,PGP,Christina Jean Lugo,3
PRECINCT 14 ,U.S. Senate,,PGP,Christina Jean Lugo,10
PRECINCT 15 ,U.S. Senate,,PGP,Christina Jean Lugo,9
PRECINCT 16 ,U.S. Senate,,PGP,Christina Jean Lugo,5
PRECINCT 17 ,U.S. Senate,,PGP,Christina Jean Lugo,22
PRECINCT 02 ,U.S. Senate,,PGP,Christina Jean Lugo,5
PRECINCT 03 ,U.S. Senate,,PGP,Christina Jean Lugo,10
PRECINCT 04 ,U.S. Senate,,PGP,Christina Jean Lugo,7
PRECINCT 05 ,U.S. Senate,,PGP,Christina Jean Lugo,14
PRECINCT 06 ,U.S. Senate,,PGP,Christina Jean Lugo,6
PRECINCT 07 ,U.S. Senate,,PGP,Christina Jean Lugo,2
PRECINCT 01 ,U.S. Senate,,DEM,Jeff Merkley,149
PRECINCT 10 ,U.S. Senate,,DEM,Jeff Merkley,130
PRECINCT 11 ,U.S. Senate,,DEM,Jeff Merkley,402
PRECINCT 12 ,U.S. Senate,,DEM,Jeff Merkley,16
PRECINCT 13 ,U.S. Senate,,DEM,Jeff Merkley,188
PRECINCT 14 ,U.S. Senate,,DEM,Jeff Merkley,125
PRECINCT 15 ,U.S. Senate,,DEM,Jeff Merkley,260
PRECINCT 16 ,U.S. Senate,,DEM,Jeff Merkley,130
PRECINCT 17 ,U.S. Senate,,DEM,Jeff Merkley,566
PRECINCT 02 ,U.S. Senate,,DEM,Jeff Merkley,123
PRECINCT 03 ,U.S. Senate,,DEM,Jeff Merkley,72
PRECINCT 04 ,U.S. Senate,,DEM,Jeff Merkley,251
PRECINCT 05 ,U.S. Senate,,DEM,Jeff Merkley,388
PRECINCT 06 ,U.S. Senate,,DEM,Jeff Merkley,206
PRECINCT 07 ,U.S. Senate,,DEM,Jeff Merkley,54
PRECINCT 01 ,U.S. Senate,,NAV,Mike Montchalin,20
PRECINCT 10 ,U.S. Senate,,NAV,Mike Montchalin,7
PRECINCT 11 ,U.S. Senate,,NAV,Mike Montchalin,31
PRECINCT 12 ,U.S. Senate,,NAV,Mike Montchalin,3
PRECINCT 13 ,U.S. Senate,,NAV,Mike Montchalin,14
PRECINCT 14 ,U.S. Senate,,NAV,Mike Montchalin,14
PRECINCT 15 ,U.S. Senate,,NAV,Mike Montchalin,30
PRECINCT 16 ,U.S. Senate,,NAV,Mike Montchalin,17
PRECINCT 17 ,U.S. Senate,,NAV,Mike Montchalin,74
PRECINCT 02 ,U.S. Senate,,NAV,Mike Montchalin,18
PRECINCT 03 ,U.S. Senate,,NAV,Mike Montchalin,7
PRECINCT 04 ,U.S. Senate,,NAV,Mike Montchalin,23
PRECINCT 05 ,U.S. Senate,,NAV,Mike Montchalin,31
PRECINCT 06 ,U.S. Senate,,NAV,Mike Montchalin,13
PRECINCT 07 ,U.S. Senate,,NAV,Mike Montchalin,7
PRECINCT 01 ,U.S. Senate,,REP,Monica Wehby,166
PRECINCT 10 ,U.S. Senate,,REP,Monica Wehby,121
PRECINCT 11 ,U.S. Senate,,REP,Monica Wehby,787
PRECINCT 12 ,U.S. Senate,,REP,Monica Wehby,54
PRECINCT 13 ,U.S. Senate,,REP,Monica Wehby,286
PRECINCT 14 ,U.S. Senate,,REP,Monica Wehby,89
PRECINCT 15 ,U.S. Senate,,REP,Monica Wehby,372
PRECINCT 16 ,U.S. Senate,,REP,Monica Wehby,231
PRECINCT 17 ,U.S. Senate,,REP,Monica Wehby,875
PRECINCT 02 ,U.S. Senate,,REP,Monica Wehby,130
PRECINCT 03 ,U.S. Senate,,REP,Monica Wehby,60
PRECINCT 04 ,U.S. Senate,,REP,Monica Wehby,421
PRECINCT 05 ,U.S. Senate,,REP,Monica Wehby,719
PRECINCT 06 ,U.S. Senate,,REP,Monica Wehby,197
PRECINCT 07 ,U.S. Senate,,REP,Monica Wehby,123
PRECINCT 01 ,U.S. Senate,,,Write-ins,4
PRECINCT 10 ,U.S. Senate,,,Write-ins,0
PRECINCT 11 ,U.S. Senate,,,Write-ins,5
PRECINCT 12 ,U.S. Senate,,,Write-ins,3
PRECINCT 13 ,U.S. Senate,,,Write-ins,1
PRECINCT 14 ,U.S. Senate,,,Write-ins,4
PRECINCT 15 ,U.S. Senate,,,Write-ins,1
PRECINCT 16 ,U.S. Senate,,,Write-ins,1
PRECINCT 17 ,U.S. Senate,,,Write-ins,9
PRECINCT 02 ,U.S. Senate,,,Write-ins,2
PRECINCT 03 ,U.S. Senate,,,Write-ins,1
PRECINCT 04 ,U.S. Senate,,,Write-ins,2
PRECINCT 05 ,U.S. Senate,,,Write-ins,3
PRECINCT 06 ,U.S. Senate,,,Write-ins,2
PRECINCT 07 ,U.S. Senate,,,Write-ins,0
PRECINCT 01 ,U.S. Senate,,,Over Votes,0
PRECINCT 10 ,U.S. Senate,,,Over Votes,0
PRECINCT 11 ,U.S. Senate,,,Over Votes,0
PRECINCT 12 ,U.S. Senate,,,Over Votes,0
PRECINCT 13 ,U.S. Senate,,,Over Votes,0
PRECINCT 14 ,U.S. Senate,,,Over Votes,0
