candidate,votes,pct,office,precinct,district,party
Mike Montchalin,113,4.49%,U.S. Senate,001,,
Jeff Merkley,1370,54.41%,U.S. Senate,001,,
Christina Jean Lugo,33,1.31%,U.S. Senate,001,,
James E Leuenberger,32,1.27%,U.S. Senate,001,,
Monica Wehby,949,37.69%,U.S. Senate,001,,
Write-in,21,0.83%,U.S. Senate,001,,
Cast Votes: ,2518,95.16%,U.S. Senate,001,,
Over Votes: ,1,0.04%,U.S. Senate,001,,
Under Votes: ,127,4.80%,U.S. Senate,001,,
Raymond Baldwin,53,2.13%,U.S. House,001,5,
Daniel K Souza,46,1.85%,U.S. House,001,5,
Kurt Schrader,1424,57.26%,U.S. House,001,5,
Tootie Smith,888,35.71%,U.S. House,001,5,
Marvin Sannes,66,2.65%,U.S. House,001,5,
Write-in,10,0.40%,U.S. House,001,5,
Cast Votes: ,2487,93.99%,U.S. House,001,5,
Over Votes: ,0,0.00%,U.S. House,001,5,
Under Votes: ,159,6.01%,U.S. House,001,5,
Dennis Richardson,1129,44.87%,Governor,001,,
Chris Henry,31,1.23%,Governor,001,,
Aaron Auer,36,1.43%,Governor,001,,
John  Kitzhaber,1215,48.29%,Governor,001,,
Paul Grad,43,1.71%,Governor,001,,
Jason  Levin,44,1.75%,Governor,001,,
Write-in,18,0.72%,Governor,001,,
Cast Votes: ,2516,95.09%,Governor,001,,
Over Votes: ,0,0.00%,Governor,001,,
Under Votes: ,130,4.91%,Governor,001,,
Alan R Olsen,1070,44.60%,State Senate,001,20,
Jamie Damon,1316,54.86%,State Senate,001,20,
Write-in,13,0.54%,State Senate,001,20,
Cast Votes: ,2399,90.67%,State Senate,001,20,
Over Votes: ,1,0.04%,State Senate,001,20,
Under Votes: ,246,9.30%,State Senate,001,20,
Steve Newgard,1056,43.56%,State House,001,40,
Brent Barton,1354,55.86%,State House,001,40,
Write-in,14,0.58,State House,001,40,
Cast Votes: ,2424,91.61%,State House,001,40,
Over Votes: ,0,0.00%,State House,001,40,
Under Votes: ,222,8.39%,State House,001,40,
Mike Montchalin,91,4.40%,U.S. Senate,002,,
Jeff Merkley,1095,53.00%,U.S. Senate,002,,
Christina Jean Lugo,48,2.32%,U.S. Senate,002,,
James E Leuenberger,41,1.98%,U.S. Senate,002,,
Monica Wehby,779,37.71%,U.S. Senate,002,,
Write-in,12,0.58%,U.S. Senate,002,,
Cast Votes: ,2066,96.50%,U.S. Senate,002,,
Over Votes: ,1,0.05%,U.S. Senate,002,,
