id,county,precinct,office,district,party,candidate,votes
2,Polk,102,Registered Voters,,,,1030
3,Polk,102,Ballots Cast,,,,866
4,Polk,102,Ballots Cast - Blank,,,,0
7,Polk,102,President,,REP,Donald J Trump / Michael R,517
8,Polk,102,President,,DEM,Joseph R Biden / Kamala D,309
9,Polk,102,President,,LBT,Jo Jorgensen / Jeremy (Spike),16
10,Polk,102,President,,PGP,Howie Hawkins / Angela Walker,3
11,Polk,102,President,,PRO,Dario Hunter / Dawn Neptune,1
12,Polk,102,President,,,Write-In Totals,6
14,Polk,102,President,,,Over Votes,1
15,Polk,102,President,,,Under Votes,13
18,Polk,102,U.S. Senate,,REP,Jo Rae Perkins,502
19,Polk,102,U.S. Senate,,DEM,Jeff Merkley,315
20,Polk,102,U.S. Senate,,PGP,Ibrahim A Taher,7
21,Polk,102,U.S. Senate,,LBT,Gary Dye,21
22,Polk,102,U.S. Senate,,,Write-In Totals,1
24,Polk,102,U.S. Senate,,,Over Votes,0
25,Polk,102,U.S. Senate,,,Under Votes,20
28,Polk,102,U.S. House,5,LBT,Matthew James Rix,21
29,Polk,102,U.S. House,5,REP,Amy Ryan Courser,517
30,Polk,102,U.S. House,5,DEM,Kurt Schrader,302
31,Polk,102,U.S. House,5,,Write-In Totals,0
33,Polk,102,U.S. House,5,,Over Votes,0
34,Polk,102,U.S. House,5,,Under Votes,26
38,Polk,102,Secretary of State,,PGP,Nathalie Paravicini,22
39,Polk,102,Secretary of State,,LBT,Kyle Markley,18
40,Polk,102,Secretary of State,,REP,Kim Thatcher,534
41,Polk,102,Secretary of State,,DEM,Shemia Fagan,261
42,Polk,102,Secretary of State,,,Write-In Totals,0
44,Polk,102,Secretary of State,,,Over Votes,0
45,Polk,102,Secretary of State,,,Under Votes,31
48,Polk,102,State Treasurer,,CON,Michael P Marsh,25
49,Polk,102,State Treasurer,,DEM,Tobias Read,277
50,Polk,102,State Treasurer,,IND,Chris Henry,34
51,Polk,102,State Treasurer,,REP,Jeff Gudman,485
52,Polk,102,State Treasurer,,,Write-In Totals,2
54,Polk,102,State Treasurer,,,Over Votes,1
55,Polk,102,State Treasurer,,,Under Votes,42
58,Polk,102,Attorney General,,DEM,Ellen Rosenblum,301
59,Polk,102,Attorney General,,LBT,Lars D H Hedbor,21
60,Polk,102,Attorney General,,REP,Michael Cross,504
61,Polk,102,Attorney General,,,Write-In Totals,2
63,Polk,102,Attorney General,,,Over Votes,0
64,Polk,102,Attorney General,,,Under Votes,38
67,Polk,102,State Senate,12,REP,Brian J Boquist,550
68,Polk,102,State Senate,12,DEM,Bernadette Hansen,271
69,Polk,102,State Senate,12,,Write-In Totals,0
71,Polk,102,State Senate,12,,Over Votes,0
72,Polk,102,State Senate,12,,Under Votes,45
76,Polk,102,State House,23,PGP,Alex Polikoff,28
77,Polk,102,State House,23,LBT,Scott D Clawson,21
78,Polk,102,State House,23,REP,Mike Nearman,512
79,Polk,102,State House,23,DEM,Sean K Scorvo,254
80,Polk,102,State House,23,,Write-In Totals,0
82,Polk,102,State House,23,,Over Votes,1
83,Polk,102,State House,23,,Under Votes,50
86,Polk,102,Judge of the Supreme Court Position 4,,,Christopher L Garrett,530
87,Polk,102,Judge of the Supreme Court Position 4,,,Write-In Totals,24
89,Polk,102,Judge of the Supreme Court Position 4,,,Over Votes,1
90,Polk,102,Judge of the Supreme Court Position 4,,,Under Votes,311
93,Polk,102,Judge of the Court of Appeals Position 9,,,Jacqueline S Kamins,526
94,Polk,102,Judge of the Court of Appeals Position 9,,,Write-In Totals,26
96,Polk,102,Judge of the Court of Appeals Position 9,,,Over Votes,0
97,Polk,102,Judge of the Court of Appeals Position 9,,,Under Votes,314
100,Polk,102,Polk County Commissioner Position 1 POLK,,,Lyle R Mordhorst,463
101,Polk,102,Polk County Commissioner Position 1 POLK,,,Danny Jaffer,248
102,Polk,102,Polk County Commissioner Position 1 POLK,,,Write-In Totals,1
104,Polk,102,Polk County Commissioner Position 1 POLK,,,Over Votes,0
105,Polk,102,Polk County Commissioner Position 1 POLK,,,Under Votes,154
109,Polk,102,Polk County Clerk POLK,,,Valerie Unger,597
110,Polk,102,Polk County Clerk POLK,,,Write-In Totals,5
112,Polk,102,Polk County Clerk POLK,,,Over Votes,0
113,Polk,102,Polk County Clerk POLK,,,Under Votes,264
116,Polk,102,Polk County Sheriff POLK,,,Mark Garton,587
117,Polk,102,Polk County Sheriff POLK,,,Write-In Totals,6
119,Polk,102,Polk County Sheriff POLK,,,Over Votes,1
120,Polk,102,Polk County Sheriff POLK,,,Under Votes,272
