county,precinct,office,district,party,candidate,votes,BallotsWith Contest,Overvoted WithVote for this Choice,Undervoted WithoutVote for this Choice
Multnomah,2701,President,,REP,Donald J Trump / Michael R Pence,107,649,0,9
Multnomah,2702,President,,REP,Donald J Trump / Michael R Pence,160,881,0,10
Multnomah,3101,President,,REP,Donald J Trump / Michael R Pence,249,1412,0,8
Multnomah,3102,President,,REP,Donald J Trump / Michael R Pence,601,2015,0,22
Multnomah,3103,President,,REP,Donald J Trump / Michael R Pence,197,627,0,2
Multnomah,3301,President,,REP,Donald J Trump / Michael R Pence,961,13068,0,105
Multnomah,3303,President,,REP,Donald J Trump / Michael R Pence,635,3893,0,44
Multnomah,3304,President,,REP,Donald J Trump / Michael R Pence,87,623,0,4
Multnomah,3501,President,,REP,Donald J Trump / Michael R Pence,194,1021,0,11
Multnomah,3502,President,,REP,Donald J Trump / Michael R Pence,719,5036,0,37
Multnomah,3602,President,,REP,Donald J Trump / Michael R Pence,405,5913,2,49
Multnomah,3603,President,,REP,Donald J Trump / Michael R Pence,871,8100,4,78
Multnomah,3604,President,,REP,Donald J Trump / Michael R Pence,34,172,0,2
Multnomah,3605,President,,REP,Donald J Trump / Michael R Pence,302,2494,0,27
Multnomah,3606,President,,REP,Donald J Trump / Michael R Pence,189,1899,1,9
Multnomah,3607,President,,REP,Donald J Trump / Michael R Pence,581,5968,0,53
Multnomah,3608,President,,REP,Donald J Trump / Michael R Pence,551,5205,1,40
Multnomah,3609,President,,REP,Donald J Trump / Michael R Pence,80,539,0,8
Multnomah,3610,President,,REP,Donald J Trump / Michael R Pence,426,3755,1,35
Multnomah,3611,President,,REP,Donald J Trump / Michael R Pence,640,5533,1,42
Multnomah,3612,President,,REP,Donald J Trump / Michael R Pence,536,5259,0,43
Multnomah,3801,President,,REP,Donald J Trump / Michael R Pence,9,66,0,0
Multnomah,3802,President,,REP,Donald J Trump / Michael R Pence,1241,9282,1,71
Multnomah,3803,President,,REP,Donald J Trump / Michael R Pence,688,6177,0,54
Multnomah,3804,President,,REP,Donald J Trump / Michael R Pence,150,1315,0,7
Multnomah,3805,President,,REP,Donald J Trump / Michael R Pence,132,833,0,3
Multnomah,3806,President,,REP,Donald J Trump / Michael R Pence,422,2079,0,23
Multnomah,3807,President,,REP,Donald J Trump / Michael R Pence,264,1156,0,17
Multnomah,3808,President,,REP,Donald J Trump / Michael R Pence,8,135,0,1
Multnomah,4101,President,,REP,Donald J Trump / Michael R Pence,806,9490,0,56
Multnomah,4102,President,,REP,Donald J Trump / Michael R Pence,718,5021,1,33
Multnomah,4103,President,,REP,Donald J Trump / Michael R Pence,357,3834,0,34
Multnomah,4203,President,,REP,Donald J Trump / Michael R Pence,477,10595,0,65
Multnomah,4204,President,,REP,Donald J Trump / Michael R Pence,400,8693,0,43
Multnomah,4205,President,,REP,Donald J Trump / Michael R Pence,216,4346,0,29
Multnomah,4207,President,,REP,Donald J Trump / Michael R Pence,217,5148,2,39
Multnomah,4208,President,,REP,Donald J Trump / Michael R Pence,190,3279,1,10
Multnomah,4209,President,,REP,Donald J Trump / Michael R Pence,566,7840,0,50
Multnomah,4210,President,,REP,Donald J Trump / Michael R Pence,951,10586,0,76
Multnomah,4301,President,,REP,Donald J Trump / Michael R Pence,458,9538,1,55
Multnomah,4302,President,,REP,Donald J Trump / Michael R Pence,572,10926,1,77
Multnomah,4304,President,,REP,Donald J Trump / Michael R Pence,361,7699,0,51
Multnomah,4305,President,,REP,Donald J Trump / Michael R Pence,847,9939,0,69
Multnomah,4306,President,,REP,Donald J Trump / Michael R Pence,80,1867,0,11
Multnomah,4310,President,,REP,Donald J Trump / Michael R Pence,319,8488,0,55
Multnomah,4401,President,,REP,Donald J Trump / Michael R Pence,1030,9833,2,69
Multnomah,4402,President,,REP,Donald J Trump / Michael R Pence,1384,10087,3,59
Multnomah,4403,President,,REP,Donald J Trump / Michael R Pence,610,8088,0,44
Multnomah,4404,President,,REP,Donald J Trump / Michael R Pence,907,9530,2,68
Multnomah,4409,President,,REP,Donald J Trump / Michael R Pence,473,2186,3,25
Multnomah,4501,President,,REP,Donald J Trump / Michael R Pence,785,10243,0,78
Multnomah,4502,President,,REP,Donald J Trump / Michael R Pence,482,4575,2,26
Multnomah,4503,President,,REP,Donald J Trump / Michael R Pence,245,4099,1,30
Multnomah,4505,President,,REP,Donald J Trump / Michael R Pence,792,7614,0,39
Multnomah,4506,President,,REP,Donald J Trump / Michael R Pence,717,3495,0,29
Multnomah,4508,President,,REP,Donald J Trump / Michael R Pence,590,4329,0,38
Multnomah,4509,President,,REP,Donald J Trump / Michael R Pence,791,2792,0,27
Multnomah,4510,President,,REP,Donald J Trump / Michael R Pence,662,2379,0,17
Multnomah,4511,President,,REP,Donald J Trump / Michael R Pence,694,2582,1,32
Multnomah,4512,President,,REP,Donald J Trump / Michael R Pence,95,600,0,9
Multnomah,4601,President,,REP,Donald J Trump / Michael R Pence,785,9900,0,66
Multnomah,4602,President,,REP,Donald J Trump / Michael R Pence,263,3792,1,30
Multnomah,4604,President,,REP,Donald J Trump / Michael R Pence,1244,6007,3,33
Multnomah,4605,President,,REP,Donald J Trump / Michael R Pence,612,5158,0,33
Multnomah,4606,President,,REP,Donald J Trump / Michael R Pence,1372,10602,0,67
Multnomah,4607,President,,REP,Donald J Trump / Michael R Pence,929,3703,0,30
Multnomah,4608,President,,REP,Donald J Trump / Michael R Pence,277,1474,0,11
Multnomah,4701,President,,REP,Donald J Trump / Michael R Pence,848,2833,2,30
Multnomah,4702,President,,REP,Donald J Trump / Michael R Pence,254,819,0,9
Multnomah,4703,President,,REP,Donald J Trump / Michael R Pence,605,2180,0,28
Multnomah,4704,President,,REP,Donald J Trump / Michael R Pence,1315,4040,3,41
Multnomah,4705,President,,REP,Donald J Trump / Michael R Pence,1397,5464,0,57
Multnomah,4706,President,,REP,Donald J Trump / Michael R Pence,1181,3370,1,49
Multnomah,4707,President,,REP,Donald J Trump / Michael R Pence,493,1767,0,20
Multnomah,4708,President,,REP,Donald J Trump / Michael R Pence,1054,3883,2,32
Multnomah,4709,President,,REP,Donald J Trump / Michael R Pence,598,1988,0,20
Multnomah,4710,President,,REP,Donald J Trump / Michael R Pence,1285,3615,1,32
Multnomah,4801,President,,REP,Donald J Trump / Michael R Pence,487,1473,2,14
Multnomah,4802,President,,REP,Donald J Trump / Michael R Pence,11,44,0,0
Multnomah,4803,President,,REP,Donald J Trump / Michael R Pence,1636,7396,1,50
Multnomah,4804,President,,REP,Donald J Trump / Michael R Pence,373,1662,0,16
Multnomah,4805,President,,REP,Donald J Trump / Michael R Pence,275,894,1,13
Multnomah,4806,President,,REP,Donald J Trump / Michael R Pence,573,1615,0,15
Multnomah,4807,President,,REP,Donald J Trump / Michael R Pence,974,3082,5,28
Multnomah,4901,President,,REP,Donald J Trump / Michael R Pence,29,52,0,0
Multnomah,4902,President,,REP,Donald J Trump / Michael R Pence,11,24,0,0
Multnomah,4903,President,,REP,Donald J Trump / Michael R Pence,1814,4892,2,24
Multnomah,4904,President,,REP,Donald J Trump / Michael R Pence,3873,8654,1,92
Multnomah,4905,President,,REP,Donald J Trump / Michael R Pence,179,319,0,1
Multnomah,4906,President,,REP,Donald J Trump / Michael R Pence,569,1471,1,16
Multnomah,4907,President,,REP,Donald J Trump / Michael R Pence,102,276,0,2
Multnomah,4908,President,,REP,Donald J Trump / Michael R Pence,962,2378,0,26
Multnomah,4909,President,,REP,Donald J Trump / Michael R Pence,1621,4494,0,51
Multnomah,4910,President,,REP,Donald J Trump / Michael R Pence,1146,3597,2,25
Multnomah,4911,President,,REP,Donald J Trump / Michael R Pence,1715,4386,2,33
Multnomah,5001,President,,REP,Donald J Trump / Michael R Pence,1515,4195,0,49
Multnomah,5002,President,,REP,Donald J Trump / Michael R Pence,3077,7460,0,95
Multnomah,5003,President,,REP,Donald J Trump / Michael R Pence,419,1157,0,13
Multnomah,5004,President,,REP,Donald J Trump / Michael R Pence,2567,6527,1,70
Multnomah,5006,President,,REP,Donald J Trump / Michael R Pence,1743,3790,2,39
Multnomah,5007,President,,REP,Donald J Trump / Michael R Pence,1466,3740,0,41
Multnomah,5008,President,,REP,Donald J Trump / Michael R Pence,1586,3577,1,36
Multnomah,5009,President,,REP,Donald J Trump / Michael R Pence,492,1105,0,10
Multnomah,5101,President,,REP,Donald J Trump / Michael R Pence,264,800,0,6
Multnomah,5102,President,,REP,Donald J Trump / Michael R Pence,1709,4787,0,59
Multnomah,5103,President,,REP,Donald J Trump / Michael R Pence,1013,2745,0,22
Multnomah,5104,President,,REP,Donald J Trump / Michael R Pence,1472,3928,2,29
Multnomah,5105,President,,REP,Donald J Trump / Michael R Pence,224,397,0,3
Multnomah,5106,President,,REP,Donald J Trump / Michael R Pence,663,1710,1,21
Multnomah,5107,President,,REP,Donald J Trump / Michael R Pence,607,1298,0,22
Multnomah,5202,President,,REP,Donald J Trump / Michael R Pence,1241,2677,0,30
Multnomah,5203,President,,REP,Donald J Trump / Michael R Pence,1194,2079,0,16
Multnomah,5204,President,,REP,Donald J Trump / Michael R Pence,1650,3526,0,39
Multnomah,2701,President,,DEM,Joseph R Biden / Kamala D Harris,514,649,1,9
Multnomah,2702,President,,DEM,Joseph R Biden / Kamala D Harris,680,881,0,10
Multnomah,3101,President,,DEM,Joseph R Biden / Kamala D Harris,1108,1412,0,8
Multnomah,3102,President,,DEM,Joseph R Biden / Kamala D Harris,1338,2015,0,22
Multnomah,3103,President,,DEM,Joseph R Biden / Kamala D Harris,405,627,0,2
Multnomah,3301,President,,DEM,Joseph R Biden / Kamala D Harris,11673,13068,0,105
Multnomah,3303,President,,DEM,Joseph R Biden / Kamala D Harris,3118,3893,0,44
Multnomah,3304,President,,DEM,Joseph R Biden / Kamala D Harris,515,623,0,4
Multnomah,3501,President,,DEM,Joseph R Biden / Kamala D Harris,785,1021,0,11
Multnomah,3502,President,,DEM,Joseph R Biden / Kamala D Harris,4134,5036,0,37
Multnomah,3602,President,,DEM,Joseph R Biden / Kamala D Harris,5312,5913,3,49
Multnomah,3603,President,,DEM,Joseph R Biden / Kamala D Harris,6867,8100,3,78
Multnomah,3604,President,,DEM,Joseph R Biden / Kamala D Harris,130,172,0,2
Multnomah,3605,President,,DEM,Joseph R Biden / Kamala D Harris,2117,2494,0,27
Multnomah,3606,President,,DEM,Joseph R Biden / Kamala D Harris,1648,1899,1,9
Multnomah,3607,President,,DEM,Joseph R Biden / Kamala D Harris,5199,5968,1,53
Multnomah,3608,President,,DEM,Joseph R Biden / Kamala D Harris,4469,5205,1,40
Multnomah,3609,President,,DEM,Joseph R Biden / Kamala D Harris,438,539,0,8
Multnomah,3610,President,,DEM,Joseph R Biden / Kamala D Harris,3199,3755,3,35
Multnomah,3611,President,,DEM,Joseph R Biden / Kamala D Harris,4694,5533,2,42
Multnomah,3612,President,,DEM,Joseph R Biden / Kamala D Harris,4486,5259,1,43
Multnomah,3801,President,,DEM,Joseph R Biden / Kamala D Harris,53,66,0,0
Multnomah,3802,President,,DEM,Joseph R Biden / Kamala D Harris,7706,9282,2,71
Multnomah,3803,President,,DEM,Joseph R Biden / Kamala D Harris,5254,6177,0,54
Multnomah,3804,President,,DEM,Joseph R Biden / Kamala D Harris,1126,1315,0,7
Multnomah,3805,President,,DEM,Joseph R Biden / Kamala D Harris,683,833,0,3
Multnomah,3806,President,,DEM,Joseph R Biden / Kamala D Harris,1574,2079,0,23
Multnomah,3807,President,,DEM,Joseph R Biden / Kamala D Harris,836,1156,0,17
Multnomah,3808,President,,DEM,Joseph R Biden / Kamala D Harris,121,135,0,1
Multnomah,4101,President,,DEM,Joseph R Biden / Kamala D Harris,8409,9490,2,56
Multnomah,4102,President,,DEM,Joseph R Biden / Kamala D Harris,4131,5021,0,33
Multnomah,4103,President,,DEM,Joseph R Biden / Kamala D Harris,3367,3834,1,34
Multnomah,4203,President,,DEM,Joseph R Biden / Kamala D Harris,9728,10595,5,65
Multnomah,4204,President,,DEM,Joseph R Biden / Kamala D Harris,8064,8693,1,43
Multnomah,4205,President,,DEM,Joseph R Biden / Kamala D Harris,3975,4346,0,29
Multnomah,4207,President,,DEM,Joseph R Biden / Kamala D Harris,4750,5148,2,39
Multnomah,4208,President,,DEM,Joseph R Biden / Kamala D Harris,2989,3279,1,10
Multnomah,4209,President,,DEM,Joseph R Biden / Kamala D Harris,6966,7840,2,50
Multnomah,4210,President,,DEM,Joseph R Biden / Kamala D Harris,9237,10586,0,76
Multnomah,4301,President,,DEM,Joseph R Biden / Kamala D Harris,8816,9538,6,55
Multnomah,4302,President,,DEM,Joseph R Biden / Kamala D Harris,9981,10926,12,77
Multnomah,4304,President,,DEM,Joseph R Biden / Kamala D Harris,7128,7699,4,51
Multnomah,4305,President,,DEM,Joseph R Biden / Kamala D Harris,8800,9939,1,69
Multnomah,4306,President,,DEM,Joseph R Biden / Kamala D Harris,1743,1867,0,11
Multnomah,4310,President,,DEM,Joseph R Biden / Kamala D Harris,7915,8488,9,55
Multnomah,4401,President,,DEM,Joseph R Biden / Kamala D Harris,8374,9833,2,69
Multnomah,4402,President,,DEM,Joseph R Biden / Kamala D Harris,8307,10087,4,59
Multnomah,4403,President,,DEM,Joseph R Biden / Kamala D Harris,7232,8088,3,44
Multnomah,4404,President,,DEM,Joseph R Biden / Kamala D Harris,8264,9530,4,68
Multnomah,4409,President,,DEM,Joseph R Biden / Kamala D Harris,1613,2186,0,25
Multnomah,4501,President,,DEM,Joseph R Biden / Kamala D Harris,9190,10243,1,78
Multnomah,4502,President,,DEM,Joseph R Biden / Kamala D Harris,3948,4575,0,26
Multnomah,4503,President,,DEM,Joseph R Biden / Kamala D Harris,3703,4099,1,30
Multnomah,4505,President,,DEM,Joseph R Biden / Kamala D Harris,6596,7614,2,39
Multnomah,4506,President,,DEM,Joseph R Biden / Kamala D Harris,2656,3495,1,29
Multnomah,4508,President,,DEM,Joseph R Biden / Kamala D Harris,3550,4329,1,38
Multnomah,4509,President,,DEM,Joseph R Biden / Kamala D Harris,1896,2792,1,27
Multnomah,4510,President,,DEM,Joseph R Biden / Kamala D Harris,1647,2379,2,17
Multnomah,4511,President,,DEM,Joseph R Biden / Kamala D Harris,1779,2582,1,32
Multnomah,4512,President,,DEM,Joseph R Biden / Kamala D Harris,474,600,0,9
Multnomah,4601,President,,DEM,Joseph R Biden / Kamala D Harris,8828,9900,3,66
Multnomah,4602,President,,DEM,Joseph R Biden / Kamala D Harris,3434,3792,0,30
Multnomah,4604,President,,DEM,Joseph R Biden / Kamala D Harris,4527,6007,2,33
Multnomah,4605,President,,DEM,Joseph R Biden / Kamala D Harris,4359,5158,2,33
Multnomah,4606,President,,DEM,Joseph R Biden / Kamala D Harris,8834,10602,2,67
Multnomah,4607,President,,DEM,Joseph R Biden / Kamala D Harris,2627,3703,3,30
Multnomah,4608,President,,DEM,Joseph R Biden / Kamala D Harris,1127,1474,0,11
Multnomah,4701,President,,DEM,Joseph R Biden / Kamala D Harris,1880,2833,5,30
Multnomah,4702,President,,DEM,Joseph R Biden / Kamala D Harris,528,819,0,9
Multnomah,4703,President,,DEM,Joseph R Biden / Kamala D Harris,1474,2180,0,28
Multnomah,4704,President,,DEM,Joseph R Biden / Kamala D Harris,2582,4040,8,41
Multnomah,4705,President,,DEM,Joseph R Biden / Kamala D Harris,3847,5464,4,57
Multnomah,4706,President,,DEM,Joseph R Biden / Kamala D Harris,2001,3370,1,49
Multnomah,4707,President,,DEM,Joseph R Biden / Kamala D Harris,1196,1767,0,20
Multnomah,4708,President,,DEM,Joseph R Biden / Kamala D Harris,2685,3883,2,32
Multnomah,4709,President,,DEM,Joseph R Biden / Kamala D Harris,1304,1988,1,20
Multnomah,4710,President,,DEM,Joseph R Biden / Kamala D Harris,2175,3615,2,32
Multnomah,4801,President,,DEM,Joseph R Biden / Kamala D Harris,925,1473,0,14
Multnomah,4802,President,,DEM,Joseph R Biden / Kamala D Harris,31,44,0,0
Multnomah,4803,President,,DEM,Joseph R Biden / Kamala D Harris,5421,7396,6,50
Multnomah,4804,President,,DEM,Joseph R Biden / Kamala D Harris,1209,1662,0,16
Multnomah,4805,President,,DEM,Joseph R Biden / Kamala D Harris,571,894,1,13
Multnomah,4806,President,,DEM,Joseph R Biden / Kamala D Harris,958,1615,0,15
Multnomah,4807,President,,DEM,Joseph R Biden / Kamala D Harris,1969,3082,4,28
Multnomah,4901,President,,DEM,Joseph R Biden / Kamala D Harris,22,52,0,0
Multnomah,4902,President,,DEM,Joseph R Biden / Kamala D Harris,12,24,0,0
Multnomah,4903,President,,DEM,Joseph R Biden / Kamala D Harris,2887,4892,2,24
