county,candidate,votes,office,party,district
Baker,Ellen Rosenblum,942,Attorney General,D,
Benton,Ellen Rosenblum,14386,Attorney General,D,
Clackamas,Ellen Rosenblum,48197,Attorney General,D,
Clatsop,Ellen Rosenblum,5262,Attorney General,D,
Columbia,Ellen Rosenblum,6006,Attorney General,D,
Coos,Ellen Rosenblum,5737,Attorney General,D,
Crook,Ellen Rosenblum,1586,Attorney General,D,
Curry,Ellen Rosenblum,2348,Attorney General,D,
Deschutes,Ellen Rosenblum,21969,Attorney General,D,
Douglas,Ellen Rosenblum,7257,Attorney General,D,
Gilliam,Ellen Rosenblum,135,Attorney General,D,
Grant,Ellen Rosenblum,397,Attorney General,D,
Harney,Ellen Rosenblum,403,Attorney General,D,
Hood River,Ellen Rosenblum,3137,Attorney General,D,
Jackson,Ellen Rosenblum,22034,Attorney General,D,
Jefferson,Ellen Rosenblum,1461,Attorney General,D,
Josephine,Ellen Rosenblum,6497,Attorney General,D,
Klamath,Ellen Rosenblum,3707,Attorney General,D,
Lake,Ellen Rosenblum,275,Attorney General,D,
Lane,Ellen Rosenblum,48078,Attorney General,D,
Lincoln,Ellen Rosenblum,7472,Attorney General,D,
Linn,Ellen Rosenblum,9137,Attorney General,D,
Malheur,Ellen Rosenblum,910,Attorney General,D,
Marion,Ellen Rosenblum,27355,Attorney General,D,
Morrow,Ellen Rosenblum,485,Attorney General,D,
Multnomah,Ellen Rosenblum,140773,Attorney General,D,
Polk,Ellen Rosenblum,8437,Attorney General,D,
Sherman,Ellen Rosenblum,124,Attorney General,D,
Tillamook,Ellen Rosenblum,3296,Attorney General,D,
Umatilla,Ellen Rosenblum,3085,Attorney General,D,
Union,Ellen Rosenblum,1772,Attorney General,D,
Wallowa,Ellen Rosenblum,673,Attorney General,D,
Wasco,Ellen Rosenblum,2484,Attorney General,D,
Washington,Ellen Rosenblum,68025,Attorney General,D,
Wheeler,Ellen Rosenblum,116,Attorney General,D,
Yamhill,Ellen Rosenblum,9315,Attorney General,D,
Total,Ellen Rosenblum,483273,Attorney General,D,
Baker,Misc.,12,Attorney General,D,
Benton,Misc.,105,Attorney General,D,
Clackamas,Misc.,450,Attorney General,D,
Clatsop,Misc.,47,Attorney General,D,
Columbia,Misc.,114,Attorney General,D,
Coos,Misc.,116,Attorney General,D,
Crook,Misc.,23,Attorney General,D,
Curry,Misc.,21,Attorney General,D,
Deschutes,Misc.,129,Attorney General,D,
Douglas,Misc.,153,Attorney General,D,
Gilliam,Misc.,1,Attorney General,D,
Grant,Misc.,12,Attorney General,D,
Harney,Misc.,22,Attorney General,D,
Hood River,Misc.,26,Attorney General,D,
Jackson,Misc.,185,Attorney General,D,
Jefferson,Misc.,18,Attorney General,D,
