county,precinct,office,district,party,candidate,votes,
Jefferson,Haystack ,President,,We The People,Robert F. Kennedy Jr, 6,
Jefferson,Haystack ,President,,Progressive,Cornel West, 0,
Jefferson,Haystack ,President,,Libertarian,Chase Oliver, 4,
Jefferson,Haystack ,President,,Constitution,Randall Terry, 1,
Jefferson,Haystack ,President,,Republican,Donald J Trump, 865,
Jefferson,Haystack ,President,,Pacific Green,Jill Stein, 2,
Jefferson,Haystack ,President,,Democrat,Kamala Harris, 234,
Jefferson,Haystack ,President,,,Write-In , 4,
Jefferson,Haystack ,President,,,Total , 1123,
Jefferson,Haystack ,U. S. House,2,Republican,Cliff Bentz, 860,
Jefferson,Haystack ,U. S. House,2,Constitution,Michael Kurt Stettler, 24,
Jefferson,Haystack ,U. S. House,2,Democrat,Dan Ruby, 190,
Jefferson,Haystack ,U. S. House,2,,Write-In , 1,
Jefferson,Haystack ,U. S. House,2,,Total , 1123,
Jefferson,Haystack ,Secretary of State,,Pacific Green,Nathalie Paravicini, 10,
Jefferson,Haystack ,Secretary of State,,Republican,Dennis Linthicum, 838,
Jefferson,Haystack ,Secretary of State,,Democrat,Tobias Read, 232,
Jefferson,Haystack ,Secretary of State,,, Write-in, 0,
Jefferson,Haystack ,Secretary of State,,,Total , 1122,
Jefferson,Haystack ,State Treasurer,,Working Families,Mary King, 41,
Jefferson,Haystack ,State Treasurer,,Republican,Brian J Boquist, 848,
Jefferson,Haystack ,State Treasurer,,Democrat,Elizabeth Steiner, 185,
Jefferson,Haystack ,State Treasurer,,,Write-in, 1,
Jefferson,Haystack ,State Treasurer,,,Total , 1122,
Jefferson,Haystack ,Attorney General,,Republican,Will Lathrop , 866,
Jefferson,Haystack ,Attorney General,,Democrat,Dan Rayfield, 211,
Jefferson,Haystack ,Attorney General,,,Write-in,1,
Jefferson,Haystack ,Attorney General,,,Total , 1122,
Jefferson,Haystack ,State Senator,30,Republican,Mike McLane,823,
Jefferson,Haystack ,State Senator,30,,Write-in,11,
Jefferson,Haystack ,State Senator,30,,Total ,834,
Jefferson,Haystack ,State Representative,59,Republican,Vikki Breese-Iverson, 861,
Jefferson,Haystack ,State Representative,59,Democrat,Brian K Samp, 195,
Jefferson,Haystack ,State Representative,59,,Write-in,1,
Jefferson,Haystack ,State Representative,59,,Total ,1056,
Jefferson,Crooked River Ranch,President,,We The People,Robert F. Kennedy Jr, 51,
Jefferson,Crooked River Ranch,President,,Progressive,Cornel West, 4,
Jefferson,Crooked River Ranch,President,,Libertarian,Chase Oliver, 2,
Jefferson,Crooked River Ranch,President,,Constitution,Randall Terry, 5,
Jefferson,Crooked River Ranch,President,,Republican,Donald J Trump, 2230,
Jefferson,Crooked River Ranch,President,,Pacific Green,Jill Stein, 8,
Jefferson,Crooked River Ranch,President,,Democrat,Kamala Harris, 948,
Jefferson,Crooked River Ranch,President,,,Write-In , 14,
Jefferson,Crooked River Ranch,President,,,Total , 3290,
Jefferson,Crooked River Ranch,U. S. House,2,Republican,Cliff Bentz, 2206,
Jefferson,Crooked River Ranch,U. S. House,2,Constitution,Michael Kurt Stettler, 79,
Jefferson,Crooked River Ranch,U. S. House,2,Democrat,Dan Ruby, 855,
Jefferson,Crooked River Ranch,U. S. House,2,,Write-In , 3,
Jefferson,Crooked River Ranch,U. S. House,2,,Total , 3290,
Jefferson,Crooked River Ranch,Secretary of State,,Pacific Green,Nathalie Paravicini, 52,
Jefferson,Crooked River Ranch,Secretary of State,,Republican,Dennis Linthicum, 2184,
Jefferson,Crooked River Ranch,Secretary of State,,Democrat,Tobias Read, 921,
Jefferson,Crooked River Ranch,Secretary of State,,,Write-in, 2,
Jefferson,Crooked River Ranch,Secretary of State,,,Total , 3288,
Jefferson,Crooked River Ranch,State Treasurer,,Working Families,Mary King, 124,
Jefferson,Crooked River Ranch,State Treasurer,,Republican,Brian J Boquist, 2219,
Jefferson,Crooked River Ranch,State Treasurer,,Democrat,Elizabeth Steiner, 807,
Jefferson,Crooked River Ranch,State Treasurer,,,Write-in, 2,
Jefferson,Crooked River Ranch,State Treasurer,,,Total , 3288,
Jefferson,Crooked River Ranch,Attorney General,,Republican,Will Lathrop , 2270,
Jefferson,Crooked River Ranch,Attorney General,,Democrat,Dan Rayfield, 878,
Jefferson,Crooked River Ranch,Attorney General,,,Write-in, 1,
Jefferson,Crooked River Ranch,Attorney General,,,Total , 3288,
Jefferson,Crooked River Ranch,State Senator,30,Republican,Mike McLane, 2393,
Jefferson,Crooked River Ranch,State Senator,30,,Write-in, 52,
Jefferson,Crooked River Ranch,State Senator,30,,Total , 3288,
Jefferson,Crooked River Ranch,State Representative,59,Republican,Vikki Breese-Iverson, 2262,
Jefferson,Crooked River Ranch,State Representative,59,Democrat,Brian K Samp, 819,
Jefferson,Crooked River Ranch,State Representative,59,,Write-in, 2,
Jefferson,Crooked River Ranch,State Representative,59,,Total , 3288,
Jefferson,Ashwood,President,,We The People,Robert F. Kennedy Jr, 2,
Jefferson,Ashwood,President,,Progressive,Cornel West, 0,
Jefferson,Ashwood,President,,Libertarian,Chase Oliver, 0,
Jefferson,Ashwood,President,,Constitution,Randall Terry, 0,
Jefferson,Ashwood,President,,Republican,Donald J Trump, 20,
Jefferson,Ashwood,President,,Pacific Green,Jill Stein, 0,
Jefferson,Ashwood,President,,Democrat,Kamala Harris, 8,
Jefferson,Ashwood,President,,,Write-In , 1,
Jefferson,Ashwood,President,,,Total , 33,
Jefferson,Ashwood,U. S. House,2,Republican,Cliff Bentz, 22,
Jefferson,Ashwood,U. S. House,2,Constitution,Michael Kurt Stettler, 1,
Jefferson,Ashwood,U. S. House,2,Democrat,Dan Ruby, 8,
Jefferson,Ashwood,U. S. House,2,,Write-In , 0,
Jefferson,Ashwood,U. S. House,2,,Total , 33,
Jefferson,Ashwood,Secretary of State,,Pacific Green,Nathalie Paravicini, 0,
Jefferson,Ashwood,Secretary of State,,Republican,Dennis Linthicum, 18,
Jefferson,Ashwood,Secretary of State,,Democrat,Tobias Read, 12, 
Jefferson,Ashwood,Secretary of State,,, Write-in, 0,
Jefferson,Ashwood,Secretary of State,,,Total , 33,
Jefferson,Ashwood,State Treasurer,,Working Families,Mary King, 0,
Jefferson,Ashwood,State Treasurer,,Republican,Brian J Boquist, 20,
Jefferson,Ashwood,State Treasurer,,Democrat,Elizabeth Steiner, 9,
Jefferson,Ashwood,State Treasurer,,,Write-in, 0,
Jefferson,Ashwood,State Treasurer,,,Total , 33,
Jefferson,Ashwood,Attorney General,,Republican,Will Lathrop , 22,
Jefferson,Ashwood,Attorney General,,Democrat,Dan Rayfield, 8,
Jefferson,Ashwood,Attorney General,,,Write-in, 0,
Jefferson,Ashwood,Attorney General,,,Total , 33,
Jefferson,Ashwood,State Senator,30,Republican,Mike McLane, 22,
Jefferson,Ashwood,State Senator,30,,Write-in, 0,
Jefferson,Ashwood,State Senator,30,,Total ,33,
Jefferson,Ashwood,State Representative,59,Republican,Vikki Breese-Iverson, 23,
Jefferson,Ashwood,State Representative,59,Democrat,Brian K Samp, 8,
Jefferson,Ashwood,State Representative,59,,Write-in, 0,
Jefferson,Ashwood,State Representative,59,,Total ,33,
Jefferson,Kutcher,President,,We The People,Robert F. Kennedy Jr, 1,
Jefferson,Kutcher,President,,Progressive,Cornel West, 0,
Jefferson,Kutcher,President,,Libertarian,Chase Oliver, 0,
Jefferson,Kutcher,President,,Constitution,Randall Terry, 0,
Jefferson,Kutcher,President,,Republican,Donald J Trump, 88,
Jefferson,Kutcher,President,,Pacific Green,Jill Stein, 1,
Jefferson,Kutcher,President,,Democrat,Kamala Harris, 26,
Jefferson,Kutcher,President,,,Write-In , 1,
