county,precinct,office,district,party,candidate,votes, , , , , , , ,, ,,,,,
Baker, Baker 1,President,,We The People,Robert F. Kennedy Jr, 19,,,,,,,,,,,,,,
Baker, Baker 2,President,,We The People,Robert F. Kennedy Jr, 15,,,,,,,,,,,,,,
Baker, Baker 3,President,,We The People,Robert F. Kennedy Jr, 23,,,,,,,,,,,,,,
Baker, Baker 4,President,,We The People,Robert F. Kennedy Jr, 19,,,,,,,,,,,,,,
Baker, Baker 5,President,,We The People,Robert F. Kennedy Jr, 23,,,,,,,,,,,,,,
Baker, Baker Country 13,President,,We The People,Robert F. Kennedy Jr, 5,,,,,,,,,,,,,,
Baker, Durkee 14,President,,We The People,Robert F. Kennedy Jr, 0,,,,,,,,,,,,,,
Baker, Eagle Valley 15,President,,We The People,Robert F. Kennedy Jr, 6,,,,,,,,,,,,,,
Baker, Haines 17,President,,We The People,Robert F. Kennedy Jr, 5,,,,,,,,,,,,,,
Baker, Hereford 18,President,,We The People,Robert F. Kennedy Jr, 2,,,,,,,,,,,,,,
Baker, Huntington 19,President,,We The People,Robert F. Kennedy Jr, 7,,,,,,,,,,,,,,
Baker, Irondyke 20,President,,We The People,Robert F. Kennedy Jr, 1,,,,,,,,,,,,,,
Baker, Keating 21,President,,We The People,Robert F. Kennedy Jr, 5,,,,,,,,,,,,,,
Baker, Pine Valley 22,President,,We The People,Robert F. Kennedy Jr, 3,,,,,,,,,,,,,,
Baker, Poca-Wing 24,President,,We The People,Robert F. Kennedy Jr, 10,,,,,,,,,,,,,,
Baker, Sumpter 25,President,,We The People,Robert F. Kennedy Jr, 3,,,,,,,,,,,,,,
Baker, Unity 26,President,,We The People,Robert F. Kennedy Jr, 2,,,,,,,,,,,,,,
Baker, Baker 1,President,,Progessive,Cornel West, 2,,,,,,,,,,,,,,
Baker, Baker 2,President,,Progessive,Cornel West, 2,,,,,,,,,,,,,,
Baker, Baker 3,President,,Progessive,Cornel West, 0,,,,,,,,,,,,,,
Baker, Baker 4,President,,Progessive,Cornel West, 2,,,,,,,,,,,,,,
Baker, Baker 5,President,,Progessive,Cornel West, 1,,,,,,,,,,,,,,
Baker, Baker Country 13,President,,Progessive,Cornel West, 0,,,,,,,,,,,,,,
Baker, Durkee 14,President,,Progessive,Cornel West, 0,,,,,,,,,,,,,,
Baker, Eagle Valley 15,President,,Progessive,Cornel West, 0,,,,,,,,,,,,,,
Baker, Haines 17,President,,Progessive,Cornel West, 0,,,,,,,,,,,,,,
Baker, Hereford 18,President,,Progessive,Cornel West, 0,,,,,,,,,,,,,,
Baker, Huntington 19,President,,Progessive,Cornel West, 1,,,,,,,,,,,,,,
Baker, Irondyke 20,President,,Progessive,Cornel West, 0,,,,,,,,,,,,,,
Baker, Keating 21,President,,Progessive,Cornel West, 0,,,,,,,,,,,,,,
Baker, Pine Valley 22,President,,Progessive,Cornel West, 0,,,,,,,,,,,,,,
Baker, Poca-Wing 24,President,,Progessive,Cornel West, 0,,,,,,,,,,,,,,
Baker, Sumpter 25,President,,Progessive,Cornel West, 0,,,,,,,,,,,,,,
Baker, Unity 26,President,,Progessive,Cornel West, 0,,,,,,,,,,,,,,
Baker, Baker 1,President,,Libertarian,Chase Oliver, 3,,,,,,,,,,,,,,
Baker, Baker 2,President,,Libertarian,Chase Oliver, 2,,,,,,,,,,,,,,
Baker, Baker 3,President,,Libertarian,Chase Oliver, 4,,,,,,,,,,,,,,
Baker, Baker 4,President,,Libertarian,Chase Oliver, 6,,,,,,,,,,,,,,
Baker, Baker 5,President,,Libertarian,Chase Oliver, 6,,,,,,,,,,,,,,
Baker, Baker Country 13,President,,Libertarian,Chase Oliver, 1,,,,,,,,,,,,,,
Baker, Durkee 14,President,,Libertarian,Chase Oliver, 0,,,,,,,,,,,,,,
Baker, Eagle Valley 15,President,,Libertarian,Chase Oliver, 5,,,,,,,,,,,,,,
Baker, Haines 17,President,,Libertarian,Chase Oliver, 9,,,,,,,,,,,,,,
Baker, Hereford 18,President,,Libertarian,Chase Oliver, 0,,,,,,,,,,,,,,
Baker, Huntington 19,President,,Libertarian,Chase Oliver, 0,,,,,,,,,,,,,,
Baker, Irondyke 20,President,,Libertarian,Chase Oliver, 0,,,,,,,,,,,,,,
Baker, Keating 21,President,,Libertarian,Chase Oliver, 2,,,,,,,,,,,,,,
Baker, Pine Valley 22,President,,Libertarian,Chase Oliver, 2,,,,,,,,,,,,,,
Baker, Poca-Wing 24,President,,Libertarian,Chase Oliver, 2,,,,,,,,,,,,,,
Baker, Sumpter 25,President,,Libertarian,Chase Oliver, 1,,,,,,,,,,,,,,
Baker, Unity 26,President,,Libertarian,Chase Oliver, 0,,,,,,,,,,,,,,
Baker, Baker 1,President,,Constitution,Randall Terry, 3,,,,,,,,,,,,,,
Baker, Baker 2,President,,Constitution,Randall Terry, 1,,,,,,,,,,,,,,
Baker, Baker 3,President,,Constitution,Randall Terry, 1,,,,,,,,,,,,,,
Baker, Baker 4,President,,Constitution,Randall Terry, 1,,,,,,,,,,,,,,
Baker, Baker 5,President,,Constitution,Randall Terry, 0,,,,,,,,,,,,,,
Baker, Baker Country 13,President,,Constitution,Randall Terry, 2,,,,,,,,,,,,,,
Baker, Durkee 14,President,,Constitution,Randall Terry, 0,,,,,,,,,,,,,,
Baker, Eagle Valley 15,President,,Constitution,Randall Terry, 1,,,,,,,,,,,,,,
