county,candidate,party,office,district,votes,incumbent
Lane,"Thompson,Terry",DEM,"State Senate,2ND DISTRICT",2,387,FALSE
Lane,"George,Gary",REP,"State Senate,2ND DISTRICT",2,344,TRUE
Lane,Other,OTH,"State Senate,2ND DISTRICT",2,0,FALSE
Lincoln,"Thompson,Terry",DEM,"State Senate,2ND DISTRICT",2,12027,FALSE
Lincoln,"George,Gary",REP,"State Senate,2ND DISTRICT",2,8453,TRUE
Lincoln,Other,OTH,"State Senate,2ND DISTRICT",2,41,FALSE
Polk,"Thompson,Terry",DEM,"State Senate,2ND DISTRICT",2,190,FALSE
Polk,"George,Gary",REP,"State Senate,2ND DISTRICT",2,189,TRUE
Polk,Other,OTH,"State Senate,2ND DISTRICT",2,0,FALSE
Tillamook,"Thompson,Terry",DEM,"State Senate,2ND DISTRICT",2,206,FALSE
Tillamook,"George,Gary",REP,"State Senate,2ND DISTRICT",2,182,TRUE
Tillamook,Other,OTH,"State Senate,2ND DISTRICT",2,0,FALSE
Yamhill,"Thompson,Terry",DEM,"State Senate,2ND DISTRICT",2,11898,FALSE
Yamhill,"George,Gary",REP,"State Senate,2ND DISTRICT",2,15969,TRUE
Yamhill,Other,OTH,"State Senate,2ND DISTRICT",2,64,FALSE
Washington,"Deckert,Ryan",DEM,"State Senate,4TH DISTRICT",4,28437,TRUE
Washington,"Goberman,Pavel",LIB,"State Senate,4TH DISTRICT",4,1208,FALSE
Washington,"Qutub,Eileen",REP,"State Senate,4TH DISTRICT",4,24999,FALSE
Washington,Other,OTH,"State Senate,4TH DISTRICT",4,5,FALSE
Multnomah,"Burdick,Ginny",DEM,"State Senate,6TH DISTRICT",6,38151,TRUE
Multnomah,Other,OTH,"State Senate,6TH DISTRICT",6,1369,FALSE
Multnomah,"Brown,Kate",DEM,"State Senate,7TH DISTRICT",7,36827,TRUE
Multnomah,"Nims,Charley J.",SOC,"State Senate,7TH DISTRICT",7,3491,FALSE
Multnomah,Other,OTH,"State Senate,7TH DISTRICT",7,638,FALSE
Multnomah,"Carter,Margaret",DEM,"State Senate,8TH DISTRICT",8,29053,TRUE
Multnomah,"Smith,Whitney",PAC,"State Senate,8TH DISTRICT",8,7074,FALSE
Multnomah,Other,OTH,"State Senate,8TH DISTRICT",8,505,FALSE
Multnomah,"Burkett,Roy",CON,"State Senate,10TH DISTRICT",10,5892,FALSE
Multnomah,"Gordly,Avel Louise",DEM,"State Senate,10TH DISTRICT",10,34353,TRUE
Multnomah,Other,OTH,"State Senate,10TH DISTRICT",10,393,FALSE
Multnomah,"Minnis,John",REP,"State Senate,11TH DISTRICT",11,25932,TRUE
Multnomah,"Scarborough,Arthur J",SOC,"State Senate,11TH DISTRICT",11,608,FALSE
Multnomah,"Gorsek,Chris",DEM,"State Senate,11TH DISTRICT",11,20302,FALSE
Multnomah,Other,OTH,"State Senate,11TH DISTRICT",11,133,FALSE
Clackamas,"Beyer,Roger",REP,"State Senate,15TH DISTRICT",15,6365,TRUE
Clackamas,"Pike,Roger",DEM,"State Senate,15TH DISTRICT",15,2825,FALSE
Clackamas,Other,OTH,"State Senate,15TH DISTRICT",15,0,FALSE
Linn,"Beyer,Roger",REP,"State Senate,15TH DISTRICT",15,1689,TRUE
Linn,"Pike,Roger",DEM,"State Senate,15TH DISTRICT",15,705,FALSE
Linn,Other,OTH,"State Senate,15TH DISTRICT",15,0,FALSE
Marion,"Beyer,Roger",REP,"State Senate,15TH DISTRICT",15,15336,TRUE
Marion,"Pike,Roger",DEM,"State Senate,15TH DISTRICT",15,7894,FALSE
Marion,Other,OTH,"State Senate,15TH DISTRICT",15,48,FALSE
Yamhill,"Beyer,Roger",REP,"State Senate,15TH DISTRICT",15,3527,TRUE
Yamhill,"Pike,Roger",DEM,"State Senate,15TH DISTRICT",15,2095,FALSE
Yamhill,Other,OTH,"State Senate,15TH DISTRICT",15,19,FALSE
Douglas,"Mack,Larry",DEM,"State Senate,23RD DISTRICT",23,10428,FALSE
Douglas,"Fisher,Bill",REP,"State Senate,23RD DISTRICT",23,25432,TRUE
Douglas,Other,OTH,"State Senate,23RD DISTRICT",23,95,FALSE
Jackson,"Mack,Larry",DEM,"State Senate,23RD DISTRICT",23,2073,FALSE
Jackson,"Fisher,Bill",REP,"State Senate,23RD DISTRICT",23,3660,TRUE
Jackson,Other,OTH,"State Senate,23RD DISTRICT",23,15,FALSE
Josephine,"Mack,Larry",DEM,"State Senate,23RD DISTRICT",23,2065,FALSE
Josephine,"Fisher,Bill",REP,"State Senate,23RD DISTRICT",23,3829,TRUE
Josephine,Other,OTH,"State Senate,23RD DISTRICT",23,28,FALSE
Coos,"Messerle,Ken",REP,"State Senate,24TH DISTRICT",24,15544,TRUE
Coos,"McCorkle,Roger W.",DEM,"State Senate,24TH DISTRICT",24,13275,FALSE
Coos,Other,OTH,"State Senate,24TH DISTRICT",24,65,FALSE
Curry,"Messerle,Ken",REP,"State Senate,24TH DISTRICT",24,6524,TRUE
Curry,"McCorkle,Roger W.",DEM,"State Senate,24TH DISTRICT",24,4619,FALSE
Curry,Other,OTH,"State Senate,24TH DISTRICT",24,38,FALSE
Douglas,"Messerle,Ken",REP,"State Senate,24TH DISTRICT",24,1204,TRUE
Douglas,"McCorkle,Roger W.",DEM,"State Senate,24TH DISTRICT",24,1278,FALSE
Douglas,Other,OTH,"State Senate,24TH DISTRICT",24,1,FALSE
Lane,"Messerle,Ken",REP,"State Senate,24TH DISTRICT",24,2597,TRUE
Lane,"McCorkle,Roger W.",DEM,"State Senate,24TH DISTRICT",24,3624,FALSE
Lane,Other,OTH,"State Senate,24TH DISTRICT",24,4,FALSE
Jackson,"Atkinson,Jason A.",REP,"State Senate,25TH DISTRICT",25,16068,TRUE
Jackson,Other,OTH,"State Senate,25TH DISTRICT",25,520,FALSE
Josephine,"Atkinson,Jason A.",REP,"State Senate,25TH DISTRICT",25,21568,TRUE
Josephine,Other,OTH,"State Senate,25TH DISTRICT",25,888,FALSE
Deschutes,"Clarno,County Bev",REP,"State Senate,27TH DISTRICT",27,38210,TRUE
Deschutes,"Philiben,Anne N.",DEM,"State Senate,27TH DISTRICT",27,16219,FALSE
Deschutes,Other,OTH,"State Senate,27TH DISTRICT",27,140,FALSE
Jefferson,"Clarno,County Bev",REP,"State Senate,27TH DISTRICT",27,4740,TRUE
Jefferson,"Philiben,Anne N.",DEM,"State Senate,27TH DISTRICT",27,1914,FALSE
Jefferson,Other,OTH,"State Senate,27TH DISTRICT",27,14,FALSE
Klamath,"Clarno,County Bev",REP,"State Senate,27TH DISTRICT",27,906,TRUE
Klamath,"Philiben,Anne N.",DEM,"State Senate,27TH DISTRICT",27,598,FALSE
Klamath,Other,OTH,"State Senate,27TH DISTRICT",27,4,FALSE
Wasco,"Clarno,County Bev",REP,"State Senate,27TH DISTRICT",27,703,TRUE
Wasco,"Philiben,Anne N.",DEM,"State Senate,27TH DISTRICT",27,433,FALSE
Wasco,Other,OTH,"State Senate,27TH DISTRICT",27,4,FALSE
Baker,"Cook,Vern",DEM,"State Senate,28TH DISTRICT",28,2024,FALSE
Baker,"Ferrioli,Ted",REP,"State Senate,28TH DISTRICT",28,5933,TRUE
Baker,Other,OTH,"State Senate,28TH DISTRICT",28,13,FALSE
Clackamas,"Cook,Vern",DEM,"State Senate,28TH DISTRICT",28,1698,FALSE
Clackamas,"Ferrioli,Ted",REP,"State Senate,28TH DISTRICT",28,1883,TRUE
Clackamas,Other,OTH,"State Senate,28TH DISTRICT",28,0,FALSE
Crook,"Cook,Vern",DEM,"State Senate,28TH DISTRICT",28,2523,FALSE
Crook,"Ferrioli,Ted",REP,"State Senate,28TH DISTRICT",28,5275,TRUE
Crook,Other,OTH,"State Senate,28TH DISTRICT",28,11,FALSE
Gilliam,"Cook,Vern",DEM,"State Senate,28TH DISTRICT",28,287,FALSE
Gilliam,"Ferrioli,Ted",REP,"State Senate,28TH DISTRICT",28,763,TRUE
Gilliam,Other,OTH,"State Senate,28TH DISTRICT",28,1,FALSE
Grant,"Cook,Vern",DEM,"State Senate,28TH DISTRICT",28,523,FALSE
