"county","precinct","office","party","district","candidate","votes"
"Washington","301 RURAL NW COUNTY","President","LIB",,"HARRY BROWNE/OLIVIER",10
"Washington","302 KINNAMAN","President","LIB",,"HARRY BROWNE/OLIVIER",10
"Washington","303 WITCH HAZEL","President","LIB",,"HARRY BROWNE/OLIVIER",0
"Washington","304 BUTTERNUT","President","LIB",,"HARRY BROWNE/OLIVIER",6
"Washington","305 BANKS","President","LIB",,"HARRY BROWNE/OLIVIER",1
"Washington","306 TANASBOURNE","President","LIB",,"HARRY BROWNE/OLIVIER",5
"Washington","307 WILLOW CREEK","President","LIB",,"HARRY BROWNE/OLIVIER",6
"Washington","308 BLOOMING FERN HILL","President","LIB",,"HARRY BROWNE/OLIVIER",2
"Washington","309 HAWTHORNE FARMS","President","LIB",,"HARRY BROWNE/OLIVIER",6
"Washington","310 DILLEY","President","LIB",,"HARRY BROWNE/OLIVIER",4
"Washington","311 LAURELWOOD","President","LIB",,"HARRY BROWNE/OLIVIER",9
"Washington","312 GALES CREEK","President","LIB",,"HARRY BROWNE/OLIVIER",7
"Washington","313 HILLSBORO-UNINCORP","President","LIB",,"HARRY BROWNE/OLIVIER",2
"Washington","314 GLENCOE","President","LIB",,"HARRY BROWNE/OLIVIER",0
"Washington","315 HELVETIA","President","LIB",,"HARRY BROWNE/OLIVIER",3
"Washington","316 PUMPKIN RIDGE","President","LIB",,"HARRY BROWNE/OLIVIER",4
"Washington","317 VERBOORT","President","LIB",,"HARRY BROWNE/OLIVIER",0
"Washington","318 MINTER BRIDGE","President","LIB",,"HARRY BROWNE/OLIVIER",9
"Washington","319 QUATAMA STREET","President","LIB",,"HARRY BROWNE/OLIVIER",2
"Washington","320 HAZELDALE","President","LIB",,"HARRY BROWNE/OLIVIER",6
"Washington","321 GASTON","President","LIB",,"HARRY BROWNE/OLIVIER",1
"Washington","322 JACKTOWN","President","LIB",,"HARRY BROWNE/OLIVIER",1
"Washington","323 INDIAN HILLS","President","LIB",,"HARRY BROWNE/OLIVIER",12
"Washington","324 HAGG LAKE","President","LIB",,"HARRY BROWNE/OLIVIER",3
"Washington","325 HILLSBORO-ISLANDS","President","LIB",,"HARRY BROWNE/OLIVIER",0
"Washington","326 RURAL BANKS","President","LIB",,"HARRY BROWNE/OLIVIER",4
"Washington","327 BROWN MIDDLE SCHOOL","President","LIB",,"HARRY BROWNE/OLIVIER",7
"Washington","328 FARMINGTON VIEW","President","LIB",,"HARRY BROWNE/OLIVIER",6
"Washington","329 CENTURY SCHOOL","President","LIB",,"HARRY BROWNE/OLIVIER",11
"Washington","330 NORTH PLAINS","President","LIB",,"HARRY BROWNE/OLIVIER",0
"Washington","331 EVERGREEN","President","LIB",,"HARRY BROWNE/OLIVIER",0
"Washington","332 ORENCO STATION","President","LIB",,"HARRY BROWNE/OLIVIER",8
"Washington","333 JOHN OLSEN","President","LIB",,"HARRY BROWNE/OLIVIER",18
"Washington","334 DIXIE MOUNTAIN","President","LIB",,"HARRY BROWNE/OLIVIER",3
"Washington","335 JACKSON SCHOOL","President","LIB",,"HARRY BROWNE/OLIVIER",13
"Washington","336 FAIRGROUNDS","President","LIB",,"HARRY BROWNE/OLIVIER",16
