county,precinct,office,district,party,candidate,votes,Percent
Benton,PRECINCT 082,President,,LIB,HARRY BROWNE/OLIVIER,4,1.03%
Benton,PRECINCT 082,President,,IND,PATRICK J. BUCHANAN/FOSTER,3,0.77%
Benton,PRECINCT 082,President,,REP,GEORGE W. BUSH/CHENEY,135,34.70%
Benton,PRECINCT 082,President,,PG,RALPH NADER/LADUKE,41,10.54%
Benton,PRECINCT 082,President,,REF,JOHN HAGELIN/GOLDHABER,0,0.00%
Benton,PRECINCT 082,President,,CON,HOWARD PHILLIPS/FRAZIER,1,0.26%
Benton,PRECINCT 082,President,,DEM,AL GORE/LIEBERMAN,203,52.19%
Benton,PRECINCT 082,President,,,Write-ins,0,0.00%
Benton,PRECINCT 082,President,,,Total,387,
Benton,PRECINCT 082,President,,,Under Votes,2,0.51%
Benton,PRECINCT 082,President,,,Over Votes,0,0.00%
Benton,PRECINCT 082,President,,,Total Votes Cast,389,
Benton,PRECINCT 083,President,,LIB,HARRY BROWNE/OLIVIER,1,0.28%
Benton,PRECINCT 083,President,,IND,PATRICK J. BUCHANAN/FOSTER,1,0.28%
Benton,PRECINCT 083,President,,REP,GEORGE W. BUSH/CHENEY,119,33.33%
Benton,PRECINCT 083,President,,PG,RALPH NADER/LADUKE,38,10.64%
Benton,PRECINCT 083,President,,REF,JOHN HAGELIN/GOLDHABER,1,0.28%
Benton,PRECINCT 083,President,,CON,HOWARD PHILLIPS/FRAZIER,0,0.00%
Benton,PRECINCT 083,President,,DEM,AL GORE/LIEBERMAN,195,54.62%
Benton,PRECINCT 083,President,,,Write-ins,0,0.00%
Benton,PRECINCT 083,President,,,Total,355,
Benton,PRECINCT 083,President,,,Under Votes,2,0.56%
Benton,PRECINCT 083,President,,,Over Votes,0,0.00%
Benton,PRECINCT 083,President,,,Total Votes Cast,357,
Benton,PRECINCT 084,President,,LIB,HARRY BROWNE/OLIVIER,1,0.16%
Benton,PRECINCT 084,President,,IND,PATRICK J. BUCHANAN/FOSTER,2,0.32%
Benton,PRECINCT 084,President,,REP,GEORGE W. BUSH/CHENEY,252,40.65%
Benton,PRECINCT 084,President,,PG,RALPH NADER/LADUKE,43,6.94%
Benton,PRECINCT 084,President,,REF,JOHN HAGELIN/GOLDHABER,2,0.32%
Benton,PRECINCT 084,President,,CON,HOWARD PHILLIPS/FRAZIER,0,0.00%
Benton,PRECINCT 084,President,,DEM,AL GORE/LIEBERMAN,309,49.84%
Benton,PRECINCT 084,President,,,Write-ins,1,0.16%
Benton,PRECINCT 084,President,,,Total,610,
Benton,PRECINCT 084,President,,,Under Votes,5,0.81%
Benton,PRECINCT 084,President,,,Over Votes,5,0.81%
Benton,PRECINCT 084,President,,,Total Votes Cast,620,
Benton,PRECINCT 085,President,,LIB,HARRY BROWNE/OLIVIER,3,1.46%
Benton,PRECINCT 085,President,,IND,PATRICK J. BUCHANAN/FOSTER,0,0.00%
Benton,PRECINCT 085,President,,REP,GEORGE W. BUSH/CHENEY,84,40.78%
Benton,PRECINCT 085,President,,PG,RALPH NADER/LADUKE,15,7.28%
Benton,PRECINCT 085,President,,REF,JOHN HAGELIN/GOLDHABER,0,0.00%
Benton,PRECINCT 085,President,,CON,HOWARD PHILLIPS/FRAZIER,0,0.00%
Benton,PRECINCT 085,President,,DEM,AL GORE/LIEBERMAN,103,50.00%
Benton,PRECINCT 085,President,,,Write-ins,1,0.49%
Benton,PRECINCT 085,President,,,Total,206,
Benton,PRECINCT 085,President,,,Under Votes,0,0.00%
Benton,PRECINCT 085,President,,,Over Votes,0,0.00%
Benton,PRECINCT 085,President,,,Total Votes Cast,206,
Benton,PRECINCT 086,President,,LIB,HARRY BROWNE/OLIVIER,1,0.28%
Benton,PRECINCT 086,President,,IND,PATRICK J. BUCHANAN/FOSTER,1,0.28%
Benton,PRECINCT 086,President,,REP,GEORGE W. BUSH/CHENEY,113,31.83%
Benton,PRECINCT 086,President,,PG,RALPH NADER/LADUKE,13,3.66%
Benton,PRECINCT 086,President,,REF,JOHN HAGELIN/GOLDHABER,1,0.28%
Benton,PRECINCT 086,President,,CON,HOWARD PHILLIPS/FRAZIER,0,0.00%
Benton,PRECINCT 086,President,,DEM,AL GORE/LIEBERMAN,223,62.82%
Benton,PRECINCT 086,President,,,Write-ins,2,0.56%
Benton,PRECINCT 086,President,,,Total,354,
Benton,PRECINCT 086,President,,,Under Votes,1,0.28%
Benton,PRECINCT 086,President,,,Over Votes,0,0.00%
Benton,PRECINCT 086,President,,,Total Votes Cast,355,
Benton,PRECINCT 087,President,,LIB,HARRY BROWNE/OLIVIER,0,0.00%
Benton,PRECINCT 087,President,,IND,PATRICK J. BUCHANAN/FOSTER,1,0.17%
Benton,PRECINCT 087,President,,REP,GEORGE W. BUSH/CHENEY,230,39.66%
Benton,PRECINCT 087,President,,PG,RALPH NADER/LADUKE,24,4.14%
Benton,PRECINCT 087,President,,REF,JOHN HAGELIN/GOLDHABER,0,0.00%
Benton,PRECINCT 087,President,,CON,HOWARD PHILLIPS/FRAZIER,0,0.00%
Benton,PRECINCT 087,President,,DEM,AL GORE/LIEBERMAN,319,55.00%
Benton,PRECINCT 087,President,,,Write-ins,1,0.17%
Benton,PRECINCT 087,President,,,Total,575,
Benton,PRECINCT 087,President,,,Under Votes,3,0.52%
Benton,PRECINCT 087,President,,,Over Votes,2,0.34%
Benton,PRECINCT 087,President,,,Total Votes Cast,580,
Benton,PRECINCT 088,President,,LIB,HARRY BROWNE/OLIVIER,2,0.25%
Benton,PRECINCT 088,President,,IND,PATRICK J. BUCHANAN/FOSTER,1,0.13%
Benton,PRECINCT 088,President,,REP,GEORGE W. BUSH/CHENEY,325,41.24%
Benton,PRECINCT 088,President,,PG,RALPH NADER/LADUKE,50,6.35%
Benton,PRECINCT 088,President,,REF,JOHN HAGELIN/GOLDHABER,1,0.13%
Benton,PRECINCT 088,President,,CON,HOWARD PHILLIPS/FRAZIER,1,0.13%
Benton,PRECINCT 088,President,,DEM,AL GORE/LIEBERMAN,397,50.38%
Benton,PRECINCT 088,President,,,Write-ins,0,0.00%
Benton,PRECINCT 088,President,,,Total,777,
Benton,PRECINCT 088,President,,,Under Votes,8,1.02%
Benton,PRECINCT 088,President,,,Over Votes,3,0.38%
Benton,PRECINCT 088,President,,,Total Votes Cast,788,
Benton,PRECINCT 089,President,,LIB,HARRY BROWNE/OLIVIER,0,0.00%
Benton,PRECINCT 089,President,,IND,PATRICK J. BUCHANAN/FOSTER,2,0.72%
Benton,PRECINCT 089,President,,REP,GEORGE W. BUSH/CHENEY,102,36.69%
Benton,PRECINCT 089,President,,PG,RALPH NADER/LADUKE,13,4.68%
