county,candidate,party,office,votes,incumbent,district
Baker,Other,Democrat,"State Senate,28TH DISTRICT",23,FALSE,28
Clackamas,Other,Democrat,"State Senate,28TH DISTRICT",2,FALSE,28
Crook,Other,Democrat,"State Senate,28TH DISTRICT",58,FALSE,28
Gilliam,Other,Democrat,"State Senate,28TH DISTRICT",7,FALSE,28
Grant,Other,Democrat,"State Senate,28TH DISTRICT",106,FALSE,28
Hood River,Other,Democrat,"State Senate,28TH DISTRICT",10,FALSE,28
Morrow,Other,Democrat,"State Senate,28TH DISTRICT",2,FALSE,28
Multnomah,Other,Democrat,"State Senate,28TH DISTRICT",28,FALSE,28
Sherman,Other,Democrat,"State Senate,28TH DISTRICT",9,FALSE,28
Wasco,Other,Democrat,"State Senate,28TH DISTRICT",27,FALSE,28
Wheeler,Other,Democrat,"State Senate,28TH DISTRICT",8,FALSE,28
Baker,"Ferrioli,Ted",Republican,"State Senate,28TH DISTRICT",1954,TRUE,28
Clackamas,"Ferrioli,Ted",Republican,"State Senate,28TH DISTRICT",423,TRUE,28
Crook,"Ferrioli,Ted",Republican,"State Senate,28TH DISTRICT",1829,TRUE,28
Gilliam,"Ferrioli,Ted",Republican,"State Senate,28TH DISTRICT",263,TRUE,28
Grant,"Ferrioli,Ted",Republican,"State Senate,28TH DISTRICT",1273,TRUE,28
Hood River,"Ferrioli,Ted",Republican,"State Senate,28TH DISTRICT",1720,TRUE,28
Morrow,"Ferrioli,Ted",Republican,"State Senate,28TH DISTRICT",378,TRUE,28
Multnomah,"Ferrioli,Ted",Republican,"State Senate,28TH DISTRICT",496,TRUE,28
Sherman,"Ferrioli,Ted",Republican,"State Senate,28TH DISTRICT",271,TRUE,28
Wasco,"Ferrioli,Ted",Republican,"State Senate,28TH DISTRICT",2045,TRUE,28
Wheeler,"Ferrioli,Ted",Republican,"State Senate,28TH DISTRICT",236,TRUE,28
Baker,Other,Republican,"State Senate,28TH DISTRICT",7,FALSE,28
Clackamas,Other,Republican,"State Senate,28TH DISTRICT",0,FALSE,28
Crook,Other,Republican,"State Senate,28TH DISTRICT",24,FALSE,28
Gilliam,Other,Republican,"State Senate,28TH DISTRICT",2,FALSE,28
Grant,Other,Republican,"State Senate,28TH DISTRICT",12,FALSE,28
Hood River,Other,Republican,"State Senate,28TH DISTRICT",17,FALSE,28
Morrow,Other,Republican,"State Senate,28TH DISTRICT",1,FALSE,28
Multnomah,Other,Republican,"State Senate,28TH DISTRICT",5,FALSE,28
Sherman,Other,Republican,"State Senate,28TH DISTRICT",0,FALSE,28
Wasco,Other,Republican,"State Senate,28TH DISTRICT",16,FALSE,28
Wheeler,Other,Republican,"State Senate,28TH DISTRICT",1,FALSE,28
Morrow,"Hays,Bill",Democrat,"State Senate,29TH DISTRICT",0,FALSE,29
Umatilla,"Hays,Bill",Democrat,"State Senate,29TH DISTRICT",1571,FALSE,29
Union,"Hays,Bill",Democrat,"State Senate,29TH DISTRICT",1131,FALSE,29
Wallowa,"Hays,Bill",Democrat,"State Senate,29TH DISTRICT",277,FALSE,29
Morrow,"Duncan,Bill George",Democrat,"State Senate,29TH DISTRICT",228,TRUE,29
Umatilla,"Duncan,Bill George",Democrat,"State Senate,29TH DISTRICT",1405,TRUE,29
Union,"Duncan,Bill George",Democrat,"State Senate,29TH DISTRICT",1350,TRUE,29
Wallowa,"Duncan,Bill George",Democrat,"State Senate,29TH DISTRICT",319,TRUE,29
Morrow,Other,Democrat,"State Senate,29TH DISTRICT",8,FALSE,29
Umatilla,Other,Democrat,"State Senate,29TH DISTRICT",0,FALSE,29
Union,Other,Democrat,"State Senate,29TH DISTRICT",48,FALSE,29
Wallowa,Other,Democrat,"State Senate,29TH DISTRICT",47,FALSE,29
Morrow,"Nelson,David",Republican,"State Senate,29TH DISTRICT",156,TRUE,29
Umatilla,"Nelson,David",Republican,"State Senate,29TH DISTRICT",4027,TRUE,29
Union,"Nelson,David",Republican,"State Senate,29TH DISTRICT",2681,TRUE,29
Wallowa,"Nelson,David",Republican,"State Senate,29TH DISTRICT",1001,TRUE,29
Morrow,Other,Republican,"State Senate,29TH DISTRICT",2,FALSE,29
Umatilla,Other,Republican,"State Senate,29TH DISTRICT",0,FALSE,29
Union,Other,Republican,"State Senate,29TH DISTRICT",20,FALSE,29
Wallowa,Other,Republican,"State Senate,29TH DISTRICT",11,FALSE,29
Harney,"James,Debra M.",Democrat,"State Senate,30TH DISTRICT",595,TRUE,30
Klamath,"James,Debra M.",Democrat,"State Senate,30TH DISTRICT",4256,TRUE,30
Lake,"James,Debra M.",Democrat,"State Senate,30TH DISTRICT",537,TRUE,30
Malheur,"James,Debra M.",Democrat,"State Senate,30TH DISTRICT",1331,TRUE,30
Harney,Other,Democrat,"State Senate,30TH DISTRICT",114,FALSE,30
Klamath,Other,Democrat,"State Senate,30TH DISTRICT",126,FALSE,30
Lake,Other,Democrat,"State Senate,30TH DISTRICT",0,FALSE,30
Malheur,Other,Democrat,"State Senate,30TH DISTRICT",113,FALSE,30
Harney,"Harper,Steve",Republican,"State Senate,30TH DISTRICT",735,TRUE,30
Klamath,"Harper,Steve",Republican,"State Senate,30TH DISTRICT",6351,TRUE,30
Lake,"Harper,Steve",Republican,"State Senate,30TH DISTRICT",582,TRUE,30
Malheur,"Harper,Steve",Republican,"State Senate,30TH DISTRICT",1427,TRUE,30
Harney,"Jones,D.E. (Denny)",Republican,"State Senate,30TH DISTRICT",717,FALSE,30
Klamath,"Jones,D.E. (Denny)",Republican,"State Senate,30TH DISTRICT",2330,FALSE,30
Lake,"Jones,D.E. (Denny)",Republican,"State Senate,30TH DISTRICT",873,FALSE,30
Malheur,"Jones,D.E. (Denny)",Republican,"State Senate,30TH DISTRICT",2326,FALSE,30
Harney,Other,Republican,"State Senate,30TH DISTRICT",7,FALSE,30
Klamath,Other,Republican,"State Senate,30TH DISTRICT",8,FALSE,30
Lake,Other,Republican,"State Senate,30TH DISTRICT",0,FALSE,30
Malheur,Other,Republican,"State Senate,30TH DISTRICT",7,FALSE,30
Clatsop,"Johnson,Elizabeth (Betsy)",Democrat,"State House,1ST DISTRICT",1526,TRUE,1
Columbia,"Johnson,Elizabeth (Betsy)",Democrat,"State House,1ST DISTRICT",5132,TRUE,1
Clatsop,Other,Democrat,"State House,1ST DISTRICT",20,FALSE,1
Columbia,Other,Democrat,"State House,1ST DISTRICT",115,FALSE,1
Clatsop,"Johnson,Elizabeth (Betsy)(WI)",Republican,"State House,1ST DISTRICT",109,TRUE,1
Columbia,"Johnson,Elizabeth (Betsy)(WI)",Republican,"State House,1ST DISTRICT",270,TRUE,1
Clatsop,Other,Republican,"State House,1ST DISTRICT",65,FALSE,1
Columbia,Other,Republican,"State House,1ST DISTRICT",315,FALSE,1
Clatsop,"Hopson,Elaine M.",Democrat,"State House,2ND DISTRICT",2165,TRUE,2
Columbia,"Hopson,Elaine M.",Democrat,"State House,2ND DISTRICT",442,TRUE,2
Tillamook,"Hopson,Elaine M.",Democrat,"State House,2ND DISTRICT",2734,TRUE,2
Washington,"Hopson,Elaine M.",Democrat,"State House,2ND DISTRICT",156,TRUE,2
Clatsop,Other,Democrat,"State House,2ND DISTRICT",22,FALSE,2
Columbia,Other,Democrat,"State House,2ND DISTRICT",5,FALSE,2
Tillamook,Other,Democrat,"State House,2ND DISTRICT",137,FALSE,2
Washington,Other,Democrat,"State House,2ND DISTRICT",0,FALSE,2
Clatsop,"Waldron,Diane",Republican,"State House,2ND DISTRICT",1656,TRUE,2
Columbia,"Waldron,Diane",Republican,"State House,2ND DISTRICT",338,TRUE,2
Tillamook,"Waldron,Diane",Republican,"State House,2ND DISTRICT",1927,TRUE,2
Washington,"Waldron,Diane",Republican,"State House,2ND DISTRICT",187,TRUE,2
Clatsop,Other,Republican,"State House,2ND DISTRICT",22,FALSE,2
Columbia,Other,Republican,"State House,2ND DISTRICT",7,FALSE,2
Tillamook,Other,Republican,"State House,2ND DISTRICT",144,FALSE,2
Washington,Other,Republican,"State House,2ND DISTRICT",0,FALSE,2
Washington,"Lamb-Mullin,Cathy",Democrat,"State House,3RD DISTRICT",3237,TRUE,3
Washington,Other,Democrat,"State House,3RD DISTRICT",6,FALSE,3
Washington,"Starr,Bruce",Republican,"State House,3RD DISTRICT",4307,TRUE,3
Washington,Other,Republican,"State House,3RD DISTRICT",3,FALSE,3
Lane,"Branstiter,Sharon",Democrat,"State House,4TH DISTRICT",117,TRUE,4
Lincoln,"Branstiter,Sharon",Democrat,"State House,4TH DISTRICT",4320,TRUE,4
Polk,"Branstiter,Sharon",Democrat,"State House,4TH DISTRICT",38,TRUE,4
Tillamook,"Branstiter,Sharon",Democrat,"State House,4TH DISTRICT",54,TRUE,4
Yamhill,"Branstiter,Sharon",Democrat,"State House,4TH DISTRICT",285,TRUE,4
Lane,"Bryant,Alberta",Democrat,"State House,4TH DISTRICT",59,FALSE,4
Lincoln,"Bryant,Alberta",Democrat,"State House,4TH DISTRICT",1613,FALSE,4
Polk,"Bryant,Alberta",Democrat,"State House,4TH DISTRICT",19,FALSE,4
Tillamook,"Bryant,Alberta",Democrat,"State House,4TH DISTRICT",18,FALSE,4
Yamhill,"Bryant,Alberta",Democrat,"State House,4TH DISTRICT",152,FALSE,4
Lane,Other,Democrat,"State House,4TH DISTRICT",0,FALSE,4
Lincoln,Other,Democrat,"State House,4TH DISTRICT",49,FALSE,4
Polk,Other,Democrat,"State House,4TH DISTRICT",0,FALSE,4
Tillamook,Other,Democrat,"State House,4TH DISTRICT",1,FALSE,4
Yamhill,Other,Democrat,"State House,4TH DISTRICT",7,FALSE,4
Lane,"Brown,Alan",Republican,"State House,4TH DISTRICT",111,TRUE,4
Lincoln,"Brown,Alan",Republican,"State House,4TH DISTRICT",3761,TRUE,4
Polk,"Brown,Alan",Republican,"State House,4TH DISTRICT",49,TRUE,4
Tillamook,"Brown,Alan",Republican,"State House,4TH DISTRICT",86,TRUE,4
Yamhill,"Brown,Alan",Republican,"State House,4TH DISTRICT",503,TRUE,4
Lane,Other,Republican,"State House,4TH DISTRICT",0,FALSE,4
Lincoln,Other,Republican,"State House,4TH DISTRICT",60,FALSE,4
Polk,Other,Republican,"State House,4TH DISTRICT",0,FALSE,4
Tillamook,Other,Republican,"State House,4TH DISTRICT",1,FALSE,4
Yamhill,Other,Republican,"State House,4TH DISTRICT",4,FALSE,4
Washington,"Draznin,James",Democrat,"State House,5TH DISTRICT",2777,TRUE,5
Washington,Other,Democrat,"State House,5TH DISTRICT",3,FALSE,5
Washington,"Hill,Jim",Republican,"State House,5TH DISTRICT",2895,TRUE,5
Washington,Other,Republican,"State House,5TH DISTRICT",3,FALSE,5
Washington,"Ringo,Charlie",Democrat,"State House,6TH DISTRICT",2974,TRUE,6
Washington,"Gil,Dave",Democrat,"State House,6TH DISTRICT",955,FALSE,6
Washington,Other,Democrat,"State House,6TH DISTRICT",2,FALSE,6
Washington,"Tuleya,Ray J.",Republican,"State House,6TH DISTRICT",115,FALSE,6
Washington,"Stovall,Jacqueline G.",Republican,"State House,6TH DISTRICT",558,FALSE,6
Washington,"Scruggs,John",Republican,"State House,6TH DISTRICT",2157,TRUE,6
Washington,"Iverson,Bryan",Republican,"State House,6TH DISTRICT",766,FALSE,6
Washington,Other,Republican,"State House,6TH DISTRICT",5,FALSE,6
Columbia,"Greenlick,Mitch",Democrat,"State House,7TH DISTRICT",4,TRUE,7
Multnomah,"Greenlick,Mitch",Democrat,"State House,7TH DISTRICT",1025,TRUE,7
Washington,"Greenlick,Mitch",Democrat,"State House,7TH DISTRICT",3915,TRUE,7
Columbia,Other,Democrat,"State House,7TH DISTRICT",0,FALSE,7
Multnomah,Other,Democrat,"State House,7TH DISTRICT",7,FALSE,7
Washington,Other,Democrat,"State House,7TH DISTRICT",1,FALSE,7
Columbia,"Witt,Bill",Republican,"State House,7TH DISTRICT",6,TRUE,7
Multnomah,"Witt,Bill",Republican,"State House,7TH DISTRICT",728,TRUE,7
Washington,"Witt,Bill",Republican,"State House,7TH DISTRICT",4842,TRUE,7
Columbia,Other,Republican,"State House,7TH DISTRICT",1,FALSE,7
Multnomah,Other,Republican,"State House,7TH DISTRICT",35,FALSE,7
Washington,Other,Republican,"State House,7TH DISTRICT",62,FALSE,7
Washington,"Hass,Mark",Democrat,"State House,8TH DISTRICT",4170,TRUE,8
Washington,Other,Democrat,"State House,8TH DISTRICT",1,FALSE,8
Washington,"Michaels,Lisa",Republican,"State House,8TH DISTRICT",3359,TRUE,8
Washington,"Goberman,Pavel",Republican,"State House,8TH DISTRICT",685,FALSE,8
Washington,Other,Republican,"State House,8TH DISTRICT",8,FALSE,8
Washington,"Velji,Raman",Democrat,"State House,9TH DISTRICT",4410,TRUE,9
Washington,Other,Democrat,"State House,9TH DISTRICT",6,FALSE,9
Washington,"Williams,Max",Republican,"State House,9TH DISTRICT",5699,TRUE,9
Washington,Other,Republican,"State House,9TH DISTRICT",1,FALSE,9
Clackamas,"Obrist,Roger S.",Democrat,"State House,10TH DISTRICT",682,FALSE,10
Multnomah,"Obrist,Roger S.",Democrat,"State House,10TH DISTRICT",126,FALSE,10
Clackamas,"Wagner,Mick",Democrat,"State House,10TH DISTRICT",349,FALSE,10
Multnomah,"Wagner,Mick",Democrat,"State House,10TH DISTRICT",71,FALSE,10
Clackamas,"Smith,Mike",Democrat,"State House,10TH DISTRICT",3055,TRUE,10
Multnomah,"Smith,Mike",Democrat,"State House,10TH DISTRICT",525,TRUE,10
Clackamas,Other,Democrat,"State House,10TH DISTRICT",1,FALSE,10
Multnomah,Other,Democrat,"State House,10TH DISTRICT",8,FALSE,10
Clackamas,"Lee,Jan",Republican,"State House,10TH DISTRICT",3009,TRUE,10
Multnomah,"Lee,Jan",Republican,"State House,10TH DISTRICT",433,TRUE,10
Clackamas,Other,Republican,"State House,10TH DISTRICT",5,FALSE,10
Multnomah,Other,Republican,"State House,10TH DISTRICT",10,FALSE,10
Multnomah,"Taylor,Martin",Democrat,"State House,11TH DISTRICT",3097,FALSE,11
Multnomah,"Nolan,Mary",Democrat,"State House,11TH DISTRICT",3114,TRUE,11
Multnomah,"Davis,Jim",Democrat,"State House,11TH DISTRICT",1115,FALSE,11
Multnomah,"Calhoun,John A.",Democrat,"State House,11TH DISTRICT",1801,FALSE,11
Multnomah,Other,Democrat,"State House,11TH DISTRICT",12,FALSE,11
Multnomah,"Barbee,Ward",Republican,"State House,11TH DISTRICT",1707,FALSE,11
Multnomah,"Gardner,Joan",Republican,"State House,11TH DISTRICT",2048,TRUE,11
Multnomah,Other,Republican,"State House,11TH DISTRICT",56,FALSE,11
Multnomah,"Beck,Chris",Democrat,"State House,12TH DISTRICT",5870,TRUE,12
Multnomah,Other,Democrat,"State House,12TH DISTRICT",54,FALSE,12
Multnomah,"Terreault,Steve",Republican,"State House,12TH DISTRICT",948,FALSE,12
Multnomah,"Schoel,Jeanne",Republican,"State House,12TH DISTRICT",1540,TRUE,12
Multnomah,Other,Republican,"State House,12TH DISTRICT",21,FALSE,12
Multnomah,"Gardner,Dan",Democrat,"State House,13TH DISTRICT",5010,TRUE,13
Multnomah,Other,Democrat,"State House,13TH DISTRICT",48,FALSE,13
Multnomah,"Gardner,Dan(WI)",Republican,"State House,13TH DISTRICT",20,TRUE,13
Multnomah,Other,Republican,"State House,13TH DISTRICT",57,FALSE,13
Multnomah,"Rosenbaum,Diane",Democrat,"State House,14TH DISTRICT",5595,TRUE,14
Multnomah,Other,Democrat,"State House,14TH DISTRICT",90,FALSE,14
Multnomah,"Rosenbaum,Diane(WI)",Republican,"State House,14TH DISTRICT",8,TRUE,14
Multnomah,Other,Republican,"State House,14TH DISTRICT",34,FALSE,14
Multnomah,"March,Steve",Democrat,"State House,15TH DISTRICT",5271,TRUE,15
Multnomah,Other,Democrat,"State House,15TH DISTRICT",53,FALSE,15
Multnomah,"Lutz,Scott",Republican,"State House,15TH DISTRICT",1958,TRUE,15
Multnomah,Other,Republican,"State House,15TH DISTRICT",51,FALSE,15
Multnomah,"Merkley,Jeff",Democrat,"State House,16TH DISTRICT",4267,TRUE,16
Multnomah,Other,Democrat,"State House,16TH DISTRICT",59,FALSE,16
Multnomah,"Merkley,Jeff(WI)",Republican,"State House,16TH DISTRICT",31,TRUE,16
Multnomah,Other,Republican,"State House,16TH DISTRICT",94,FALSE,16
Multnomah,"Marcus,Lewis",Democrat,"State House,17TH DISTRICT",2262,FALSE,17
Multnomah,"Hansen,Gary D.",Democrat,"State House,17TH DISTRICT",3831,TRUE,17
Multnomah,Other,Democrat,"State House,17TH DISTRICT",32,FALSE,17
Multnomah,Other,Republican,"State House,17TH DISTRICT",110,FALSE,17
