county,candidate,party,office,votes,incumbent,district
Lane,"Thompson,Terry",Democrat,"State Senate,2ND DISTRICT",176,TRUE,2
Lincoln,"Thompson,Terry",Democrat,"State Senate,2ND DISTRICT",5271,TRUE,2
Polk,"Thompson,Terry",Democrat,"State Senate,2ND DISTRICT",63,TRUE,2
Tillamook,"Thompson,Terry",Democrat,"State Senate,2ND DISTRICT",77,TRUE,2
Yamhill,"Thompson,Terry",Democrat,"State Senate,2ND DISTRICT",4832,TRUE,2
Lane,Other,Democrat,"State Senate,2ND DISTRICT",0,FALSE,2
Lincoln,Other,Democrat,"State Senate,2ND DISTRICT",93,FALSE,2
Polk,Other,Democrat,"State Senate,2ND DISTRICT",0,FALSE,2
Tillamook,Other,Democrat,"State Senate,2ND DISTRICT",6,FALSE,2
Yamhill,Other,Democrat,"State Senate,2ND DISTRICT",92,FALSE,2
Lane,"George,Gary",Republican,"State Senate,2ND DISTRICT",103,TRUE,2
Lincoln,"George,Gary",Republican,"State Senate,2ND DISTRICT",3486,TRUE,2
Polk,"George,Gary",Republican,"State Senate,2ND DISTRICT",61,TRUE,2
Tillamook,"George,Gary",Republican,"State Senate,2ND DISTRICT",91,TRUE,2
Yamhill,"George,Gary",Republican,"State Senate,2ND DISTRICT",6363,TRUE,2
Lane,Other,Republican,"State Senate,2ND DISTRICT",0,FALSE,2
Lincoln,Other,Republican,"State Senate,2ND DISTRICT",94,FALSE,2
Polk,Other,Republican,"State Senate,2ND DISTRICT",1,FALSE,2
Tillamook,Other,Republican,"State Senate,2ND DISTRICT",1,FALSE,2
Yamhill,Other,Republican,"State Senate,2ND DISTRICT",93,FALSE,2
Washington,"Deckert,Ryan",Democrat,"State Senate,4TH DISTRICT",9079,TRUE,4
Washington,Other,Democrat,"State Senate,4TH DISTRICT",6,FALSE,4
Washington,"Qutub,Eileen",Republican,"State Senate,4TH DISTRICT",9611,TRUE,4
Washington,Other,Republican,"State Senate,4TH DISTRICT",21,FALSE,4
Multnomah,"Burdick,Ginny",Democrat,"State Senate,6TH DISTRICT",12922,TRUE,6
Multnomah,Other,Democrat,"State Senate,6TH DISTRICT",120,FALSE,6
Multnomah,"Burdick,Ginny(WI)",Republican,"State Senate,6TH DISTRICT",25,TRUE,6
Multnomah,Other,Republican,"State Senate,6TH DISTRICT",140,FALSE,6
Multnomah,"Brown,Kate",Democrat,"State Senate,7TH DISTRICT",10848,TRUE,7
Multnomah,Other,Democrat,"State Senate,7TH DISTRICT",131,FALSE,7
Multnomah,"Brown,Kate(WI)",Republican,"State Senate,7TH DISTRICT",28,TRUE,7
Multnomah,Other,Republican,"State Senate,7TH DISTRICT",119,FALSE,7
Multnomah,"Carter,Margaret",Democrat,"State Senate,8TH DISTRICT",9585,TRUE,8
Multnomah,"Crowell,Evie",Democrat,"State Senate,8TH DISTRICT",2867,FALSE,8
Multnomah,Other,Democrat,"State Senate,8TH DISTRICT",47,FALSE,8
Multnomah,"Carter,Margaret(WI)",Republican,"State Senate,8TH DISTRICT",31,TRUE,8
Multnomah,Other,Republican,"State Senate,8TH DISTRICT",113,FALSE,8
Multnomah,"Gordly,Avel Louise",Democrat,"State Senate,10TH DISTRICT",12090,TRUE,10
Multnomah,Other,Democrat,"State Senate,10TH DISTRICT",125,FALSE,10
Multnomah,"Gordly,Avel Louise(WI)",Republican,"State Senate,10TH DISTRICT",20,TRUE,10
Multnomah,Other,Republican,"State Senate,10TH DISTRICT",158,FALSE,10
Multnomah,"Gorsek,Chris",Democrat,"State Senate,11TH DISTRICT",7838,TRUE,11
Multnomah,Other,Democrat,"State Senate,11TH DISTRICT",133,FALSE,11
Multnomah,"Minnis,John",Republican,"State Senate,11TH DISTRICT",7560,TRUE,11
Multnomah,Other,Republican,"State Senate,11TH DISTRICT",124,FALSE,11
Clackamas,"Pike,Roger",Democrat,"State Senate,15TH DISTRICT",1124,TRUE,15
Linn,"Pike,Roger",Democrat,"State Senate,15TH DISTRICT",391,TRUE,15
Marion,"Pike,Roger",Democrat,"State Senate,15TH DISTRICT",4450,TRUE,15
Yamhill,"Pike,Roger",Democrat,"State Senate,15TH DISTRICT",943,TRUE,15
Clackamas,Other,Democrat,"State Senate,15TH DISTRICT",6,FALSE,15
Linn,Other,Democrat,"State Senate,15TH DISTRICT",1,FALSE,15
Marion,Other,Democrat,"State Senate,15TH DISTRICT",96,FALSE,15
Yamhill,Other,Democrat,"State Senate,15TH DISTRICT",29,FALSE,15
Clackamas,"Beyer,Roger",Republican,"State Senate,15TH DISTRICT",1934,TRUE,15
Linn,"Beyer,Roger",Republican,"State Senate,15TH DISTRICT",506,TRUE,15
Marion,"Beyer,Roger",Republican,"State Senate,15TH DISTRICT",5165,TRUE,15
Yamhill,"Beyer,Roger",Republican,"State Senate,15TH DISTRICT",923,TRUE,15
Clackamas,"Gianella,Juley",Republican,"State Senate,15TH DISTRICT",396,FALSE,15
Linn,"Gianella,Juley",Republican,"State Senate,15TH DISTRICT",115,FALSE,15
Marion,"Gianella,Juley",Republican,"State Senate,15TH DISTRICT",1982,FALSE,15
Yamhill,"Gianella,Juley",Republican,"State Senate,15TH DISTRICT",544,FALSE,15
Clackamas,Other,Republican,"State Senate,15TH DISTRICT",0,FALSE,15
Linn,Other,Republican,"State Senate,15TH DISTRICT",0,FALSE,15
Marion,Other,Republican,"State Senate,15TH DISTRICT",19,FALSE,15
Yamhill,Other,Republican,"State Senate,15TH DISTRICT",9,FALSE,15
Douglas,"Mack,Laurence(WI)",Democrat,"State Senate,23RD DISTRICT",295,TRUE,23
Jackson,"Mack,Laurence(WI)",Democrat,"State Senate,23RD DISTRICT",3,TRUE,23
Josephine,"Mack,Laurence(WI)",Democrat,"State Senate,23RD DISTRICT",0,TRUE,23
Douglas,Other,Democrat,"State Senate,23RD DISTRICT",421,FALSE,23
Jackson,Other,Democrat,"State Senate,23RD DISTRICT",45,FALSE,23
Josephine,Other,Democrat,"State Senate,23RD DISTRICT",34,FALSE,23
Douglas,"Fisher,Bill",Republican,"State Senate,23RD DISTRICT",9753,TRUE,23
Jackson,"Fisher,Bill",Republican,"State Senate,23RD DISTRICT",1380,TRUE,23
Josephine,"Fisher,Bill",Republican,"State Senate,23RD DISTRICT",1637,TRUE,23
Douglas,Other,Republican,"State Senate,23RD DISTRICT",91,FALSE,23
Jackson,Other,Republican,"State Senate,23RD DISTRICT",6,FALSE,23
Josephine,Other,Republican,"State Senate,23RD DISTRICT",28,FALSE,23
Coos,"Litty,Paul F.",Democrat,"State Senate,24TH DISTRICT",1801,FALSE,24
Curry,"Litty,Paul F.",Democrat,"State Senate,24TH DISTRICT",742,FALSE,24
Douglas,"Litty,Paul F.",Democrat,"State Senate,24TH DISTRICT",184,FALSE,24
Lane,"Litty,Paul F.",Democrat,"State Senate,24TH DISTRICT",325,FALSE,24
Coos,"McCorkle,Roger W.",Democrat,"State Senate,24TH DISTRICT",5290,TRUE,24
Curry,"McCorkle,Roger W.",Democrat,"State Senate,24TH DISTRICT",1808,TRUE,24
Douglas,"McCorkle,Roger W.",Democrat,"State Senate,24TH DISTRICT",522,TRUE,24
Lane,"McCorkle,Roger W.",Democrat,"State Senate,24TH DISTRICT",1455,TRUE,24
Coos,Other,Democrat,"State Senate,24TH DISTRICT",216,FALSE,24
Curry,Other,Democrat,"State Senate,24TH DISTRICT",80,FALSE,24
Douglas,Other,Democrat,"State Senate,24TH DISTRICT",9,FALSE,24
Lane,Other,Democrat,"State Senate,24TH DISTRICT",1,FALSE,24
Coos,"Messerle,Ken",Republican,"State Senate,24TH DISTRICT",6295,TRUE,24
Curry,"Messerle,Ken",Republican,"State Senate,24TH DISTRICT",2961,TRUE,24
Douglas,"Messerle,Ken",Republican,"State Senate,24TH DISTRICT",498,TRUE,24
Lane,"Messerle,Ken",Republican,"State Senate,24TH DISTRICT",1226,TRUE,24
Coos,Other,Republican,"State Senate,24TH DISTRICT",85,FALSE,24
Curry,Other,Republican,"State Senate,24TH DISTRICT",34,FALSE,24
Douglas,Other,Republican,"State Senate,24TH DISTRICT",8,FALSE,24
Lane,Other,Republican,"State Senate,24TH DISTRICT",2,FALSE,24
Jackson,Other,Democrat,"State Senate,25TH DISTRICT",180,FALSE,25
Josephine,Other,Democrat,"State Senate,25TH DISTRICT",760,FALSE,25
Jackson,"Atkinson,Jason A.",Republican,"State Senate,25TH DISTRICT",5021,TRUE,25
Josephine,"Atkinson,Jason A.",Republican,"State Senate,25TH DISTRICT",5867,TRUE,25
Jackson,"Fahey,Pat",Republican,"State Senate,25TH DISTRICT",1739,FALSE,25
Josephine,"Fahey,Pat",Republican,"State Senate,25TH DISTRICT",4679,FALSE,25
Jackson,Other,Republican,"State Senate,25TH DISTRICT",11,FALSE,25
Josephine,Other,Republican,"State Senate,25TH DISTRICT",19,FALSE,25
Deschutes,"Philiben,Anne N.",Democrat,"State Senate,27TH DISTRICT",7266,TRUE,27
Jefferson,"Philiben,Anne N.",Democrat,"State Senate,27TH DISTRICT",1236,TRUE,27
Klamath,"Philiben,Anne N.",Democrat,"State Senate,27TH DISTRICT",320,TRUE,27
Wasco,"Philiben,Anne N.",Democrat,"State Senate,27TH DISTRICT",260,TRUE,27
Deschutes,Other,Democrat,"State Senate,27TH DISTRICT",232,FALSE,27
Jefferson,Other,Democrat,"State Senate,27TH DISTRICT",20,FALSE,27
Klamath,Other,Democrat,"State Senate,27TH DISTRICT",9,FALSE,27
Wasco,Other,Democrat,"State Senate,27TH DISTRICT",3,FALSE,27
Deschutes,"Clarno,Bev",Republican,"State Senate,27TH DISTRICT",11937,TRUE,27
Jefferson,"Clarno,Bev",Republican,"State Senate,27TH DISTRICT",1810,TRUE,27
Klamath,"Clarno,Bev",Republican,"State Senate,27TH DISTRICT",325,TRUE,27
Wasco,"Clarno,Bev",Republican,"State Senate,27TH DISTRICT",240,TRUE,27
Deschutes,Other,Republican,"State Senate,27TH DISTRICT",83,FALSE,27
Jefferson,Other,Republican,"State Senate,27TH DISTRICT",7,FALSE,27
Klamath,Other,Republican,"State Senate,27TH DISTRICT",3,FALSE,27
Wasco,Other,Republican,"State Senate,27TH DISTRICT",0,FALSE,27
Baker,"Cook,Vern",Democrat,"State Senate,28TH DISTRICT",1301,TRUE,28
Clackamas,"Cook,Vern",Democrat,"State Senate,28TH DISTRICT",409,TRUE,28
Crook,"Cook,Vern",Democrat,"State Senate,28TH DISTRICT",1450,TRUE,28
Gilliam,"Cook,Vern",Democrat,"State Senate,28TH DISTRICT",219,TRUE,28
Grant,"Cook,Vern",Democrat,"State Senate,28TH DISTRICT",617,TRUE,28
Hood River,"Cook,Vern",Democrat,"State Senate,28TH DISTRICT",1627,TRUE,28
Morrow,"Cook,Vern",Democrat,"State Senate,28TH DISTRICT",270,TRUE,28
Multnomah,"Cook,Vern",Democrat,"State Senate,28TH DISTRICT",443,TRUE,28
Sherman,"Cook,Vern",Democrat,"State Senate,28TH DISTRICT",218,TRUE,28
Wasco,"Cook,Vern",Democrat,"State Senate,28TH DISTRICT",2053,TRUE,28
Wheeler,"Cook,Vern",Democrat,"State Senate,28TH DISTRICT",176,TRUE,28
