county,candidate,party,office,votes,district,incumbent
Baker,"LaRouche,Lyndon H.",Democrat,President,405,,FALSE
Benton,"LaRouche,Lyndon H.",Democrat,President,575,,FALSE
Clackamas,"LaRouche,Lyndon H.",Democrat,President,3696,,FALSE
Clatsop,"LaRouche,Lyndon H.",Democrat,President,397,,FALSE
Columbia,"LaRouche,Lyndon H.",Democrat,President,842,,FALSE
Coos,"LaRouche,Lyndon H.",Democrat,President,1388,,FALSE
Crook,"LaRouche,Lyndon H.",Democrat,President,361,,FALSE
Curry,"LaRouche,Lyndon H.",Democrat,President,375,,FALSE
Deschutes,"LaRouche,Lyndon H.",Democrat,President,1130,,FALSE
Douglas,"LaRouche,Lyndon H.",Democrat,President,2147,,FALSE
Gilliam,"LaRouche,Lyndon H.",Democrat,President,31,,FALSE
Grant,"LaRouche,Lyndon H.",Democrat,President,228,,FALSE
Harney,"LaRouche,Lyndon H.",Democrat,President,175,,FALSE
Hood River,"LaRouche,Lyndon H.",Democrat,President,234,,FALSE
Jackson,"LaRouche,Lyndon H.",Democrat,President,1688,,FALSE
Jefferson,"LaRouche,Lyndon H.",Democrat,President,217,,FALSE
Josephine,"LaRouche,Lyndon H.",Democrat,President,1047,,FALSE
Klamath,"LaRouche,Lyndon H.",Democrat,President,1225,,FALSE
Lake,"LaRouche,Lyndon H.",Democrat,President,307,,FALSE
Lane,"LaRouche,Lyndon H.",Democrat,President,4833,,FALSE
Lincoln,"LaRouche,Lyndon H.",Democrat,President,552,,FALSE
Linn,"LaRouche,Lyndon H.",Democrat,President,1827,,FALSE
Malheur,"LaRouche,Lyndon H.",Democrat,President,354,,FALSE
Marion,"LaRouche,Lyndon H.",Democrat,President,2372,,FALSE
Morrow,"LaRouche,Lyndon H.",Democrat,President,113,,FALSE
Multnomah,"LaRouche,Lyndon H.",Democrat,President,4612,,FALSE
Polk,"LaRouche,Lyndon H.",Democrat,President,590,,FALSE
Sherman,"LaRouche,Lyndon H.",Democrat,President,49,,FALSE
Tillamook,"LaRouche,Lyndon H.",Democrat,President,442,,FALSE
Umatilla,"LaRouche,Lyndon H.",Democrat,President,729,,FALSE
Union,"LaRouche,Lyndon H.",Democrat,President,614,,FALSE
Wallowa,"LaRouche,Lyndon H.",Democrat,President,167,,FALSE
Wasco,"LaRouche,Lyndon H.",Democrat,President,399,,FALSE
Washington,"LaRouche,Lyndon H.",Democrat,President,3540,,FALSE
Wheeler,"LaRouche,Lyndon H.",Democrat,President,53,,FALSE
Yamhill,"LaRouche,Lyndon H.",Democrat,President,807,,FALSE
Baker,"Gore,Al",Democrat,President,1061,,FALSE
Benton,"Gore,Al",Democrat,President,7548,,FALSE
Clackamas,"Gore,Al",Democrat,President,29154,,FALSE
Clatsop,"Gore,Al",Democrat,President,3923,,FALSE
Columbia,"Gore,Al",Democrat,President,4978,,FALSE
Coos,"Gore,Al",Democrat,President,6332,,FALSE
Crook,"Gore,Al",Democrat,President,1381,,FALSE
Curry,"Gore,Al",Democrat,President,2147,,FALSE
Deschutes,"Gore,Al",Democrat,President,8144,,FALSE
Douglas,"Gore,Al",Democrat,President,7378,,FALSE
Gilliam,"Gore,Al",Democrat,President,203,,FALSE
Grant,"Gore,Al",Democrat,President,371,,FALSE
Harney,"Gore,Al",Democrat,President,469,,FALSE
Hood River,"Gore,Al",Democrat,President,1998,,FALSE
Jackson,"Gore,Al",Democrat,President,15223,,FALSE
Jefferson,"Gore,Al",Democrat,President,1357,,FALSE
Josephine,"Gore,Al",Democrat,President,5746,,FALSE
Klamath,"Gore,Al",Democrat,President,4212,,FALSE
Lake,"Gore,Al",Democrat,President,431,,FALSE
Lane,"Gore,Al",Democrat,President,35071,,FALSE
Lincoln,"Gore,Al",Democrat,President,5166,,FALSE
Linn,"Gore,Al",Democrat,President,7601,,FALSE
Malheur,"Gore,Al",Democrat,President,1122,,FALSE
Marion,"Gore,Al",Democrat,President,20430,,FALSE
Morrow,"Gore,Al",Democrat,President,450,,FALSE
Multnomah,"Gore,Al",Democrat,President,78053,,FALSE
Polk,"Gore,Al",Democrat,President,4437,,FALSE
Sherman,"Gore,Al",Democrat,President,189,,FALSE
Tillamook,"Gore,Al",Democrat,President,3070,,FALSE
Umatilla,"Gore,Al",Democrat,President,3159,,FALSE
Union,"Gore,Al",Democrat,President,1833,,FALSE
Wallowa,"Gore,Al",Democrat,President,402,,FALSE
Wasco,"Gore,Al",Democrat,President,2581,,FALSE
Washington,"Gore,Al",Democrat,President,29394,,FALSE
Wheeler,"Gore,Al",Democrat,President,115,,FALSE
Yamhill,"Gore,Al",Democrat,President,5793,,FALSE
Baker,Other,Democrat,President,142,,FALSE
Benton,Other,Democrat,President,496,,FALSE
Clackamas,Other,Democrat,President,307,,FALSE
Clatsop,Other,Democrat,President,234,,FALSE
Columbia,Other,Democrat,President,339,,FALSE
Coos,Other,Democrat,President,827,,FALSE
Crook,Other,Democrat,President,184,,FALSE
Curry,Other,Democrat,President,281,,FALSE
Deschutes,Other,Democrat,President,659,,FALSE
Douglas,Other,Democrat,President,875,,FALSE
Gilliam,Other,Democrat,President,25,,FALSE
Grant,Other,Democrat,President,239,,FALSE
Harney,Other,Democrat,President,215,,FALSE
Hood River,Other,Democrat,President,80,,FALSE
Jackson,Other,Democrat,President,1195,,FALSE
Jefferson,Other,Democrat,President,96,,FALSE
Josephine,Other,Democrat,President,729,,FALSE
Klamath,Other,Democrat,President,484,,FALSE
Lake,Other,Democrat,President,0,,FALSE
Lane,Other,Democrat,President,704,,FALSE
Lincoln,Other,Democrat,President,274,,FALSE
Linn,Other,Democrat,President,163,,FALSE
Malheur,Other,Democrat,President,178,,FALSE
Marion,Other,Democrat,President,1280,,FALSE
Morrow,Other,Democrat,President,0,,FALSE
Multnomah,Other,Democrat,President,3729,,FALSE
Polk,Other,Democrat,President,71,,FALSE
Sherman,Other,Democrat,President,15,,FALSE
Tillamook,Other,Democrat,President,196,,FALSE
Umatilla,Other,Democrat,President,8,,FALSE
Union,Other,Democrat,President,130,,FALSE
Wallowa,Other,Democrat,President,146,,FALSE
Wasco,Other,Democrat,President,141,,FALSE
Washington,Other,Democrat,President,319,,FALSE
Wheeler,Other,Democrat,President,20,,FALSE
Yamhill,Other,Democrat,President,370,,FALSE
Baker,"Bush,George W.",Republican,President,2013,,FALSE
Benton,"Bush,George W.",Republican,President,6482,,FALSE
Clackamas,"Bush,George W.",Republican,President,30889,,FALSE
Clatsop,"Bush,George W.",Republican,President,2889,,FALSE
Columbia,"Bush,George W.",Republican,President,3264,,FALSE
Coos,"Bush,George W.",Republican,President,5963,,FALSE
Crook,"Bush,George W.",Republican,President,2095,,FALSE
Curry,"Bush,George W.",Republican,President,2822,,FALSE
Deschutes,"Bush,George W.",Republican,President,12255,,FALSE
Douglas,"Bush,George W.",Republican,President,12332,,FALSE
Gilliam,"Bush,George W.",Republican,President,252,,FALSE
Grant,"Bush,George W.",Republican,President,1204,,FALSE
Harney,"Bush,George W.",Republican,President,1306,,FALSE
Hood River,"Bush,George W.",Republican,President,1840,,FALSE
Jackson,"Bush,George W.",Republican,President,19587,,FALSE
Jefferson,"Bush,George W.",Republican,President,1827,,FALSE
Josephine,"Bush,George W.",Republican,President,10348,,FALSE
Klamath,"Bush,George W.",Republican,President,8166,,FALSE
Lake,"Bush,George W.",Republican,President,1296,,FALSE
Lane,"Bush,George W.",Republican,President,26057,,FALSE
Lincoln,"Bush,George W.",Republican,President,3724,,FALSE
Linn,"Bush,George W.",Republican,President,9473,,FALSE
Malheur,"Bush,George W.",Republican,President,3220,,FALSE
Marion,"Bush,George W.",Republican,President,24837,,FALSE
Morrow,"Bush,George W.",Republican,President,634,,FALSE
Multnomah,"Bush,George W.",Republican,President,35255,,FALSE
Polk,"Bush,George W.",Republican,President,6072,,FALSE
Sherman,"Bush,George W.",Republican,President,271,,FALSE
Tillamook,"Bush,George W.",Republican,President,2600,,FALSE
Umatilla,"Bush,George W.",Republican,President,4533,,FALSE
Union,"Bush,George W.",Republican,President,2922,,FALSE
Wallowa,"Bush,George W.",Republican,President,1028,,FALSE
Wasco,"Bush,George W.",Republican,President,2440,,FALSE
Washington,"Bush,George W.",Republican,President,34518,,FALSE
