county,precinct,office,party,district,candidate,votes
Benton,Precinct 082,President,D,,"Lyndon H. Larouche, Jr.",9
Benton,Precinct 082,President,D,,Al Gore,82
Benton,Precinct 082,President,D,,Write-in,2
Benton,Precinct 082,President,D,,Under Votes,14
Benton,Precinct 082,President,D,,Over Votes,0
Benton,Precinct 083,President,D,,"Lyndon H. Larouche, Jr.",5
Benton,Precinct 083,President,D,,Al Gore,37
Benton,Precinct 083,President,D,,Write-in,3
Benton,Precinct 083,President,D,,Under Votes,3
Benton,Precinct 083,President,D,,Over Votes,0
Benton,Precinct 084,President,D,,"Lyndon H. Larouche, Jr.",7
Benton,Precinct 084,President,D,,Al Gore,105
Benton,Precinct 084,President,D,,Write-in,10
Benton,Precinct 084,President,D,,Under Votes,10
Benton,Precinct 084,President,D,,Over Votes,0
Benton,Precinct 085,President,D,,"Lyndon H. Larouche, Jr.",2
Benton,Precinct 085,President,D,,Al Gore,33
Benton,Precinct 085,President,D,,Write-in,0
Benton,Precinct 085,President,D,,Under Votes,1
Benton,Precinct 085,President,D,,Over Votes,0
Benton,Precinct 086,President,D,,"Lyndon H. Larouche, Jr.",1
Benton,Precinct 086,President,D,,Al Gore,110
Benton,Precinct 086,President,D,,Write-in,2
Benton,Precinct 086,President,D,,Under Votes,10
Benton,Precinct 086,President,D,,Over Votes,0
Benton,Precinct 087,President,D,,"Lyndon H. Larouche, Jr.",6
Benton,Precinct 087,President,D,,Al Gore,162
Benton,Precinct 087,President,D,,Write-in,7
Benton,Precinct 087,President,D,,Under Votes,21
Benton,Precinct 087,President,D,,Over Votes,0
Benton,Precinct 088,President,D,,"Lyndon H. Larouche, Jr.",7
Benton,Precinct 088,President,D,,Al Gore,117
Benton,Precinct 088,President,D,,Write-in,3
Benton,Precinct 088,President,D,,Under Votes,15
Benton,Precinct 088,President,D,,Over Votes,0
Benton,Precinct 089,President,D,,"Lyndon H. Larouche, Jr.",4
Benton,Precinct 089,President,D,,Al Gore,80
Benton,Precinct 089,President,D,,Write-in,7
Benton,Precinct 089,President,D,,Under Votes,10
Benton,Precinct 089,President,D,,Over Votes,0
Benton,Precinct 091,President,D,,"Lyndon H. Larouche, Jr.",1
Benton,Precinct 091,President,D,,Al Gore,4
Benton,Precinct 091,President,D,,Write-in,0
Benton,Precinct 091,President,D,,Under Votes,2
Benton,Precinct 091,President,D,,Over Votes,0
Benton,Precinct 092,President,D,,"Lyndon H. Larouche, Jr.",11
Benton,Precinct 092,President,D,,Al Gore,235
Benton,Precinct 092,President,D,,Write-in,13
Benton,Precinct 092,President,D,,Under Votes,22
Benton,Precinct 092,President,D,,Over Votes,0
Benton,Precinct 093,President,D,,"Lyndon H. Larouche, Jr.",4
Benton,Precinct 093,President,D,,Al Gore,54
Benton,Precinct 093,President,D,,Write-in,1
Benton,Precinct 093,President,D,,Under Votes,4
Benton,Precinct 093,President,D,,Over Votes,0
Benton,Precinct 094,President,D,,"Lyndon H. Larouche, Jr.",6
Benton,Precinct 094,President,D,,Al Gore,243
Benton,Precinct 094,President,D,,Write-in,17
