county,precinct,office,party,district,candidate,votes
Washington,301 RURAL NW COUNTY,President,D,,Lyndon H. Larouche Jr.,45
Washington,302 KINNAMAN,President,D,,Lyndon H. Larouche Jr.,38
Washington,303 WITCH HAZEL,President,D,,Lyndon H. Larouche Jr.,10
Washington,304 BUTTERNUT,President,D,,Lyndon H. Larouche Jr.,49
Washington,305 BANKS,President,D,,Lyndon H. Larouche Jr.,11
Washington,306 TANASBOURNE,President,D,,Lyndon H. Larouche Jr.,7
Washington,307 WILLOW CREEK,President,D,,Lyndon H. Larouche Jr.,32
Washington,308 BLOOMING FERN HILL,President,D,,Lyndon H. Larouche Jr.,10
Washington,309 HAWTHORNE FARMS,President,D,,Lyndon H. Larouche Jr.,13
Washington,310 DILLEY,President,D,,Lyndon H. Larouche Jr.,26
Washington,311 LAURELWOOD,President,D,,Lyndon H. Larouche Jr.,15
Washington,312 GALES CREEK,President,D,,Lyndon H. Larouche Jr.,27
Washington,313 HILLSBORO-UNINCORP,President,D,,Lyndon H. Larouche Jr.,9
Washington,314 GLENCOE,President,D,,Lyndon H. Larouche Jr.,17
Washington,315 HELVETIA,President,D,,Lyndon H. Larouche Jr.,13
Washington,316 PUMPKIN RIDGE,President,D,,Lyndon H. Larouche Jr.,29
Washington,317 VERBOORT,President,D,,Lyndon H. Larouche Jr.,22
Washington,318 MINTER BRIDGE,President,D,,Lyndon H. Larouche Jr.,36
Washington,319 QUATAMA STREET,President,D,,Lyndon H. Larouche Jr.,11
Washington,320 HAZELDALE,President,D,,Lyndon H. Larouche Jr.,32
Washington,321 GASTON,President,D,,Lyndon H. Larouche Jr.,6
Washington,322 JACKTOWN,President,D,,Lyndon H. Larouche Jr.,15
Washington,323 INDIAN HILLS,President,D,,Lyndon H. Larouche Jr.,29
Washington,324 HAGG LAKE,President,D,,Lyndon H. Larouche Jr.,29
Washington,325 HILLSBORO-ISLANDS,President,D,,Lyndon H. Larouche Jr.,0
Washington,326 RURAL BANKS,President,D,,Lyndon H. Larouche Jr.,30
Washington,327 BROWN MIDDLE SCHOOL,President,D,,Lyndon H. Larouche Jr.,38
Washington,328 FARMINGTON VIEW,President,D,,Lyndon H. Larouche Jr.,40
Washington,329 CENTURY SCHOOL,President,D,,Lyndon H. Larouche Jr.,24
Washington,330 NORTH PLAINS,President,D,,Lyndon H. Larouche Jr.,9
Washington,331 EVERGREEN,President,D,,Lyndon H. Larouche Jr.,0
Washington,332 ORENCO STATION,President,D,,Lyndon H. Larouche Jr.,18
Washington,333 JOHN OLSEN,President,D,,Lyndon H. Larouche Jr.,18
Washington,334 DIXIE MOUNTAIN,President,D,,Lyndon H. Larouche Jr.,8
Washington,335 JACKSON SCHOOL,President,D,,Lyndon H. Larouche Jr.,27
Washington,336 FAIRGROUNDS,President,D,,Lyndon H. Larouche Jr.,48
Washington,337 WALNUT STREET,President,D,,Lyndon H. Larouche Jr.,39
Washington,338 CORNELIUS,President,D,,Lyndon H. Larouche Jr.,64
Washington,339 FOREST GROVE-EAST,President,D,,Lyndon H. Larouche Jr.,76
Washington,340 FOREST GROVE-WEST,President,D,,Lyndon H. Larouche Jr.,79
Washington,341 CORNELIUS-SCHEFFLIN,President,D,,Lyndon H. Larouche Jr.,29
Washington,342 DAVID HILL RD,President,D,,Lyndon H. Larouche Jr.,2
Washington,343 MOOBERRY,President,D,,Lyndon H. Larouche Jr.,52
Washington,344 HILLSBORO CENTRAL,President,D,,Lyndon H. Larouche Jr.,59
Washington,345 W/HILLSBORO-UNINCORP,President,D,,Lyndon H. Larouche Jr.,2
Washington,346 CORNELIUS/TUAL RIVER,President,D,,Lyndon H. Larouche Jr.,5
Washington,347 FG/TUALATIN RIVER,President,D,,Lyndon H. Larouche Jr.,0
Washington,348 BROOKWOOD,President,D,,Lyndon H. Larouche Jr.,0
Washington,349 DIVISION STREET,President,D,,Lyndon H. Larouche Jr.,33
Washington,350 FIR GROVE,President,D,,Lyndon H. Larouche Jr.,56
Washington,351 ALOHA PARK,President,D,,Lyndon H. Larouche Jr.,33
Washington,352 BEAVERTON-CENTER,President,D,,Lyndon H. Larouche Jr.,13
Washington,353 WALKER ROAD-SOUTH,President,D,,Lyndon H. Larouche Jr.,19
Washington,354 CHEHALEM SCHOOL,President,D,,Lyndon H. Larouche Jr.,41
Washington,355 MEADOW PARK,President,D,,Lyndon H. Larouche Jr.,69
Washington,356 ALOHA-WEST,President,D,,Lyndon H. Larouche Jr.,32
Washington,357 HERITAGE PARK,President,D,,Lyndon H. Larouche Jr.,28
Washington,358 SEMINOLE ESTATES,President,D,,Lyndon H. Larouche Jr.,26
Washington,359 WATERHOUSE,President,D,,Lyndon H. Larouche Jr.,48
Washington,361 MILLIKAN,President,D,,Lyndon H. Larouche Jr.,11
Washington,362 CEDAR HILLS,President,D,,Lyndon H. Larouche Jr.,57
Washington,363 BARNES RD,President,D,,Lyndon H. Larouche Jr.,48
Washington,364 MCDANIEL RD,President,D,,Lyndon H. Larouche Jr.,48
Washington,365 LEAHY RD,President,D,,Lyndon H. Larouche Jr.,53
Washington,366 WEST TUALATIN VIEW,President,D,,Lyndon H. Larouche Jr.,27
Washington,367 THOMPSON RD,President,D,,Lyndon H. Larouche Jr.,22
