county,precinct,office,party,district,candidate,votes
Morrow,Boardman #1,U.S. Senate,D,,Pavel Goberman,6
Morrow,Irrigon #2,U.S. Senate,D,,Pavel Goberman,9
Morrow,Lexington #3,U.S. Senate,D,,Pavel Goberman,0
Morrow,Ione #4,U.S. Senate,D,,Pavel Goberman,3
Morrow,Heppner #5,U.S. Senate,D,,Pavel Goberman,11
Morrow,Boardman #1,U.S. Senate,D,,Jeff Merkley,71
Morrow,Irrigon #2,U.S. Senate,D,,Jeff Merkley,106
Morrow,Lexington #3,U.S. Senate,D,,Jeff Merkley,19
Morrow,Ione #4,U.S. Senate,D,,Jeff Merkley,36
Morrow,Heppner #5,U.S. Senate,D,,Jeff Merkley,119
Morrow,Boardman #1,U.S. Senate,D,,William Bryk,10
Morrow,Irrigon #2,U.S. Senate,D,,William Bryk,10
Morrow,Lexington #3,U.S. Senate,D,,William Bryk,6
Morrow,Ione #4,U.S. Senate,D,,William Bryk,5
Morrow,Heppner #5,U.S. Senate,D,,William Bryk,12
Morrow,Boardman #1,U.S. Senate,D,,Write-ins,1
Morrow,Irrigon #2,U.S. Senate,D,,Write-ins,4
Morrow,Lexington #3,U.S. Senate,D,,Write-ins,2
Morrow,Ione #4,U.S. Senate,D,,Write-ins,0
Morrow,Heppner #5,U.S. Senate,D,,Write-ins,1
Morrow,Boardman #1,U.S. Senate,D,,Over Votes,0
Morrow,Irrigon #2,U.S. Senate,D,,Over Votes,0
Morrow,Lexington #3,U.S. Senate,D,,Over Votes,0
Morrow,Ione #4,U.S. Senate,D,,Over Votes,0
Morrow,Heppner #5,U.S. Senate,D,,Over Votes,0
Morrow,Boardman #1,U.S. Senate,D,,Under Votes,16
Morrow,Irrigon #2,U.S. Senate,D,,Under Votes,13
Morrow,Lexington #3,U.S. Senate,D,,Under Votes,7
Morrow,Ione #4,U.S. Senate,D,,Under Votes,14
Morrow,Heppner #5,U.S. Senate,D,,Under Votes,40
Morrow,Boardman #1,U.S. House,D,2,C.F. (Frank) Vulliet,12
Morrow,Irrigon #2,U.S. House,D,2,C.F. (Frank) Vulliet,20
Morrow,Lexington #3,U.S. House,D,2,C.F. (Frank) Vulliet,5
Morrow,Ione #4,U.S. House,D,2,C.F. (Frank) Vulliet,4
Morrow,Heppner #5,U.S. House,D,2,C.F. (Frank) Vulliet,14
Morrow,Boardman #1,U.S. House,D,2,Aelea Christofferson,39
Morrow,Irrigon #2,U.S. House,D,2,Aelea Christofferson,53
Morrow,Lexington #3,U.S. House,D,2,Aelea Christofferson,9
Morrow,Ione #4,U.S. House,D,2,Aelea Christofferson,18
Morrow,Heppner #5,U.S. House,D,2,Aelea Christofferson,66
Morrow,Boardman #1,U.S. House,D,2,Barney Spera,17
Morrow,Irrigon #2,U.S. House,D,2,Barney Spera,28
Morrow,Lexington #3,U.S. House,D,2,Barney Spera,5
Morrow,Ione #4,U.S. House,D,2,Barney Spera,7
Morrow,Heppner #5,U.S. House,D,2,Barney Spera,17
Morrow,Boardman #1,U.S. House,D,2,Write-ins,0
Morrow,Irrigon #2,U.S. House,D,2,Write-ins,4
Morrow,Lexington #3,U.S. House,D,2,Write-ins,1
Morrow,Ione #4,U.S. House,D,2,Write-ins,2
Morrow,Heppner #5,U.S. House,D,2,Write-ins,4
Morrow,Boardman #1,U.S. House,D,2,Over Votes,0
Morrow,Irrigon #2,U.S. House,D,2,Over Votes,0
Morrow,Lexington #3,U.S. House,D,2,Over Votes,0
Morrow,Ione #4,U.S. House,D,2,Over Votes,0
Morrow,Heppner #5,U.S. House,D,2,Over Votes,0
Morrow,Boardman #1,U.S. House,D,2,Under Votes,36
Morrow,Irrigon #2,U.S. House,D,2,Under Votes,37
Morrow,Lexington #3,U.S. House,D,2,Under Votes,14
Morrow,Ione #4,U.S. House,D,2,Under Votes,27
Morrow,Heppner #5,U.S. House,D,2,Under Votes,82
Morrow,Boardman #1,Governor,D,,Ifeanyichukwu C. Diru,16
Morrow,Irrigon #2,Governor,D,,Ifeanyichukwu C. Diru,31
Morrow,Lexington #3,Governor,D,,Ifeanyichukwu C. Diru,11
Morrow,Ione #4,Governor,D,,Ifeanyichukwu C. Diru,15
Morrow,Heppner #5,Governor,D,,Ifeanyichukwu C. Diru,47
Morrow,Boardman #1,Governor,D,,John Kitzhaber,72
Morrow,Irrigon #2,Governor,D,,John Kitzhaber,97
Morrow,Lexington #3,Governor,D,,John Kitzhaber,16
Morrow,Ione #4,Governor,D,,John Kitzhaber,29
Morrow,Heppner #5,Governor,D,,John Kitzhaber,105
Morrow,Boardman #1,Governor,D,,Write-ins,0
Morrow,Irrigon #2,Governor,D,,Write-ins,4
Morrow,Lexington #3,Governor,D,,Write-ins,1
Morrow,Ione #4,Governor,D,,Write-ins,0
Morrow,Heppner #5,Governor,D,,Write-ins,1
Morrow,Boardman #1,Governor,D,,Over Votes,0
