county,district,office,candidate,precinct,votes
Yamhill,,President,Barack Obama,PRE001 ,807
Yamhill,,President,Barack Obama,PRE002 ,1268
Yamhill,,President,Barack Obama,PRE003 ,1540
Yamhill,,President,Barack Obama,PRE004 ,1150
Yamhill,,President,Barack Obama,PRE007 ,741
Yamhill,,President,Barack Obama,PRE009 ,1169
Yamhill,,President,Barack Obama,PRE010 ,877
Yamhill,,President,Barack Obama,PRE012 ,957
Yamhill,,President,Barack Obama,PRE013 ,955
Yamhill,,President,Barack Obama,PRE014 ,973
Yamhill,,President,Barack Obama,PRE015 ,964
Yamhill,,President,Barack Obama,PRE016 ,696
Yamhill,,President,Barack Obama,PRE017 ,963
Yamhill,,President,Barack Obama,PRE018 ,1581
Yamhill,,President,Barack Obama,PRE019 ,1275
Yamhill,,President,Barack Obama,PRE020 ,737
Yamhill,,President,Barack Obama,PRE021 ,740
Yamhill,,President,Barack Obama,PRE022 ,759
Yamhill,,President,Barack Obama,PRE026 ,623
Yamhill,,President,Barack Obama,PRE027 ,166
Yamhill,,President,Barack Obama,PRE028 ,319
Yamhill,,President,Jill Stein,PRE001 ,9
Yamhill,,President,Jill Stein,PRE002 ,21
Yamhill,,President,Jill Stein,PRE003 ,23
Yamhill,,President,Jill Stein,PRE004 ,19
Yamhill,,President,Jill Stein,PRE007 ,15
Yamhill,,President,Jill Stein,PRE009 ,14
Yamhill,,President,Jill Stein,PRE010 ,8
Yamhill,,President,Jill Stein,PRE012 ,28
Yamhill,,President,Jill Stein,PRE013 ,18
Yamhill,,President,Jill Stein,PRE014 ,14
Yamhill,,President,Jill Stein,PRE015 ,13
Yamhill,,President,Jill Stein,PRE016 ,11
Yamhill,,President,Jill Stein,PRE017 ,12
Yamhill,,President,Jill Stein,PRE018 ,22
Yamhill,,President,Jill Stein,PRE019 ,27
Yamhill,,President,Jill Stein,PRE020 ,14
Yamhill,,President,Jill Stein,PRE021 ,24
Yamhill,,President,Jill Stein,PRE022 ,13
Yamhill,,President,Jill Stein,PRE026 ,12
Yamhill,,President,Jill Stein,PRE027 ,17
Yamhill,,President,Jill Stein,PRE028 ,9
Yamhill,,President,Rocky Anderson,PRE001 ,0
Yamhill,,President,Rocky Anderson,PRE002 ,3
Yamhill,,President,Rocky Anderson,PRE003 ,6
Yamhill,,President,Rocky Anderson,PRE004 ,1
Yamhill,,President,Rocky Anderson,PRE007 ,3
Yamhill,,President,Rocky Anderson,PRE009 ,5
Yamhill,,President,Rocky Anderson,PRE010 ,1
Yamhill,,President,Rocky Anderson,PRE012 ,5
Yamhill,,President,Rocky Anderson,PRE013 ,4
Yamhill,,President,Rocky Anderson,PRE014 ,4
Yamhill,,President,Rocky Anderson,PRE015 ,2
Yamhill,,President,Rocky Anderson,PRE016 ,0
Yamhill,,President,Rocky Anderson,PRE017 ,3
Yamhill,,President,Rocky Anderson,PRE018 ,4
Yamhill,,President,Rocky Anderson,PRE019 ,6
Yamhill,,President,Rocky Anderson,PRE020 ,1
Yamhill,,President,Rocky Anderson,PRE021 ,2
Yamhill,,President,Rocky Anderson,PRE022 ,2
Yamhill,,President,Rocky Anderson,PRE026 ,3
Yamhill,,President,Rocky Anderson,PRE027 ,2
Yamhill,,President,Rocky Anderson,PRE028 ,4
Yamhill,,President,Gary Johnson,PRE001 ,21
Yamhill,,President,Gary Johnson,PRE002 ,57
Yamhill,,President,Gary Johnson,PRE003 ,46
Yamhill,,President,Gary Johnson,PRE004 ,47
Yamhill,,President,Gary Johnson,PRE007 ,20
Yamhill,,President,Gary Johnson,PRE009 ,34
Yamhill,,President,Gary Johnson,PRE010 ,32
Yamhill,,President,Gary Johnson,PRE012 ,45
Yamhill,,President,Gary Johnson,PRE013 ,39
Yamhill,,President,Gary Johnson,PRE014 ,24
Yamhill,,President,Gary Johnson,PRE015 ,38
