county,precinct,office,district,candidate,party,votes,election_day,mail,absentee,military,provisional,emergency
Sherman,Rufus #1,U.S. House,2,John Sweeney,D,7,,,,,,
Sherman,Wasco #2,U.S. House,2,John Sweeney,D,16,,,,,,
Sherman,Moro #3,U.S. House,2,John Sweeney,D,8,,,,,,
Sherman,Grass Valley #4,U.S. House,2,John Sweeney,D,5,,,,,,
Sherman,Kent #5,U.S. House,2,John Sweeney,D,1,,,,,,
Sherman,Rufus #1,U.S. House,2,Joyce B. Segers,D,14,,,,,,
Sherman,Wasco #2,U.S. House,2,Joyce B. Segers,D,24,,,,,,
Sherman,Moro #3,U.S. House,2,Joyce B. Segers,D,23,,,,,,
Sherman,Grass Valley #4,U.S. House,2,Joyce B. Segers,D,10,,,,,,
Sherman,Kent #5,U.S. House,2,Joyce B. Segers,D,1,,,,,,
Sherman,Rufus #1,U.S. House,2,Misc.,D,0,,,,,,
Sherman,Wasco #2,U.S. House,2,Misc.,D,1,,,,,,
Sherman,Moro #3,U.S. House,2,Misc.,D,2,,,,,,
Sherman,Grass Valley #4,U.S. House,2,Misc.,D,2,,,,,,
Sherman,Kent #5,U.S. House,2,Misc.,D,1,,,,,,
Sherman,Rufus #1,U.S. House,2,Over Votes,D,0,,,,,,
Sherman,Wasco #2,U.S. House,2,Over Votes,D,0,,,,,,
Sherman,Moro #3,U.S. House,2,Over Votes,D,0,,,,,,
Sherman,Grass Valley #4,U.S. House,2,Over Votes,D,0,,,,,,
Sherman,Kent #5,U.S. House,2,Over Votes,D,0,,,,,,
Sherman,Rufus #1,U.S. House,2,Under Votes,D,6,,,,,,
Sherman,Wasco #2,U.S. House,2,Under Votes,D,21,,,,,,
Sherman,Moro #3,U.S. House,2,Under Votes,D,12,,,,,,
Sherman,Grass Valley #4,U.S. House,2,Under Votes,D,10,,,,,,
Sherman,Kent #5,U.S. House,2,Under Votes,D,1,,,,,,
Sherman,Rufus #1,Attorney General,,Dwight Holton,D,12,,,,,,
Sherman,Wasco #2,Attorney General,,Dwight Holton,D,22,,,,,,
Sherman,Moro #3,Attorney General,,Dwight Holton,D,25,,,,,,
Sherman,Grass Valley #4,Attorney General,,Dwight Holton,D,10,,,,,,
Sherman,Kent #5,Attorney General,,Dwight Holton,D,3,,,,,,
Sherman,Rufus #1,Attorney General,,Ellen Rosenbaum,D,10,,,,,,
Sherman,Wasco #2,Attorney General,,Ellen Rosenbaum,D,29,,,,,,
Sherman,Moro #3,Attorney General,,Ellen Rosenbaum,D,11,,,,,,
Sherman,Grass Valley #4,Attorney General,,Ellen Rosenbaum,D,10,,,,,,
Sherman,Kent #5,Attorney General,,Ellen Rosenbaum,D,1,,,,,,
Sherman,Rufus #1,Attorney General,,James Buchal,D,0,,,,,,
Sherman,Wasco #2,Attorney General,,James Buchal,D,0,,,,,,
Sherman,Moro #3,Attorney General,,James Buchal,D,0,,,,,,
Sherman,Grass Valley #4,Attorney General,,James Buchal,D,2,,,,,,
Sherman,Kent #5,Attorney General,,James Buchal,D,0,,,,,,
Sherman,Rufus #1,Attorney General,,Misc.,D,1,,,,,,
Sherman,Wasco #2,Attorney General,,Misc.,D,0,,,,,,
Sherman,Moro #3,Attorney General,,Misc.,D,0,,,,,,
Sherman,Grass Valley #4,Attorney General,,Misc.,D,0,,,,,,
Sherman,Kent #5,Attorney General,,Misc.,D,0,,,,,,
Sherman,Rufus #1,Attorney General,,Over Votes,D,0,,,,,,
Sherman,Wasco #2,Attorney General,,Over Votes,D,0,,,,,,
Sherman,Moro #3,Attorney General,,Over Votes,D,0,,,,,,
Sherman,Grass Valley #4,Attorney General,,Over Votes,D,0,,,,,,
Sherman,Kent #5,Attorney General,,Over Votes,D,0,,,,,,
Sherman,Rufus #1,Attorney General,,Under Votes,D,3,,,,,,
Sherman,Wasco #2,Attorney General,,Under Votes,D,11,,,,,,
Sherman,Moro #3,Attorney General,,Under Votes,D,9,,,,,,
Sherman,Grass Valley #4,Attorney General,,Under Votes,D,5,,,,,,
Sherman,Kent #5,Attorney General,,Under Votes,D,0,,,,,,
Sherman,Rufus #1,State Senate,29,Justin Brown,D,1,,,,,,
Sherman,Wasco #2,State Senate,29,Justin Brown,D,0,,,,,,
Sherman,Moro #3,State Senate,29,Justin Brown,D,0,,,,,,
Sherman,Grass Valley #4,State Senate,29,Justin Brown,D,0,,,,,,
Sherman,Kent #5,State Senate,29,Justin Brown,D,0,,,,,,
Sherman,Rufus #1,State Senate,29,Bill Hansell,D,0,,,,,,
Sherman,Wasco #2,State Senate,29,Bill Hansell,D,2,,,,,,
Sherman,Moro #3,State Senate,29,Bill Hansell,D,0,,,,,,
Sherman,Grass Valley #4,State Senate,29,Bill Hansell,D,1,,,,,,
Sherman,Kent #5,State Senate,29,Bill Hansell,D,0,,,,,,
Sherman,Rufus #1,State Senate,29,Maryl G. Featherstone,D,0,,,,,,
Sherman,Wasco #2,State Senate,29,Maryl G. Featherstone,D,2,,,,,,
Sherman,Moro #3,State Senate,29,Maryl G. Featherstone,D,2,,,,,,
Sherman,Grass Valley #4,State Senate,29,Maryl G. Featherstone,D,1,,,,,,
Sherman,Kent #5,State Senate,29,Maryl G. Featherstone,D,0,,,,,,
Sherman,Rufus #1,State Senate,29,Phillip McCullough,D,0,,,,,,
Sherman,Wasco #2,State Senate,29,Phillip McCullough,D,0,,,,,,
Sherman,Moro #3,State Senate,29,Phillip McCullough,D,1,,,,,,
Sherman,Grass Valley #4,State Senate,29,Phillip McCullough,D,0,,,,,,
Sherman,Kent #5,State Senate,29,Phillip McCullough,D,0,,,,,,
Sherman,Rufus #1,State Senate,29,Misc.,D,0,,,,,,
Sherman,Wasco #2,State Senate,29,Misc.,D,1,,,,,,
Sherman,Moro #3,State Senate,29,Misc.,D,2,,,,,,
Sherman,Grass Valley #4,State Senate,29,Misc.,D,0,,,,,,
Sherman,Kent #5,State Senate,29,Misc.,D,0,,,,,,
Sherman,Rufus #1,State Senate,29,Over Votes,D,0,,,,,,
Sherman,Wasco #2,State Senate,29,Over Votes,D,0,,,,,,
Sherman,Moro #3,State Senate,29,Over Votes,D,0,,,,,,
Sherman,Grass Valley #4,State Senate,29,Over Votes,D,0,,,,,,
Sherman,Kent #5,State Senate,29,Over Votes,D,0,,,,,,
Sherman,Rufus #1,State Senate,29,Under Votes,D,26,,,,,,
