county,precinct,office,district,party,candidate,votes,,,
Lake,SILVER LAKE P-1,President,,DEM,Barack Obama,2,,,
Lake,SUMMER LAKE P-2,President,,DEM,Barack Obama,8,,,
Lake,PAISLEY P-3,President,,DEM,Barack Obama,12,,,
Lake,CROOKED CREEK P-4,President,,DEM,Barack Obama,12,,,
Lake,NORTH WARNER P-5,President,,DEM,Barack Obama,2,,,
Lake,SOUTH WARNER P-6,President,,DEM,Barack Obama,0,,,
Lake,NORTH LAKEVIEW P-7,President,,DEM,Barack Obama,20,,,
Lake,SOUTH LAKEVIEW P-8,President,,DEM,Barack Obama,28,,,
Lake,FREMONT P-9,President,,DEM,Barack Obama,29,,,
Lake,GOOSE LAKE P-10,President,,DEM,Barack Obama,11,,,
Lake,COGSWELL CREEK P-11,President,,DEM,Barack Obama,21,,,
Lake,THOM. CRK. WESTSIDE P-12,President,,DEM,Barack Obama,33,,,
Lake,CHRISTMAS VALLEY P-13,President,,DEM,Barack Obama,58,,,
Lake,FORT ROCK P-14,President,,DEM,Barack Obama,10,,,
Lake,WEST LAKEVIEW P-15,President,,DEM,Barack Obama,12,,,
Lake,NEW PINE CREEK P-16,President,,DEM,Barack Obama,14,,,
Lake,VALLEY FALLS P-18,President,,DEM,Barack Obama,0,,,
Lake,NO. CENTRAL LKVW. P-20,President,,DEM,Barack Obama,11,,,
Lake,SO. CENTRAL LKVW. P-21,President,,DEM,Barack Obama,30,,,
Lake,SILVER LAKE P-1,President,,DEM,Write-ins,0,,,
Lake,SUMMER LAKE P-2,President,,DEM,Write-ins,0,,,
Lake,PAISLEY P-3,President,,DEM,Write-ins,4,,,
Lake,CROOKED CREEK P-4,President,,DEM,Write-ins,6,,,
Lake,NORTH WARNER P-5,President,,DEM,Write-ins,0,,,
Lake,SOUTH WARNER P-6,President,,DEM,Write-ins,0,,,
Lake,NORTH LAKEVIEW P-7,President,,DEM,Write-ins,7,,,
Lake,SOUTH LAKEVIEW P-8,President,,DEM,Write-ins,2,,,
Lake,FREMONT P-9,President,,DEM,Write-ins,4,,,
Lake,GOOSE LAKE P-10,President,,DEM,Write-ins,2,,,
Lake,COGSWELL CREEK P-11,President,,DEM,Write-ins,8,,,
Lake,THOM. CRK. WESTSIDE P-12,President,,DEM,Write-ins,11,,,
Lake,CHRISTMAS VALLEY P-13,President,,DEM,Write-ins,10,,,
Lake,FORT ROCK P-14,President,,DEM,Write-ins,2,,,
Lake,WEST LAKEVIEW P-15,President,,DEM,Write-ins,6,,,
Lake,NEW PINE CREEK P-16,President,,DEM,Write-ins,1,,,
Lake,VALLEY FALLS P-18,President,,DEM,Write-ins,0,,,
Lake,NO. CENTRAL LKVW. P-20,President,,DEM,Write-ins,5,,,
Lake,SO. CENTRAL LKVW. P-21,President,,DEM,Write-ins,10,,,
Lake,SILVER LAKE P-1,President,,DEM,Over Votes,0,,,
Lake,SUMMER LAKE P-2,President,,DEM,Over Votes,0,,,
Lake,PAISLEY P-3,President,,DEM,Over Votes,0,,,
Lake,CROOKED CREEK P-4,President,,DEM,Over Votes,0,,,
Lake,NORTH WARNER P-5,President,,DEM,Over Votes,0,,,
Lake,SOUTH WARNER P-6,President,,DEM,Over Votes,0,,,
Lake,NORTH LAKEVIEW P-7,President,,DEM,Over Votes,0,,,
Lake,SOUTH LAKEVIEW P-8,President,,DEM,Over Votes,0,,,
Lake,FREMONT P-9,President,,DEM,Over Votes,0,,,
