county,precinct,office,district,party,candidate,votes,,,,
Linn,1,President,,DEM,Barack Obama,104,,,,
Linn,3,President,,DEM,Barack Obama,98,,,,
Linn,5,President,,DEM,Barack Obama,84,,,,
Linn,8,President,,DEM,Barack Obama,65,,,,
Linn,11,President,,DEM,Barack Obama,61,,,,
Linn,14,President,,DEM,Barack Obama,74,,,,
Linn,15,President,,DEM,Barack Obama,23,,,,
Linn,16,President,,DEM,Barack Obama,93,,,,
Linn,18,President,,DEM,Barack Obama,242,,,,
Linn,19,President,,DEM,Barack Obama,91,,,,
Linn,20,President,,DEM,Barack Obama,50,,,,
Linn,21,President,,DEM,Barack Obama,25,,,,
Linn,22,President,,DEM,Barack Obama,7,,,,
Linn,23,President,,DEM,Barack Obama,76,,,,
Linn,25,President,,DEM,Barack Obama,75,,,,
Linn,26,President,,DEM,Barack Obama,23,,,,
Linn,27,President,,DEM,Barack Obama,47,,,,
Linn,28,President,,DEM,Barack Obama,9,,,,
Linn,29,President,,DEM,Barack Obama,116,,,,
Linn,30,President,,DEM,Barack Obama,13,,,,
Linn,31,President,,DEM,Barack Obama,41,,,,
Linn,32,President,,DEM,Barack Obama,50,,,,
Linn,33,President,,DEM,Barack Obama,5,,,,
Linn,34,President,,DEM,Barack Obama,18,,,,
Linn,35,President,,DEM,Barack Obama,113,,,,
Linn,36,President,,DEM,Barack Obama,96,,,,
Linn,37,President,,DEM,Barack Obama,79,,,,
Linn,38,President,,DEM,Barack Obama,60,,,,
Linn,39,President,,DEM,Barack Obama,67,,,,
Linn,41,President,,DEM,Barack Obama,51,,,,
Linn,42,President,,DEM,Barack Obama,71,,,,
Linn,43,President,,DEM,Barack Obama,64,,,,
Linn,44,President,,DEM,Barack Obama,122,,,,
Linn,45,President,,DEM,Barack Obama,40,,,,
Linn,46,President,,DEM,Barack Obama,87,,,,
Linn,47,President,,DEM,Barack Obama,44,,,,
Linn,48,President,,DEM,Barack Obama,138,,,,
Linn,49,President,,DEM,Barack Obama,0,,,,
Linn,50,President,,DEM,Barack Obama,25,,,,
Linn,51,President,,DEM,Barack Obama,12,,,,
Linn,52,President,,DEM,Barack Obama,41,,,,
Linn,53,President,,DEM,Barack Obama,53,,,,
Linn,54,President,,DEM,Barack Obama,21,,,,
Linn,55,President,,DEM,Barack Obama,41,,,,
Linn,56,President,,DEM,Barack Obama,61,,,,
Linn,57,President,,DEM,Barack Obama,4,,,,
Linn,58,President,,DEM,Barack Obama,9,,,,
Linn,59,President,,DEM,Barack Obama,41,,,,
Linn,60,President,,DEM,Barack Obama,61,,,,
Linn,61,President,,DEM,Barack Obama,35,,,,
Linn,62,President,,DEM,Barack Obama,82,,,,
