precinct,office,district,party,candidate,votes
0001 1,President,,D,Barack Obama,113
0002 2,President,,D,Barack Obama,9
0003 3,President,,D,Barack Obama,127
0004 4,President,,D,Barack Obama,76
0005 5,President,,D,Barack Obama,29
0006 6,President,,D,Barack Obama,31
0007 7,President,,D,Barack Obama,121
0008 8,President,,D,Barack Obama,43
0009 9,President,,D,Barack Obama,32
0010 10,President,,D,Barack Obama,72
0011 11,President,,D,Barack Obama,83
0012 12,President,,D,Barack Obama,67
0013 13,President,,D,Barack Obama,79
0014 14,President,,D,Barack Obama,12
0015 15,President,,D,Barack Obama,34
0016 16,President,,D,Barack Obama,11
0017 17,President,,D,Barack Obama,22
0018 18,President,,D,Barack Obama,72
0019 19,President,,D,Barack Obama,19
0020 20,President,,D,Barack Obama,60
0021 21,President,,D,Barack Obama,192
0022 22,President,,D,Barack Obama,31
0023 23,President,,D,Barack Obama,136
0024 24,President,,D,Barack Obama,38
0025 25,President,,D,Barack Obama,79
0026 26,President,,D,Barack Obama,97
0027 27,President,,D,Barack Obama,128
0028 28,President,,D,Barack Obama,29
0029 29,President,,D,Barack Obama,63
0030 30,President,,D,Barack Obama,115
0031 31,President,,D,Barack Obama,148
0032 32,President,,D,Barack Obama,34
0033 33,President,,D,Barack Obama,20
0034 34,President,,D,Barack Obama,68
0035 35,President,,D,Barack Obama,12
0036 36,President,,D,Barack Obama,70
0037 37,President,,D,Barack Obama,126
0038 38,President,,D,Barack Obama,34
0039 39,President,,D,Barack Obama,12
0040 40,President,,D,Barack Obama,52
0041 41,President,,D,Barack Obama,82
0042 42,President,,D,Barack Obama,28
0043 43,President,,D,Barack Obama,50
0001 1,President,,D,Write-ins,22
0002 2,President,,D,Write-ins,2
0003 3,President,,D,Write-ins,7
0004 4,President,,D,Write-ins,13
0005 5,President,,D,Write-ins,5
0006 6,President,,D,Write-ins,8
0007 7,President,,D,Write-ins,18
0008 8,President,,D,Write-ins,13
0009 9,President,,D,Write-ins,6
0010 10,President,,D,Write-ins,3
0011 11,President,,D,Write-ins,14
0012 12,President,,D,Write-ins,2
0013 13,President,,D,Write-ins,35
0014 14,President,,D,Write-ins,1
0015 15,President,,D,Write-ins,10
0016 16,President,,D,Write-ins,1
0017 17,President,,D,Write-ins,2
0018 18,President,,D,Write-ins,13
0019 19,President,,D,Write-ins,2
0020 20,President,,D,Write-ins,12
0021 21,President,,D,Write-ins,26
0022 22,President,,D,Write-ins,3
0023 23,President,,D,Write-ins,39
0024 24,President,,D,Write-ins,7
0025 25,President,,D,Write-ins,9
0026 26,President,,D,Write-ins,11
0027 27,President,,D,Write-ins,35
0028 28,President,,D,Write-ins,7
0029 29,President,,D,Write-ins,13
0030 30,President,,D,Write-ins,13
0031 31,President,,D,Write-ins,8
0032 32,President,,D,Write-ins,2
0033 33,President,,D,Write-ins,1
0034 34,President,,D,Write-ins,16
0035 35,President,,D,Write-ins,3
0036 36,President,,D,Write-ins,6
0037 37,President,,D,Write-ins,11
0038 38,President,,D,Write-ins,10
0039 39,President,,D,Write-ins,0
0040 40,President,,D,Write-ins,5
0041 41,President,,D,Write-ins,7
0042 42,President,,D,Write-ins,4
0043 43,President,,D,Write-ins,4
0001 1,U.S. House,2,D,John Sweeney,38
0002 2,U.S. House,2,D,John Sweeney,3
0003 3,U.S. House,2,D,John Sweeney,23
0004 4,U.S. House,2,D,John Sweeney,20
0005 5,U.S. House,2,D,John Sweeney,11
0006 6,U.S. House,2,D,John Sweeney,11
0007 7,U.S. House,2,D,John Sweeney,39
0008 8,U.S. House,2,D,John Sweeney,19
0009 9,U.S. House,2,D,John Sweeney,9
0010 10,U.S. House,2,D,John Sweeney,11
0011 11,U.S. House,2,D,John Sweeney,30
0012 12,U.S. House,2,D,John Sweeney,11
0013 13,U.S. House,2,D,John Sweeney,26
0014 14,U.S. House,2,D,John Sweeney,8
0015 15,U.S. House,2,D,John Sweeney,12
0016 16,U.S. House,2,D,John Sweeney,3
0017 17,U.S. House,2,D,John Sweeney,10
0018 18,U.S. House,2,D,John Sweeney,30
0019 19,U.S. House,2,D,John Sweeney,8
0020 20,U.S. House,2,D,John Sweeney,24
0021 21,U.S. House,2,D,John Sweeney,62
0022 22,U.S. House,2,D,John Sweeney,5
0023 23,U.S. House,2,D,John Sweeney,67
0024 24,U.S. House,2,D,John Sweeney,9
0025 25,U.S. House,2,D,John Sweeney,31
0026 26,U.S. House,2,D,John Sweeney,25
0027 27,U.S. House,2,D,John Sweeney,35
0028 28,U.S. House,2,D,John Sweeney,16
0029 29,U.S. House,2,D,John Sweeney,21
0030 30,U.S. House,2,D,John Sweeney,27
0031 31,U.S. House,2,D,John Sweeney,22
0032 32,U.S. House,2,D,John Sweeney,1
0033 33,U.S. House,2,D,John Sweeney,1
0034 34,U.S. House,2,D,John Sweeney,18
0035 35,U.S. House,2,D,John Sweeney,5
0036 36,U.S. House,2,D,John Sweeney,28
0037 37,U.S. House,2,D,John Sweeney,17
0038 38,U.S. House,2,D,John Sweeney,11
0039 39,U.S. House,2,D,John Sweeney,5
0040 40,U.S. House,2,D,John Sweeney,20
0041 41,U.S. House,2,D,John Sweeney,19
0042 42,U.S. House,2,D,John Sweeney,12
0043 43,U.S. House,2,D,John Sweeney,8
0001 1,U.S. House,2,D,Joyce B. Segers,100
0002 2,U.S. House,2,D,Joyce B. Segers,7
0003 3,U.S. House,2,D,Joyce B. Segers,89
0004 4,U.S. House,2,D,Joyce B. Segers,60
0005 5,U.S. House,2,D,Joyce B. Segers,19
0006 6,U.S. House,2,D,Joyce B. Segers,28
0007 7,U.S. House,2,D,Joyce B. Segers,93
0008 8,U.S. House,2,D,Joyce B. Segers,31
0009 9,U.S. House,2,D,Joyce B. Segers,27
0010 10,U.S. House,2,D,Joyce B. Segers,47
0011 11,U.S. House,2,D,Joyce B. Segers,65
0012 12,U.S. House,2,D,Joyce B. Segers,43
0013 13,U.S. House,2,D,Joyce B. Segers,78
0014 14,U.S. House,2,D,Joyce B. Segers,8
0015 15,U.S. House,2,D,Joyce B. Segers,19
0016 16,U.S. House,2,D,Joyce B. Segers,9
0017 17,U.S. House,2,D,Joyce B. Segers,11
0018 18,U.S. House,2,D,Joyce B. Segers,49
0019 19,U.S. House,2,D,Joyce B. Segers,8
0020 20,U.S. House,2,D,Joyce B. Segers,52
0021 21,U.S. House,2,D,Joyce B. Segers,148
0022 22,U.S. House,2,D,Joyce B. Segers,29
0023 23,U.S. House,2,D,Joyce B. Segers,109
0024 24,U.S. House,2,D,Joyce B. Segers,36
0025 25,U.S. House,2,D,Joyce B. Segers,56
0026 26,U.S. House,2,D,Joyce B. Segers,74
0027 27,U.S. House,2,D,Joyce B. Segers,110
0028 28,U.S. House,2,D,Joyce B. Segers,20
0029 29,U.S. House,2,D,Joyce B. Segers,62
0030 30,U.S. House,2,D,Joyce B. Segers,76
0031 31,U.S. House,2,D,Joyce B. Segers,89
0032 32,U.S. House,2,D,Joyce B. Segers,22
0033 33,U.S. House,2,D,Joyce B. Segers,16
0034 34,U.S. House,2,D,Joyce B. Segers,55
0035 35,U.S. House,2,D,Joyce B. Segers,10
0036 36,U.S. House,2,D,Joyce B. Segers,42
0037 37,U.S. House,2,D,Joyce B. Segers,92
0038 38,U.S. House,2,D,Joyce B. Segers,27
0039 39,U.S. House,2,D,Joyce B. Segers,11
0040 40,U.S. House,2,D,Joyce B. Segers,36
0041 41,U.S. House,2,D,Joyce B. Segers,57
0042 42,U.S. House,2,D,Joyce B. Segers,20
0043 43,U.S. House,2,D,Joyce B. Segers,34
0001 1,U.S. House,2,D,Write-ins,0
0002 2,U.S. House,2,D,Write-ins,0
0003 3,U.S. House,2,D,Write-ins,5
0004 4,U.S. House,2,D,Write-ins,5
0005 5,U.S. House,2,D,Write-ins,0
0006 6,U.S. House,2,D,Write-ins,2
0007 7,U.S. House,2,D,Write-ins,5
0008 8,U.S. House,2,D,Write-ins,0
0009 9,U.S. House,2,D,Write-ins,1
0010 10,U.S. House,2,D,Write-ins,1
0011 11,U.S. House,2,D,Write-ins,4
0012 12,U.S. House,2,D,Write-ins,1
0013 13,U.S. House,2,D,Write-ins,10
0014 14,U.S. House,2,D,Write-ins,0
0015 15,U.S. House,2,D,Write-ins,4
0016 16,U.S. House,2,D,Write-ins,0
0017 17,U.S. House,2,D,Write-ins,2
0018 18,U.S. House,2,D,Write-ins,3
0019 19,U.S. House,2,D,Write-ins,0
0020 20,U.S. House,2,D,Write-ins,1
0021 21,U.S. House,2,D,Write-ins,3
0022 22,U.S. House,2,D,Write-ins,2
0023 23,U.S. House,2,D,Write-ins,7
0024 24,U.S. House,2,D,Write-ins,2
0025 25,U.S. House,2,D,Write-ins,3
0026 26,U.S. House,2,D,Write-ins,1
0027 27,U.S. House,2,D,Write-ins,11
0028 28,U.S. House,2,D,Write-ins,2
0029 29,U.S. House,2,D,Write-ins,1
0030 30,U.S. House,2,D,Write-ins,3
0031 31,U.S. House,2,D,Write-ins,3
0032 32,U.S. House,2,D,Write-ins,0
0033 33,U.S. House,2,D,Write-ins,1
0034 34,U.S. House,2,D,Write-ins,1
0035 35,U.S. House,2,D,Write-ins,1
0036 36,U.S. House,2,D,Write-ins,0
0037 37,U.S. House,2,D,Write-ins,0
0038 38,U.S. House,2,D,Write-ins,2
0039 39,U.S. House,2,D,Write-ins,0
0040 40,U.S. House,2,D,Write-ins,0
0041 41,U.S. House,2,D,Write-ins,2
0042 42,U.S. House,2,D,Write-ins,0
0043 43,U.S. House,2,D,Write-ins,0
0001 1,Secretary of State,,D,Kate Brown,109
0002 2,Secretary of State,,D,Kate Brown,9
0003 3,Secretary of State,,D,Kate Brown,106
0004 4,Secretary of State,,D,Kate Brown,73
0005 5,Secretary of State,,D,Kate Brown,29
0006 6,Secretary of State,,D,Kate Brown,25
0007 7,Secretary of State,,D,Kate Brown,117
0008 8,Secretary of State,,D,Kate Brown,34
0009 9,Secretary of State,,D,Kate Brown,33
0010 10,Secretary of State,,D,Kate Brown,68
0011 11,Secretary of State,,D,Kate Brown,81
0012 12,Secretary of State,,D,Kate Brown,57
0013 13,Secretary of State,,D,Kate Brown,97
0014 14,Secretary of State,,D,Kate Brown,12
0015 15,Secretary of State,,D,Kate Brown,34
0016 16,Secretary of State,,D,Kate Brown,10
0017 17,Secretary of State,,D,Kate Brown,18
0018 18,Secretary of State,,D,Kate Brown,72
0019 19,Secretary of State,,D,Kate Brown,19
0020 20,Secretary of State,,D,Kate Brown,62
0021 21,Secretary of State,,D,Kate Brown,204
0022 22,Secretary of State,,D,Kate Brown,27
0023 23,Secretary of State,,D,Kate Brown,151
0024 24,Secretary of State,,D,Kate Brown,38
0025 25,Secretary of State,,D,Kate Brown,76
0026 26,Secretary of State,,D,Kate Brown,91
