county,office,district,party,candidate,precinct,votes
Sherman,Attorney General,,D,Write-ins,Kent #5,0
Sherman,Attorney General,,D,Over Votes,Rufus #1,0
Sherman,Attorney General,,D,Over Votes,Wasco #2,0
Sherman,Attorney General,,D,Over Votes,Moro #3,0
Sherman,Attorney General,,D,Over Votes,Grass Valley #4,0
Sherman,Attorney General,,D,Over Votes,Kent #5,0
Sherman,Attorney General,,D,Under Votes,Rufus #1,3
Sherman,Attorney General,,D,Under Votes,Wasco #2,11
Sherman,Attorney General,,D,Under Votes,Moro #3,9
Sherman,Attorney General,,D,Under Votes,Grass Valley #4,5
Sherman,Attorney General,,D,Under Votes,Kent #5,0
Sherman,State Senate,29,D,Justin Brown,Rufus #1,1
Sherman,State Senate,29,D,Justin Brown,Wasco #2,0
Sherman,State Senate,29,D,Justin Brown,Moro #3,0
Sherman,State Senate,29,D,Justin Brown,Grass Valley #4,0
Sherman,State Senate,29,D,Justin Brown,Kent #5,0
Sherman,State Senate,29,D,Bill Hansell,Rufus #1,0
Sherman,State Senate,29,D,Bill Hansell,Wasco #2,2
Sherman,State Senate,29,D,Bill Hansell,Moro #3,0
Sherman,State Senate,29,D,Bill Hansell,Grass Valley #4,1
Sherman,State Senate,29,D,Bill Hansell,Kent #5,0
Sherman,State Senate,29,D,Maryl G. Featherstone,Rufus #1,0
Sherman,State Senate,29,D,Maryl G. Featherstone,Wasco #2,2
Sherman,State Senate,29,D,Maryl G. Featherstone,Moro #3,2
Sherman,State Senate,29,D,Maryl G. Featherstone,Grass Valley #4,1
Sherman,State Senate,29,D,Maryl G. Featherstone,Kent #5,0
Sherman,State Senate,29,D,Phillip McCullough,Rufus #1,0
Sherman,State Senate,29,D,Phillip McCullough,Wasco #2,0
Sherman,State Senate,29,D,Phillip McCullough,Moro #3,1
Sherman,State Senate,29,D,Phillip McCullough,Grass Valley #4,0
Sherman,State Senate,29,D,Phillip McCullough,Kent #5,0
Sherman,State Senate,29,D,Write-ins,Rufus #1,0
Sherman,State Senate,29,D,Write-ins,Wasco #2,1
Sherman,State Senate,29,D,Write-ins,Moro #3,2
Sherman,State Senate,29,D,Write-ins,Grass Valley #4,0
Sherman,State Senate,29,D,Write-ins,Kent #5,0
Sherman,State Senate,29,D,Over Votes,Rufus #1,0
Sherman,State Senate,29,D,Over Votes,Wasco #2,0
Sherman,State Senate,29,D,Over Votes,Moro #3,0
Sherman,State Senate,29,D,Over Votes,Grass Valley #4,0
Sherman,State Senate,29,D,Over Votes,Kent #5,0
Sherman,State Senate,29,D,Under Votes,Rufus #1,26
Sherman,State Senate,29,D,Under Votes,Wasco #2,57
Sherman,State Senate,29,D,Under Votes,Moro #3,40
Sherman,State Senate,29,D,Under Votes,Grass Valley #4,25
Sherman,State Senate,29,D,Under Votes,Kent #5,4
Sherman,State House,57,D,Greg Smith,Rufus #1,0
Sherman,State House,57,D,Greg Smith,Wasco #2,2
Sherman,State House,57,D,Greg Smith,Moro #3,2
Sherman,State House,57,D,Greg Smith,Grass Valley #4,2
Sherman,State House,57,D,Greg Smith,Kent #5,0
Sherman,State House,57,D,Phillip McCullough,Rufus #1,0
Sherman,State House,57,D,Phillip McCullough,Wasco #2,0
Sherman,State House,57,D,Phillip McCullough,Moro #3,1
