precinct,office,district,party,candidate,votes
301,President,,D,Barack Obama,202
302,President,,D,Barack Obama,240
303,President,,D,Barack Obama,95
304,President,,D,Barack Obama,282
305,President,,D,Barack Obama,88
306,President,,D,Barack Obama,93
307,President,,D,Barack Obama,223
308,President,,D,Barack Obama,19
309,President,,D,Barack Obama,546
310,President,,D,Barack Obama,189
311,President,,D,Barack Obama,40
312,President,,D,Barack Obama,94
313,President,,D,Barack Obama,4
314,President,,D,Barack Obama,20
315,President,,D,Barack Obama,117
316,President,,D,Barack Obama,88
317,President,,D,Barack Obama,88
318,President,,D,Barack Obama,285
319,President,,D,Barack Obama,103
320,President,,D,Barack Obama,264
321,President,,D,Barack Obama,25
322,President,,D,Barack Obama,27
323,President,,D,Barack Obama,227
324,President,,D,Barack Obama,56
325,President,,D,Barack Obama,0
326,President,,D,Barack Obama,179
327,President,,D,Barack Obama,285
328,President,,D,Barack Obama,136
329,President,,D,Barack Obama,353
330,President,,D,Barack Obama,109
331,President,,D,Barack Obama,176
332,President,,D,Barack Obama,309
333,President,,D,Barack Obama,302
334,President,,D,Barack Obama,21
335,President,,D,Barack Obama,456
336,President,,D,Barack Obama,421
337,President,,D,Barack Obama,517
338,President,,D,Barack Obama,491
339,President,,D,Barack Obama,256
340,President,,D,Barack Obama,447
341,President,,D,Barack Obama,32
342,President,,D,Barack Obama,11
343,President,,D,Barack Obama,488
344,President,,D,Barack Obama,616
345,President,,D,Barack Obama,3
346,President,,D,Barack Obama,42
347,President,,D,Barack Obama,10
348,President,,D,Barack Obama,5
349,President,,D,Barack Obama,216
350,President,,D,Barack Obama,440
351,President,,D,Barack Obama,194
352,President,,D,Barack Obama,83
353,President,,D,Barack Obama,276
354,President,,D,Barack Obama,622
355,President,,D,Barack Obama,411
356,President,,D,Barack Obama,173
357,President,,D,Barack Obama,168
358,President,,D,Barack Obama,206
359,President,,D,Barack Obama,193
360,President,,D,Barack Obama,288
361,President,,D,Barack Obama,156
362,President,,D,Barack Obama,582
363,President,,D,Barack Obama,427
364,President,,D,Barack Obama,566
365,President,,D,Barack Obama,441
366,President,,D,Barack Obama,247
367,President,,D,Barack Obama,342
368,President,,D,Barack Obama,380
369,President,,D,Barack Obama,233
370,President,,D,Barack Obama,248
371,President,,D,Barack Obama,303
372,President,,D,Barack Obama,318
373,President,,D,Barack Obama,40
374,President,,D,Barack Obama,0
375,President,,D,Barack Obama,48
376,President,,D,Barack Obama,244
377,President,,D,Barack Obama,268
378,President,,D,Barack Obama,272
379,President,,D,Barack Obama,469
380,President,,D,Barack Obama,380
381,President,,D,Barack Obama,96
382,President,,D,Barack Obama,403
383,President,,D,Barack Obama,279
384,President,,D,Barack Obama,486
385,President,,D,Barack Obama,483
386,President,,D,Barack Obama,585
387,President,,D,Barack Obama,76
388,President,,D,Barack Obama,47
389,President,,D,Barack Obama,267
390,President,,D,Barack Obama,523
391,President,,D,Barack Obama,38
392,President,,D,Barack Obama,27
393,President,,D,Barack Obama,132
394,President,,D,Barack Obama,17
395,President,,D,Barack Obama,243
396,President,,D,Barack Obama,110
397,President,,D,Barack Obama,243
398,President,,D,Barack Obama,58
399,President,,D,Barack Obama,342
400,President,,D,Barack Obama,363
401,President,,D,Barack Obama,372
402,President,,D,Barack Obama,118
403,President,,D,Barack Obama,401
404,President,,D,Barack Obama,338
405,President,,D,Barack Obama,633
406,President,,D,Barack Obama,374
407,President,,D,Barack Obama,318
408,President,,D,Barack Obama,729
409,President,,D,Barack Obama,293
410,President,,D,Barack Obama,255
411,President,,D,Barack Obama,219
412,President,,D,Barack Obama,206
413,President,,D,Barack Obama,59
414,President,,D,Barack Obama,68
415,President,,D,Barack Obama,118
416,President,,D,Barack Obama,190
417,President,,D,Barack Obama,184
418,President,,D,Barack Obama,207
419,President,,D,Barack Obama,416
420,President,,D,Barack Obama,384
421,President,,D,Barack Obama,17
422,President,,D,Barack Obama,23
423,President,,D,Barack Obama,322
424,President,,D,Barack Obama,354
425,President,,D,Barack Obama,84
426,President,,D,Barack Obama,25
427,President,,D,Barack Obama,2
428,President,,D,Barack Obama,125
429,President,,D,Barack Obama,191
430,President,,D,Barack Obama,200
431,President,,D,Barack Obama,144
432,President,,D,Barack Obama,24
433,President,,D,Barack Obama,258
434,President,,D,Barack Obama,365
435,President,,D,Barack Obama,345
436,President,,D,Barack Obama,200
437,President,,D,Barack Obama,10
438,President,,D,Barack Obama,22
439,President,,D,Barack Obama,17
440,President,,D,Barack Obama,96
441,President,,D,Barack Obama,15
442,President,,D,Barack Obama,58
443,President,,D,Barack Obama,4
444,President,,D,Barack Obama,112
445,President,,D,Barack Obama,45
446,President,,D,Barack Obama,602
447,President,,D,Barack Obama,254
448,President,,D,Barack Obama,30
449,President,,D,Barack Obama,16
451,President,,D,Barack Obama,56
452,President,,D,Barack Obama,144
453,President,,D,Barack Obama,1
454,President,,D,Barack Obama,35
457,President,,D,Barack Obama,152
458,President,,D,Barack Obama,462
459,President,,D,Barack Obama,488
460,President,,D,Barack Obama,166
461,President,,D,Barack Obama,284
301,President,,D,Write In,16
302,President,,D,Write In,6
303,President,,D,Write In,3
304,President,,D,Write In,8
305,President,,D,Write In,1
306,President,,D,Write In,3
307,President,,D,Write In,9
308,President,,D,Write In,0
309,President,,D,Write In,17
310,President,,D,Write In,7
311,President,,D,Write In,5
312,President,,D,Write In,8
313,President,,D,Write In,0
314,President,,D,Write In,1
315,President,,D,Write In,1
316,President,,D,Write In,7
317,President,,D,Write In,14
318,President,,D,Write In,14
319,President,,D,Write In,3
320,President,,D,Write In,11
321,President,,D,Write In,1
322,President,,D,Write In,0
323,President,,D,Write In,6
324,President,,D,Write In,0
325,President,,D,Write In,0
326,President,,D,Write In,12
327,President,,D,Write In,12
328,President,,D,Write In,9
329,President,,D,Write In,18
330,President,,D,Write In,12
331,President,,D,Write In,0
332,President,,D,Write In,10
333,President,,D,Write In,15
334,President,,D,Write In,3
335,President,,D,Write In,15
336,President,,D,Write In,7
337,President,,D,Write In,22
338,President,,D,Write In,30
339,President,,D,Write In,18
340,President,,D,Write In,16
341,President,,D,Write In,2
342,President,,D,Write In,1
343,President,,D,Write In,20
344,President,,D,Write In,30
345,President,,D,Write In,0
346,President,,D,Write In,2
347,President,,D,Write In,0
348,President,,D,Write In,0
349,President,,D,Write In,10
350,President,,D,Write In,18
351,President,,D,Write In,8
352,President,,D,Write In,3
353,President,,D,Write In,3
354,President,,D,Write In,16
355,President,,D,Write In,14
356,President,,D,Write In,2
357,President,,D,Write In,9
358,President,,D,Write In,3
359,President,,D,Write In,8
360,President,,D,Write In,10
361,President,,D,Write In,2
362,President,,D,Write In,14
363,President,,D,Write In,8
