county,precinct,office,district,party,candidate,votes,,,,,,,
Linn,1,President,,DEM,Barack Obama,310,,,,,,,
Linn,3,President,,DEM,Barack Obama,315,,,,,,,
Linn,5,President,,DEM,Barack Obama,301,,,,,,,
Linn,8,President,,DEM,Barack Obama,347,,,,,,,
Linn,11,President,,DEM,Barack Obama,246,,,,,,,
Linn,14,President,,DEM,Barack Obama,286,,,,,,,
Linn,15,President,,DEM,Barack Obama,89,,,,,,,
Linn,16,President,,DEM,Barack Obama,309,,,,,,,
Linn,18,President,,DEM,Barack Obama,789,,,,,,,
Linn,19,President,,DEM,Barack Obama,284,,,,,,,
Linn,20,President,,DEM,Barack Obama,163,,,,,,,
Linn,21,President,,DEM,Barack Obama,93,,,,,,,
Linn,22,President,,DEM,Barack Obama,26,,,,,,,
Linn,23,President,,DEM,Barack Obama,215,,,,,,,
Linn,25,President,,DEM,Barack Obama,224,,,,,,,
Linn,26,President,,DEM,Barack Obama,69,,,,,,,
Linn,27,President,,DEM,Barack Obama,151,,,,,,,
Linn,28,President,,DEM,Barack Obama,43,,,,,,,
Linn,29,President,,DEM,Barack Obama,496,,,,,,,
Linn,30,President,,DEM,Barack Obama,40,,,,,,,
Linn,31,President,,DEM,Barack Obama,126,,,,,,,
Linn,32,President,,DEM,Barack Obama,178,,,,,,,
Linn,33,President,,DEM,Barack Obama,15,,,,,,,
Linn,34,President,,DEM,Barack Obama,92,,,,,,,
Linn,35,President,,DEM,Barack Obama,397,,,,,,,
Linn,36,President,,DEM,Barack Obama,312,,,,,,,
Linn,37,President,,DEM,Barack Obama,316,,,,,,,
Linn,38,President,,DEM,Barack Obama,267,,,,,,,
Linn,39,President,,DEM,Barack Obama,235,,,,,,,
Linn,41,President,,DEM,Barack Obama,169,,,,,,,
Linn,42,President,,DEM,Barack Obama,189,,,,,,,
Linn,43,President,,DEM,Barack Obama,209,,,,,,,
Linn,44,President,,DEM,Barack Obama,392,,,,,,,
Linn,45,President,,DEM,Barack Obama,188,,,,,,,
Linn,46,President,,DEM,Barack Obama,271,,,,,,,
Linn,47,President,,DEM,Barack Obama,104,,,,,,,
Linn,48,President,,DEM,Barack Obama,368,,,,,,,
Linn,49,President,,DEM,Barack Obama,6,,,,,,,
Linn,50,President,,DEM,Barack Obama,127,,,,,,,
Linn,51,President,,DEM,Barack Obama,37,,,,,,,
Linn,52,President,,DEM,Barack Obama,121,,,,,,,
Linn,53,President,,DEM,Barack Obama,183,,,,,,,
Linn,54,President,,DEM,Barack Obama,106,,,,,,,
Linn,55,President,,DEM,Barack Obama,147,,,,,,,
Linn,56,President,,DEM,Barack Obama,206,,,,,,,
Linn,57,President,,DEM,Barack Obama,13,,,,,,,
Linn,58,President,,DEM,Barack Obama,18,,,,,,,
Linn,59,President,,DEM,Barack Obama,126,,,,,,,
Linn,60,President,,DEM,Barack Obama,215,,,,,,,
Linn,61,President,,DEM,Barack Obama,88,,,,,,,
Linn,62,President,,DEM,Barack Obama,266,,,,,,,
Linn,63,President,,DEM,Barack Obama,377,,,,,,,
Linn,65,President,,DEM,Barack Obama,10,,,,,,,
Linn,66,President,,DEM,Barack Obama,82,,,,,,,
Linn,67,President,,DEM,Barack Obama,141,,,,,,,
Linn,68,President,,DEM,Barack Obama,48,,,,,,,
Linn,70,President,,DEM,Barack Obama,159,,,,,,,
Linn,71,President,,DEM,Barack Obama,35,,,,,,,
Linn,73,President,,DEM,Barack Obama,283,,,,,,,
Linn,74,President,,DEM,Barack Obama,242,,,,,,,
Linn,75,President,,DEM,Barack Obama,243,,,,,,,
Linn,76,President,,DEM,Barack Obama,271,,,,,,,
Linn,77,President,,DEM,Barack Obama,135,,,,,,,
Linn,78,President,,DEM,Barack Obama,227,,,,,,,
Linn,79,President,,DEM,Barack Obama,419,,,,,,,
Linn,80,President,,DEM,Barack Obama,297,,,,,,,
Linn,82,President,,DEM,Barack Obama,122,,,,,,,
Linn,83,President,,DEM,Barack Obama,8,,,,,,,
Linn,84,President,,DEM,Barack Obama,374,,,,,,,
Linn,86,President,,DEM,Barack Obama,330,,,,,,,
Linn,87,President,,DEM,Barack Obama,113,,,,,,,
Linn,88,President,,DEM,Barack Obama,287,,,,,,,
Linn,89,President,,DEM,Barack Obama,224,,,,,,,
Linn,91,President,,DEM,Barack Obama,377,,,,,,,
Linn,92,President,,DEM,Barack Obama,583,,,,,,,
Linn,93,President,,DEM,Barack Obama,596,,,,,,,
Linn,94,President,,DEM,Barack Obama,221,,,,,,,
Linn,95,President,,DEM,Barack Obama,356,,,,,,,
Linn,96,President,,DEM,Barack Obama,354,,,,,,,
Linn,97,President,,DEM,Barack Obama,239,,,,,,,
Linn,99,President,,DEM,Barack Obama,98,,,,,,,
Linn,100,President,,DEM,Barack Obama,475,,,,,,,
Linn,101,President,,DEM,Barack Obama,119,,,,,,,
Linn,102,President,,DEM,Barack Obama,471,,,,,,,
Linn,103,President,,DEM,Barack Obama,118,,,,,,,
Linn,104,President,,DEM,Barack Obama,189,,,,,,,
Linn,105,President,,DEM,Barack Obama,234,,,,,,,
Linn,106,President,,DEM,Barack Obama,261,,,,,,,
Linn,107,President,,DEM,Barack Obama,418,,,,,,,
Linn,108,President,,DEM,Barack Obama,559,,,,,,,
Linn,1,President,,PGP,Jill Stein,10,,,,,,,
Linn,3,President,,PGP,Jill Stein,5,,,,,,,
Linn,5,President,,PGP,Jill Stein,15,,,,,,,
Linn,8,President,,PGP,Jill Stein,13,,,,,,,
Linn,11,President,,PGP,Jill Stein,7,,,,,,,
Linn,14,President,,PGP,Jill Stein,10,,,,,,,
Linn,15,President,,PGP,Jill Stein,1,,,,,,,
Linn,16,President,,PGP,Jill Stein,10,,,,,,,
Linn,18,President,,PGP,Jill Stein,25,,,,,,,
Linn,19,President,,PGP,Jill Stein,11,,,,,,,
Linn,20,President,,PGP,Jill Stein,11,,,,,,,
Linn,21,President,,PGP,Jill Stein,3,,,,,,,
Linn,22,President,,PGP,Jill Stein,0,,,,,,,
Linn,23,President,,PGP,Jill Stein,5,,,,,,,
