county,precinct,office,district,candidate,party,votes,election_day,mail,absentee,military,provisional,emergency
Gilliam,Prec #1,U.S. Senate,,Jim Huffman,REP,186,,,,,,
Gilliam,Prec #1,U.S. Senate,,Rick Staggenborg,PRO,1,,,,,,
Gilliam,Prec #1,U.S. Senate,,Ron Wyden,DEM,185,,,,,,
Gilliam,Prec #1,U.S. Senate,,Marc Delphine,LBT,2,,,,,,
Gilliam,Prec #1,U.S. Senate,,Bruce Cronk,WFP,11,,,,,,
Gilliam,Prec #1,U.S. Senate,,Write-ins,,2,,,,,,
Gilliam,Prec #1,U.S. Senate,,Total,,387,,,,,,
Gilliam,Prec #1,U.S. Senate,,Over Votes,,0,,,,,,
Gilliam,Prec #1,U.S. Senate,,Under Votes,,8,,,,,,
Gilliam,Prec #1,U.S. House,2,Joyce B Segers,DEM,78,,,,,,
Gilliam,Prec #1,U.S. House,2,Greg Walden,REP,299,,,,,,
Gilliam,Prec #1,U.S. House,2,Write-ins,,4,,,,,,
Gilliam,Prec #1,U.S. House,2,Total,,381,,,,,,
Gilliam,Prec #1,U.S. House,2,Over Votes,,1,,,,,,
Gilliam,Prec #1,U.S. House,2,Under Votes,,13,,,,,,
Gilliam,Prec #1,Governor,,John Kitzhaber,DEM,127,,,,,,
Gilliam,Prec #1,Governor,,Greg Kord,CON,14,,,,,,
Gilliam,Prec #1,Governor,,Wes Wagner,LBT,3,,,,,,
Gilliam,Prec #1,Governor,,Chris Dudley,REP,243,,,,,,
Gilliam,Prec #1,Governor,,Write-ins,,2,,,,,,
Gilliam,Prec #1,Governor,,Total,,389,,,,,,
Gilliam,Prec #1,Governor,,Over Votes,,0,,,,,,
Gilliam,Prec #1,Governor,,Under Votes,,6,,,,,,
Gilliam,Prec #6,U.S. Senate,,Jim Huffman,REP,118,,,,,,
Gilliam,Prec #6,U.S. Senate,,Rick Staggenborg,PRO,1,,,,,,
Gilliam,Prec #6,U.S. Senate,,Ron Wyden,DEM,128,,,,,,
Gilliam,Prec #6,U.S. Senate,,Marc Delphine,LBT,1,,,,,,
Gilliam,Prec #6,U.S. Senate,,Bruce Cronk,WFP,1,,,,,,
Gilliam,Prec #6,U.S. Senate,,Write-ins,,0,,,,,,
Gilliam,Prec #6,U.S. Senate,,Total,,249,,,,,,
Gilliam,Prec #6,U.S. Senate,,Over Votes,,1,,,,,,
Gilliam,Prec #6,U.S. Senate,,Under Votes,,8,,,,,,
Gilliam,Prec #6,U.S. House,2,Joyce B Segers,DEM,29,,,,,,
Gilliam,Prec #6,U.S. House,2,Greg Walden,REP,218,,,,,,
Gilliam,Prec #6,U.S. House,2,Write-ins,,0,,,,,,
Gilliam,Prec #6,U.S. House,2,Total,,247,,,,,,
Gilliam,Prec #6,U.S. House,2,Over Votes,,1,,,,,,
Gilliam,Prec #6,U.S. House,2,Under Votes,,10,,,,,,
Gilliam,Prec #6,Governor,,John Kitzhaber,DEM,70,,,,,,
Gilliam,Prec #6,Governor,,Greg Kord,CON,3,,,,,,
Gilliam,Prec #6,Governor,,Wes Wagner,LBT,2,,,,,,
Gilliam,Prec #6,Governor,,Chris Dudley,REP,178,,,,,,
Gilliam,Prec #6,Governor,,Write-ins,,0,,,,,,
Gilliam,Prec #6,Governor,,Total,,253,,,,,,
Gilliam,Prec #6,Governor,,Over Votes,,1,,,,,,
Gilliam,Prec #6,Governor,,Under Votes,,4,,,,,,
Gilliam,Prec #7,U.S. Senate,,Jim Huffman,REP,121,,,,,,
Gilliam,Prec #7,U.S. Senate,,Rick Staggenborg,PRO,1,,,,,,
Gilliam,Prec #7,U.S. Senate,,Ron Wyden,DEM,191,,,,,,
Gilliam,Prec #7,U.S. Senate,,Marc Delphine,LBT,1,,,,,,
Gilliam,Prec #7,U.S. Senate,,Bruce Cronk,WFP,7,,,,,,
Gilliam,Prec #7,U.S. Senate,,Write-ins,,0,,,,,,
Gilliam,Prec #7,U.S. Senate,,Total,,321,,,,,,
Gilliam,Prec #7,U.S. Senate,,Over Votes,,0,,,,,,
Gilliam,Prec #7,U.S. Senate,,Under Votes,,8,,,,,,
Gilliam,Prec #7,U.S. House,2,Joyce B Segers,DEM,53,,,,,,
Gilliam,Prec #7,U.S. House,2,Greg Walden,REP,261,,,,,,
Gilliam,Prec #7,U.S. House,2,Write-ins,,0,,,,,,
Gilliam,Prec #7,U.S. House,2,Total,,314,,,,,,
Gilliam,Prec #7,U.S. House,2,Over Votes,,0,,,,,,
Gilliam,Prec #7,U.S. House,2,Under Votes,,15,,,,,,
Gilliam,Prec #7,Governor,,John Kitzhaber,DEM,111,,,,,,
Gilliam,Prec #7,Governor,,Greg Kord,CON,8,,,,,,
Gilliam,Prec #7,Governor,,Wes Wagner,LBT,2,,,,,,
Gilliam,Prec #7,Governor,,Chris Dudley,REP,199,,,,,,
Gilliam,Prec #7,Governor,,Write-ins,,0,,,,,,
Gilliam,Prec #7,Governor,,Total,,320,,,,,,
Gilliam,Prec #7,Governor,,Over Votes,,0,,,,,,
Gilliam,Prec #7,Governor,,Under Votes,,9,,,,,,
Gilliam,Prec #1,State House,59,John E Huffman,REP,256,,,,,,
Gilliam,Prec #1,State House,59,Will Boettner,DEM,107,,,,,,
Gilliam,Prec #1,State House,59,Write-ins,,2,,,,,,
Gilliam,Prec #1,State House,59,Total,,365,,,,,,
Gilliam,Prec #1,State House,59,Over Votes,,0,,,,,,
Gilliam,Prec #1,State House,59,Under Votes,,30,,,,,,
Gilliam,Prec #6,State House,59,John E Huffman,REP,179,,,,,,
Gilliam,Prec #6,State House,59,Will Boettner,DEM,65,,,,,,
Gilliam,Prec #6,State House,59,Write-ins,,0,,,,,,
Gilliam,Prec #6,State House,59,Total,,244,,,,,,
Gilliam,Prec #6,State House,59,Over Votes,,0,,,,,,
Gilliam,Prec #6,State House,59,Under Votes,,14,,,,,,
Gilliam,Prec #7,State House,59,John E Huffman,REP,195,,,,,,
Gilliam,Prec #7,State House,59,Will Boettner,DEM,108,,,,,,
Gilliam,Prec #7,State House,59,Write-ins,,0,,,,,,
Gilliam,Prec #7,State House,59,Total,,303,,,,,,
Gilliam,Prec #7,State House,59,Over Votes,,0,,,,,,
Gilliam,Prec #7,State House,59,Under Votes,,26,,,,,,
Union,Prec 01 - City of La Grande,U.S. House,2,Joyce B Segers,DEM,500,,,,,,
Union,Prec 02 - City of La Grande,U.S. House,2,Joyce B Segers,DEM,297,,,,,,
