county,precinct,office,district,party,candidate,votes,,
Jefferson,No. 1 Haystack,Governor,,DEM,John Kitzhaber,170,,
Jefferson,No. 2 Crooked River Ranch,Governor,,DEM,John Kitzhaber,548,,
Jefferson,No. 5 Ashwood,Governor,,DEM,John Kitzhaber,8,,
Jefferson,No. 6 Kutcher,Governor,,DEM,John Kitzhaber,60,,
Jefferson,No. 8 Lyle Gap,Governor,,DEM,John Kitzhaber,32,,
Jefferson,No. 11 Metolius,Governor,,DEM,John Kitzhaber,62,,
Jefferson,No. 13 East Madras,Governor,,DEM,John Kitzhaber,256,,
Jefferson,No. 14 Warm Springs,Governor,,DEM,John Kitzhaber,149,,
Jefferson,No. 16 Camp Sherman,Governor,,DEM,John Kitzhaber,93,,
Jefferson,No.  17 Culver,Governor,,DEM,John Kitzhaber,83,,
Jefferson,No. 18 Round Butte,Governor,,DEM,John Kitzhaber,78,,
Jefferson,No. 19 West Madras,Governor,,DEM,John Kitzhaber,193,,
Jefferson,No. 20 Circle M,Governor,,DEM,John Kitzhaber,65,,
Jefferson,No. 21 Central,Governor,,DEM,John Kitzhaber,213,,
Jefferson,No. 22 Sunset,Governor,,DEM,John Kitzhaber,122,,
Jefferson,No. 1 Haystack,Governor,,CON,Greg Kord,14,,
Jefferson,No. 2 Crooked River Ranch,Governor,,CON,Greg Kord,34,,
Jefferson,No. 5 Ashwood,Governor,,CON,Greg Kord,0,,
Jefferson,No. 6 Kutcher,Governor,,CON,Greg Kord,2,,
Jefferson,No. 8 Lyle Gap,Governor,,CON,Greg Kord,1,,
Jefferson,No. 11 Metolius,Governor,,CON,Greg Kord,4,,
Jefferson,No. 13 East Madras,Governor,,CON,Greg Kord,13,,
Jefferson,No. 14 Warm Springs,Governor,,CON,Greg Kord,4,,
Jefferson,No. 16 Camp Sherman,Governor,,CON,Greg Kord,1,,
Jefferson,No.  17 Culver,Governor,,CON,Greg Kord,8,,
Jefferson,No. 18 Round Butte,Governor,,CON,Greg Kord,7,,
Jefferson,No. 19 West Madras,Governor,,CON,Greg Kord,5,,
