county,precinct,office,district,party,candidate,votes,percent
Benton,PRECINCT 01,U.S. Senate,,DEM,CRAIG HANSON,26,3.75%
Benton,PRECINCT 01,U.S. Senate,,DEM,GREG HAVEN,14,2.02%
Benton,PRECINCT 01,U.S. Senate,,DEM,BILL BRADBURY,583,84.01%
Benton,PRECINCT 01,U.S. Senate,,DEM,Write-Ins,3,0.43%
Benton,PRECINCT 01,U.S. Senate,,DEM,Total,626,
Benton,PRECINCT 01,U.S. Senate,,DEM,Under-Votes,67,9.65%
Benton,PRECINCT 01,U.S. Senate,,DEM,Over-Votes,1,0.14%
Benton,PRECINCT 01,U.S. Senate,,DEM,Total Votes Cast,694,
Benton,PRECINCT 02,U.S. Senate,,DEM,CRAIG HANSON,6,2.79%
Benton,PRECINCT 02,U.S. Senate,,DEM,GREG HAVEN,2,0.93%
Benton,PRECINCT 02,U.S. Senate,,DEM,BILL BRADBURY,183,85.12%
Benton,PRECINCT 02,U.S. Senate,,DEM,Write-Ins,1,0.47%
Benton,PRECINCT 02,U.S. Senate,,DEM,Total,192,
Benton,PRECINCT 02,U.S. Senate,,DEM,Under-Votes,23,10.70%
Benton,PRECINCT 02,U.S. Senate,,DEM,Over-Votes,0,0.00%
Benton,PRECINCT 02,U.S. Senate,,DEM,Total Votes Cast,215,
Benton,PRECINCT 03,U.S. Senate,,DEM,CRAIG HANSON,24,4.67%
Benton,PRECINCT 03,U.S. Senate,,DEM,GREG HAVEN,15,2.92%
Benton,PRECINCT 03,U.S. Senate,,DEM,BILL BRADBURY,403,78.40%
Benton,PRECINCT 03,U.S. Senate,,DEM,Write-Ins,8,1.56%
Benton,PRECINCT 03,U.S. Senate,,DEM,Total,450,
Benton,PRECINCT 03,U.S. Senate,,DEM,Under-Votes,64,12.45%
Benton,PRECINCT 03,U.S. Senate,,DEM,Over-Votes,0,0.00%
Benton,PRECINCT 03,U.S. Senate,,DEM,Total Votes Cast,514,
Benton,PRECINCT 04,U.S. Senate,,DEM,CRAIG HANSON,12,3.33%
Benton,PRECINCT 04,U.S. Senate,,DEM,GREG HAVEN,2,0.56%
Benton,PRECINCT 04,U.S. Senate,,DEM,BILL BRADBURY,311,86.39%
Benton,PRECINCT 04,U.S. Senate,,DEM,Write-Ins,1,0.28%
Benton,PRECINCT 04,U.S. Senate,,DEM,Total,326,
Benton,PRECINCT 04,U.S. Senate,,DEM,Under-Votes,33,9.17%
Benton,PRECINCT 04,U.S. Senate,,DEM,Over-Votes,1,0.28%
Benton,PRECINCT 04,U.S. Senate,,DEM,Total Votes Cast,360,
Benton,PRECINCT 05,U.S. Senate,,DEM,CRAIG HANSON,15,2.84%
Benton,PRECINCT 05,U.S. Senate,,DEM,GREG HAVEN,8,1.51%
Benton,PRECINCT 05,U.S. Senate,,DEM,BILL BRADBURY,453,85.63%
Benton,PRECINCT 05,U.S. Senate,,DEM,Write-Ins,2,0.38%
Benton,PRECINCT 05,U.S. Senate,,DEM,Total,478,
Benton,PRECINCT 05,U.S. Senate,,DEM,Under-Votes,50,9.45%
Benton,PRECINCT 05,U.S. Senate,,DEM,Over-Votes,1,0.19%
Benton,PRECINCT 05,U.S. Senate,,DEM,Total Votes Cast,529,
Benton,PRECINCT 06,U.S. Senate,,DEM,CRAIG HANSON,23,2.86%
Benton,PRECINCT 06,U.S. Senate,,DEM,GREG HAVEN,10,1.25%
Benton,PRECINCT 06,U.S. Senate,,DEM,BILL BRADBURY,697,86.80%
Benton,PRECINCT 06,U.S. Senate,,DEM,Write-Ins,3,0.37%
Benton,PRECINCT 06,U.S. Senate,,DEM,Total,733,
Benton,PRECINCT 06,U.S. Senate,,DEM,Under-Votes,70,8.72%
Benton,PRECINCT 06,U.S. Senate,,DEM,Over-Votes,0,0.00%
Benton,PRECINCT 06,U.S. Senate,,DEM,Total Votes Cast,803,
Benton,PRECINCT 07,U.S. Senate,,DEM,CRAIG HANSON,15,1.60%
