county,precinct,office,party,district,candidate,votes
Benton,Precinct 01,U.S. Senate,Con,,Lon Mabon,18
Benton,Precinct 01,U.S. Senate,D,,Bill Bradbury,1227
Benton,Precinct 01,U.S. Senate,R,,Gordon H. Smith,1172
Benton,Precinct 01,U.S. Senate,Lib,,Dan Fitzgerald,39
Benton,Precinct 01,U.S. Senate,,,Write-ins,1
Benton,Precinct 01,U.S. Senate,,,Under Votes,53
Benton,Precinct 01,U.S. Senate,,,Over Votes,2
Benton,Precinct 02,U.S. Senate,Con,,Lon Mabon,11
Benton,Precinct 02,U.S. Senate,D,,Bill Bradbury,720
Benton,Precinct 02,U.S. Senate,R,,Gordon H. Smith,309
Benton,Precinct 02,U.S. Senate,Lib,,Dan Fitzgerald,38
Benton,Precinct 02,U.S. Senate,,,Write-ins,3
Benton,Precinct 02,U.S. Senate,,,Under Votes,19
Benton,Precinct 02,U.S. Senate,,,Over Votes,2
Benton,Precinct 03,U.S. Senate,Con,,Lon Mabon,31
Benton,Precinct 03,U.S. Senate,D,,Bill Bradbury,993
Benton,Precinct 03,U.S. Senate,R,,Gordon H. Smith,780
Benton,Precinct 03,U.S. Senate,Lib,,Dan Fitzgerald,67
Benton,Precinct 03,U.S. Senate,,,Write-ins,4
Benton,Precinct 03,U.S. Senate,,,Under Votes,41
Benton,Precinct 03,U.S. Senate,,,Over Votes,4
Benton,Precinct 04,U.S. Senate,Con,,Lon Mabon,4
Benton,Precinct 04,U.S. Senate,D,,Bill Bradbury,541
Benton,Precinct 04,U.S. Senate,R,,Gordon H. Smith,317
Benton,Precinct 04,U.S. Senate,Lib,,Dan Fitzgerald,18
Benton,Precinct 04,U.S. Senate,,,Write-ins,1
Benton,Precinct 04,U.S. Senate,,,Under Votes,16
Benton,Precinct 04,U.S. Senate,,,Over Votes,0
Benton,Precinct 05,U.S. Senate,Con,,Lon Mabon,18
Benton,Precinct 05,U.S. Senate,D,,Bill Bradbury,1271
Benton,Precinct 05,U.S. Senate,R,,Gordon H. Smith,520
Benton,Precinct 05,U.S. Senate,Lib,,Dan Fitzgerald,50
Benton,Precinct 05,U.S. Senate,,,Write-ins,3
Benton,Precinct 05,U.S. Senate,,,Under Votes,32
Benton,Precinct 05,U.S. Senate,,,Over Votes,2
Benton,Precinct 06,U.S. Senate,Con,,Lon Mabon,31
Benton,Precinct 06,U.S. Senate,D,,Bill Bradbury,1184
Benton,Precinct 06,U.S. Senate,R,,Gordon H. Smith,866
Benton,Precinct 06,U.S. Senate,Lib,,Dan Fitzgerald,51
Benton,Precinct 06,U.S. Senate,,,Write-ins,6
