county,precinct,office,party,district,candidate,votes
Washington,301 RURAL NW COUNTY,U.S. Senate,CON,,Lon Mabon,37
Washington,302 KINNAMAN,U.S. Senate,CON,,Lon Mabon,27
Washington,303 WITCH HAZEL,U.S. Senate,CON,,Lon Mabon,5
Washington,304 BUTTERNUT,U.S. Senate,CON,,Lon Mabon,37
Washington,305 BANKS,U.S. Senate,CON,,Lon Mabon,13
Washington,306 TANASBOURNE,U.S. Senate,CON,,Lon Mabon,4
Washington,307 WILLOW CREEK,U.S. Senate,CON,,Lon Mabon,20
Washington,308 BLOOMING FERN HILL,U.S. Senate,CON,,Lon Mabon,2
Washington,309 HAWTHORNE FARMS,U.S. Senate,CON,,Lon Mabon,17
Washington,310 DILLEY,U.S. Senate,CON,,Lon Mabon,21
Washington,311 LAURELWOOD,U.S. Senate,CON,,Lon Mabon,7
Washington,312 HAGG LAKE,U.S. Senate,CON,,Lon Mabon,11
Washington,313 HILLSBORO-UNINCORP,U.S. Senate,CON,,Lon Mabon,4
Washington,314 GLENCOE,U.S. Senate,CON,,Lon Mabon,12
Washington,315 HELVETIA,U.S. Senate,CON,,Lon Mabon,7
Washington,316 PUMPKIN RIDGE,U.S. Senate,CON,,Lon Mabon,18
Washington,317 VERBOORT,U.S. Senate,CON,,Lon Mabon,6
Washington,318 MINTER BRIDGE,U.S. Senate,CON,,Lon Mabon,29
Washington,319 QUATAMA STREET,U.S. Senate,CON,,Lon Mabon,13
Washington,320 HAZELDALE,U.S. Senate,CON,,Lon Mabon,35
Washington,321 GASTON,U.S. Senate,CON,,Lon Mabon,3
Washington,322 JACKTOWN,U.S. Senate,CON,,Lon Mabon,3
Washington,323 INDIAN HILLS,U.S. Senate,CON,,Lon Mabon,38
Washington,324 CHERRY GROVE,U.S. Senate,CON,,Lon Mabon,10
Washington,325 HILLSBORO-ISLANDS,U.S. Senate,CON,,Lon Mabon,0
Washington,326 RURAL BANKS,U.S. Senate,CON,,Lon Mabon,17
Washington,327 BROWN MIDDLE SCHOOL,U.S. Senate,CON,,Lon Mabon,34
Washington,328 FARMINGTON VIEW,U.S. Senate,CON,,Lon Mabon,26
Washington,329 CENTURY SCHOOL,U.S. Senate,CON,,Lon Mabon,18
Washington,330 NORTH PLAINS,U.S. Senate,CON,,Lon Mabon,7
Washington,331 PORTLAND /BARNES,U.S. Senate,CON,,Lon Mabon,0
Washington,332 ORENCO STATION,U.S. Senate,CON,,Lon Mabon,22
Washington,333 JOHN OLSEN,U.S. Senate,CON,,Lon Mabon,28
Washington,334 DIXIE MOUNTAIN,U.S. Senate,CON,,Lon Mabon,2
Washington,335 JACKSON SCHOOL,U.S. Senate,CON,,Lon Mabon,30
Washington,336 FAIR GROUNDS,U.S. Senate,CON,,Lon Mabon,35
Washington,337 WALNUT ST,U.S. Senate,CON,,Lon Mabon,58
Washington,338 CORNELIUS,U.S. Senate,CON,,Lon Mabon,65
Washington,339 FOREST GROVE-EAST,U.S. Senate,CON,,Lon Mabon,73
Washington,340 FOREST GROVE-WEST,U.S. Senate,CON,,Lon Mabon,53
Washington,341 CORNELIUS-SCHEFFLIN,U.S. Senate,CON,,Lon Mabon,4
Washington,342 DAVID HILL RD,U.S. Senate,CON,,Lon Mabon,4
Washington,343 MOOBERRY,U.S. Senate,CON,,Lon Mabon,40
Washington,344 HILLSBORO CENTRAL,U.S. Senate,CON,,Lon Mabon,35
Washington,345 W/HILLSBORO-UNINCORP,U.S. Senate,CON,,Lon Mabon,6
Washington,346 CORNELIUS/TUAL RIVER,U.S. Senate,CON,,Lon Mabon,1
Washington,347 FG/TUALATIN RIVER,U.S. Senate,CON,,Lon Mabon,0
Washington,348 LAKE OSWEGO,U.S. Senate,CON,,Lon Mabon,2
Washington,349 DIVISION STREET,U.S. Senate,CON,,Lon Mabon,27
Washington,350 FIR GROVE,U.S. Senate,CON,,Lon Mabon,38
Washington,351 ALOHA PARK,U.S. Senate,CON,,Lon Mabon,33
Washington,352 BEAVERTON-CENTER,U.S. Senate,CON,,Lon Mabon,8
Washington,353 WALKER ROAD-SOUTH,U.S. Senate,CON,,Lon Mabon,17
Washington,354 CHEHALEM SCHOOL,U.S. Senate,CON,,Lon Mabon,40
Washington,355 MEADOW PARK,U.S. Senate,CON,,Lon Mabon,31
Washington,356 ALOHA-WEST,U.S. Senate,CON,,Lon Mabon,21
Washington,357 HERITAGE PARK,U.S. Senate,CON,,Lon Mabon,21
Washington,358 SEMINOLE ESTATES,U.S. Senate,CON,,Lon Mabon,9
Washington,359 WATERHOUSE,U.S. Senate,CON,,Lon Mabon,33
Washington,360 PHEASANT LANE,U.S. Senate,CON,,Lon Mabon,19
Washington,361 MILLIKAN,U.S. Senate,CON,,Lon Mabon,6
Washington,362 CEDAR HILLS,U.S. Senate,CON,,Lon Mabon,30
Washington,363 BARNES RD,U.S. Senate,CON,,Lon Mabon,35
Washington,364 MCDANIEL RD,U.S. Senate,CON,,Lon Mabon,17
Washington,365 LEAHY RD,U.S. Senate,CON,,Lon Mabon,14
Washington,366 WEST TUALATIN VIEW,U.S. Senate,CON,,Lon Mabon,6
Washington,367 THOMPSON RD,U.S. Senate,CON,,Lon Mabon,5
Washington,368 SOMERSET,U.S. Senate,CON,,Lon Mabon,33
Washington,369 COLUMBIA AVE,U.S. Senate,CON,,Lon Mabon,22
Washington,370 ROCK CREEK,U.S. Senate,CON,,Lon Mabon,18
Washington,371 OAK HILLS,U.S. Senate,CON,,Lon Mabon,14
Washington,372 RIDGEWOOD SCHOOL,U.S. Senate,CON,,Lon Mabon,10
Washington,373 CORNELIUS PASS,U.S. Senate,CON,,Lon Mabon,6
Washington,374 JACOBSON RD,U.S. Senate,CON,,Lon Mabon,0
Washington,375 PORTLAND CITY,U.S. Senate,CON,,Lon Mabon,1
Washington,376 WESTVIEW,U.S. Senate,CON,,Lon Mabon,14
Washington,377 BETHANY,U.S. Senate,CON,,Lon Mabon,29
Washington,378 CANYON LN,U.S. Senate,CON,,Lon Mabon,5
Washington,379 HALL BLVD,U.S. Senate,CON,,Lon Mabon,42
Washington,380 HIGHLAND PARK,U.S. Senate,CON,,Lon Mabon,9
Washington,381 BEAVERTON/CENTER ST,U.S. Senate,CON,,Lon Mabon,23
Washington,382 GREENWAY,U.S. Senate,CON,,Lon Mabon,26
Washington,383 BEAVERTON-HILLSDALE,U.S. Senate,CON,,Lon Mabon,10
Washington,384 GARDEN HOME,U.S. Senate,CON,,Lon Mabon,20
Washington,385 PORTLAND GOLF CLUB,U.S. Senate,CON,,Lon Mabon,25
Washington,386 RALEIGH PARK,U.S. Senate,CON,,Lon Mabon,19
Washington,387 SUNSET CORRIDOR,U.S. Senate,CON,,Lon Mabon,0
Washington,388 WHITFORD,U.S. Senate,CON,,Lon Mabon,0
Washington,389 SEXTON MOUNTAIN,U.S. Senate,CON,,Lon Mabon,23
Washington,390 SOUTHRIDGE,U.S. Senate,CON,,Lon Mabon,34
Washington,391 PORTLAND CITY,U.S. Senate,CON,,Lon Mabon,1
Washington,392 PORTLAND CITY COM 2,U.S. Senate,CON,,Lon Mabon,5
Washington,393 MONTCLAIR,U.S. Senate,CON,,Lon Mabon,7
Washington,394 CORNELIUS EAST,U.S. Senate,CON,,Lon Mabon,0
Washington,395 MURRAYHILL,U.S. Senate,CON,,Lon Mabon,23
Washington,396 DURHAM,U.S. Senate,CON,,Lon Mabon,2
Washington,397 BULL MOUNTAIN,U.S. Senate,CON,,Lon Mabon,21
Washington,398 COOPER MOUNTAIN,U.S. Senate,CON,,Lon Mabon,7
Washington,399 METZGER,U.S. Senate,CON,,Lon Mabon,34
Washington,400 WASHINGTON SQUARE,U.S. Senate,CON,,Lon Mabon,24
Washington,401 MAYO STREET,U.S. Senate,CON,,Lon Mabon,7
Washington,402 TIGARD/WALNUT ST,U.S. Senate,CON,,Lon Mabon,8
Washington,403 TIGARD/GAARDE ST,U.S. Senate,CON,,Lon Mabon,42
Washington,404 FOWLER SCHOOL,U.S. Senate,CON,,Lon Mabon,24
Washington,405 TWALITY SCHOOL,U.S. Senate,CON,,Lon Mabon,30
Washington,406 TIGARD CITY HALL,U.S. Senate,CON,,Lon Mabon,40
Washington,407 NORTH BARNES,U.S. Senate,CON,,Lon Mabon,3
Washington,408 SUMMERFIELD,U.S. Senate,CON,,Lon Mabon,39
Washington,409 SUMMERLAKE-WEST,U.S. Senate,CON,,Lon Mabon,23
Washington,410 BEEF BEND RD,U.S. Senate,CON,,Lon Mabon,14
Washington,411 SCHOLLS HEIGHTS,U.S. Senate,CON,,Lon Mabon,12
Washington,412 COOPER MT SCHOOL,U.S. Senate,CON,,Lon Mabon,3
Washington,413 FISCHER\PACIFIC HWY,U.S. Senate,CON,,Lon Mabon,0
Washington,414 BARROWS RD,U.S. Senate,CON,,Lon Mabon,6
Washington,415 BEEF BEND/131ST,U.S. Senate,CON,,Lon Mabon,2
Washington,416 SUMMERLAKE-EAST,U.S. Senate,CON,,Lon Mabon,13
Washington,417 ELDORADO,U.S. Senate,CON,,Lon Mabon,18
Washington,418 HART ROAD,U.S. Senate,CON,,Lon Mabon,0
Washington,419 KING CITY,U.S. Senate,CON,,Lon Mabon,9
Washington,420 TUALATIN CITY,U.S. Senate,CON,,Lon Mabon,22
Washington,421 TRI-CITIES,U.S. Senate,CON,,Lon Mabon,0
Washington,422 FG NORTH/UNINCORP,U.S. Senate,CON,,Lon Mabon,3
Washington,423 TUALATIN-NORTH,U.S. Senate,CON,,Lon Mabon,21
Washington,424 NW SHERWOOD CITY,U.S. Senate,CON,,Lon Mabon,63
Washington,425 SHERWOOD-UNINCORP,U.S. Senate,CON,,Lon Mabon,3
