county,precinct,office,district,candidate,party,votes,
clackamas,0001 1,President,,Hillary Clinton,DEM,170,
clackamas,0001 1,President,,Barack Obama,DEM,226,
clackamas,0001 1,President,,Write-ins,,2,
clackamas,0001 1,President,,Over Votes,,0,
clackamas,0001 1,President,,Under Votes,,2,
clackamas,0002 2,President,,Hillary Clinton,DEM,166,
clackamas,0002 2,President,,Barack Obama,DEM,256,
clackamas,0002 2,President,,Write-ins,,1,
clackamas,0002 2,President,,Over Votes,,0,
clackamas,0002 2,President,,Under Votes,,9,
clackamas,0003 3,President,,Hillary Clinton,DEM,166,
clackamas,0003 3,President,,Barack Obama,DEM,143,
clackamas,0003 3,President,,Write-ins,,2,
clackamas,0003 3,President,,Over Votes,,0,
clackamas,0003 3,President,,Under Votes,,8,
clackamas,0005 5,President,,Hillary Clinton,DEM,166,
clackamas,0005 5,President,,Barack Obama,DEM,140,
clackamas,0005 5,President,,Write-ins,,1,
clackamas,0005 5,President,,Over Votes,,0,
clackamas,0005 5,President,,Under Votes,,2,
clackamas,0006 6,President,,Hillary Clinton,DEM,182,
clackamas,0006 6,President,,Barack Obama,DEM,163,
clackamas,0006 6,President,,Write-ins,,7,
clackamas,0006 6,President,,Over Votes,,0,
clackamas,0006 6,President,,Under Votes,,10,
clackamas,0007 7,President,,Hillary Clinton,DEM,384,
clackamas,0007 7,President,,Barack Obama,DEM,320,
clackamas,0007 7,President,,Write-ins,,8,
clackamas,0007 7,President,,Over Votes,,0,
clackamas,0007 7,President,,Under Votes,,16,
clackamas,0008 8,President,,Hillary Clinton,DEM,276,
clackamas,0008 8,President,,Barack Obama,DEM,276,
clackamas,0008 8,President,,Write-ins,,5,
clackamas,0008 8,President,,Over Votes,,0,
clackamas,0008 8,President,,Under Votes,,12,
clackamas,0009 9,President,,Hillary Clinton,DEM,208,
clackamas,0009 9,President,,Barack Obama,DEM,182,
clackamas,0009 9,President,,Write-ins,,2,
clackamas,0009 9,President,,Over Votes,,0,
clackamas,0009 9,President,,Under Votes,,3,
clackamas,0011 11,President,,Hillary Clinton,DEM,253,
clackamas,0011 11,President,,Barack Obama,DEM,245,
clackamas,0011 11,President,,Write-ins,,2,
clackamas,0011 11,President,,Over Votes,,0,
clackamas,0011 11,President,,Under Votes,,16,
clackamas,0012 12,President,,Hillary Clinton,DEM,339,
clackamas,0012 12,President,,Barack Obama,DEM,304,
clackamas,0012 12,President,,Write-ins,,2,
clackamas,0012 12,President,,Over Votes,,0,
clackamas,0012 12,President,,Under Votes,,17,
clackamas,0031 31,President,,Hillary Clinton,DEM,111,
clackamas,0031 31,President,,Barack Obama,DEM,83,
clackamas,0031 31,President,,Write-ins,,4,
clackamas,0031 31,President,,Over Votes,,0,
clackamas,0031 31,President,,Under Votes,,1,
clackamas,0032 32,President,,Hillary Clinton,DEM,86,
clackamas,0032 32,President,,Barack Obama,DEM,74,
clackamas,0032 32,President,,Write-ins,,1,
clackamas,0032 32,President,,Over Votes,,0,
clackamas,0032 32,President,,Under Votes,,1,
clackamas,0033 33,President,,Hillary Clinton,DEM,203,
clackamas,0033 33,President,,Barack Obama,DEM,185,
clackamas,0033 33,President,,Write-ins,,2,
clackamas,0033 33,President,,Over Votes,,0,
clackamas,0033 33,President,,Under Votes,,7,
clackamas,0034 34,President,,Hillary Clinton,DEM,269,
clackamas,0034 34,President,,Barack Obama,DEM,217,
clackamas,0034 34,President,,Write-ins,,3,
clackamas,0034 34,President,,Over Votes,,0,
clackamas,0034 34,President,,Under Votes,,13,
clackamas,0038 38,President,,Hillary Clinton,DEM,131,
clackamas,0038 38,President,,Barack Obama,DEM,160,
clackamas,0038 38,President,,Write-ins,,2,
clackamas,0038 38,President,,Over Votes,,1,
clackamas,0038 38,President,,Under Votes,,2,
clackamas,0039 39,President,,Hillary Clinton,DEM,208,
clackamas,0039 39,President,,Barack Obama,DEM,210,
clackamas,0039 39,President,,Write-ins,,5,
clackamas,0039 39,President,,Over Votes,,0,
clackamas,0039 39,President,,Under Votes,,6,
clackamas,0051 51,President,,Hillary Clinton,DEM,230,
clackamas,0051 51,President,,Barack Obama,DEM,300,
clackamas,0051 51,President,,Write-ins,,2,
clackamas,0051 51,President,,Over Votes,,0,
clackamas,0051 51,President,,Under Votes,,9,
clackamas,0053 53,President,,Hillary Clinton,DEM,188,
clackamas,0053 53,President,,Barack Obama,DEM,184,
clackamas,0053 53,President,,Write-ins,,1,
clackamas,0053 53,President,,Over Votes,,0,
clackamas,0053 53,President,,Under Votes,,8,
clackamas,0054 54,President,,Hillary Clinton,DEM,181,
clackamas,0054 54,President,,Barack Obama,DEM,148,
clackamas,0054 54,President,,Write-ins,,3,
clackamas,0054 54,President,,Over Votes,,0,
clackamas,0054 54,President,,Under Votes,,5,
clackamas,0056 56,President,,Hillary Clinton,DEM,126,
clackamas,0056 56,President,,Barack Obama,DEM,203,
clackamas,0056 56,President,,Write-ins,,5,
clackamas,0056 56,President,,Over Votes,,0,
clackamas,0056 56,President,,Under Votes,,1,
clackamas,0057 57,President,,Hillary Clinton,DEM,204,
clackamas,0057 57,President,,Barack Obama,DEM,259,
clackamas,0057 57,President,,Write-ins,,0,
clackamas,0057 57,President,,Over Votes,,0,
clackamas,0057 57,President,,Under Votes,,6,
clackamas,0058 58,President,,Hillary Clinton,DEM,134,
clackamas,0058 58,President,,Barack Obama,DEM,182,
clackamas,0058 58,President,,Write-ins,,3,
clackamas,0058 58,President,,Over Votes,,0,
clackamas,0058 58,President,,Under Votes,,6,
clackamas,0060 60,President,,Hillary Clinton,DEM,248,
clackamas,0060 60,President,,Barack Obama,DEM,246,
clackamas,0060 60,President,,Write-ins,,1,
clackamas,0060 60,President,,Over Votes,,0,
clackamas,0060 60,President,,Under Votes,,4,
clackamas,0062 62,President,,Hillary Clinton,DEM,193,
clackamas,0062 62,President,,Barack Obama,DEM,242,
clackamas,0062 62,President,,Write-ins,,4,
clackamas,0062 62,President,,Over Votes,,0,
clackamas,0062 62,President,,Under Votes,,12,
clackamas,0063 63,President,,Hillary Clinton,DEM,223,
clackamas,0063 63,President,,Barack Obama,DEM,206,
clackamas,0063 63,President,,Write-ins,,2,
clackamas,0063 63,President,,Over Votes,,0,
clackamas,0063 63,President,,Under Votes,,3,
clackamas,0064 64,President,,Hillary Clinton,DEM,208,
clackamas,0064 64,President,,Barack Obama,DEM,184,
clackamas,0064 64,President,,Write-ins,,1,
clackamas,0064 64,President,,Over Votes,,0,
clackamas,0064 64,President,,Under Votes,,6,
clackamas,0090 90,President,,Hillary Clinton,DEM,1,
clackamas,0090 90,President,,Barack Obama,DEM,0,
clackamas,0090 90,President,,Write-ins,,0,
clackamas,0090 90,President,,Over Votes,,0,
clackamas,0090 90,President,,Under Votes,,0,
clackamas,0091 91,President,,Hillary Clinton,DEM,15,
clackamas,0091 91,President,,Barack Obama,DEM,51,
clackamas,0091 91,President,,Write-ins,,0,
clackamas,0091 91,President,,Over Votes,,0,
clackamas,0091 91,President,,Under Votes,,0,
clackamas,0092 92,President,,Hillary Clinton,DEM,16,
clackamas,0092 92,President,,Barack Obama,DEM,15,
clackamas,0092 92,President,,Write-ins,,0,
clackamas,0092 92,President,,Over Votes,,0,
clackamas,0092 92,President,,Under Votes,,0,
clackamas,0093 93,President,,Hillary Clinton,DEM,29,
clackamas,0093 93,President,,Barack Obama,DEM,23,
clackamas,0093 93,President,,Write-ins,,2,
clackamas,0093 93,President,,Over Votes,,0,
clackamas,0093 93,President,,Under Votes,,0,
clackamas,0094 94,President,,Hillary Clinton,DEM,7,
clackamas,0094 94,President,,Barack Obama,DEM,8,
clackamas,0094 94,President,,Write-ins,,0,
clackamas,0094 94,President,,Over Votes,,0,
clackamas,0094 94,President,,Under Votes,,0,
clackamas,0095 95,President,,Hillary Clinton,DEM,3,
clackamas,0095 95,President,,Barack Obama,DEM,3,
clackamas,0095 95,President,,Write-ins,,0,
clackamas,0095 95,President,,Over Votes,,0,
clackamas,0095 95,President,,Under Votes,,0,
clackamas,0096 96,President,,Hillary Clinton,DEM,410,
clackamas,0096 96,President,,Barack Obama,DEM,559,
clackamas,0096 96,President,,Write-ins,,7,
clackamas,0096 96,President,,Over Votes,,0,
clackamas,0096 96,President,,Under Votes,,12,
