county,precinct,office,district,party,candidate,votes,overs,unders
Multnomah,2701,President,,REP,Donald J Trump,108,0,10
Multnomah,2702,President,,REP,Donald J Trump,166,1,15
Multnomah,3101,President,,REP,Donald J Trump,240,0,11
Multnomah,3102,President,,REP,Donald J Trump,500,1,27
Multnomah,3103,President,,REP,Donald J Trump,203,0,5
Multnomah,3301,President,,REP,Donald J Trump,717,0,94
Multnomah,3303,President,,REP,Donald J Trump,615,1,51
Multnomah,3304,President,,REP,Donald J Trump,93,0,6
Multnomah,3501,President,,REP,Donald J Trump,200,0,14
Multnomah,3502,President,,REP,Donald J Trump,669,1,74
Multnomah,3602,President,,REP,Donald J Trump,388,0,53
Multnomah,3603,President,,REP,Donald J Trump,759,3,82
Multnomah,3604,President,,REP,Donald J Trump,41,0,3
Multnomah,3605,President,,REP,Donald J Trump,278,0,39
Multnomah,3606,President,,REP,Donald J Trump,166,0,15
Multnomah,3607,President,,REP,Donald J Trump,539,1,78
Multnomah,3608,President,,REP,Donald J Trump,520,0,67
Multnomah,3609,President,,REP,Donald J Trump,78,0,11
Multnomah,3610,President,,REP,Donald J Trump,408,0,54
Multnomah,3611,President,,REP,Donald J Trump,620,0,48
Multnomah,3612,President,,REP,Donald J Trump,511,1,65
Multnomah,3801,President,,REP,Donald J Trump,12,0,0
Multnomah,3802,President,,REP,Donald J Trump,1133,0,96
Multnomah,3803,President,,REP,Donald J Trump,590,2,61
Multnomah,3804,President,,REP,Donald J Trump,146,0,12
Multnomah,3805,President,,REP,Donald J Trump,96,0,5
Multnomah,3806,President,,REP,Donald J Trump,442,0,33
Multnomah,3807,President,,REP,Donald J Trump,236,0,17
Multnomah,3808,President,,REP,Donald J Trump,10,0,9
Multnomah,4101,President,,REP,Donald J Trump,696,1,71
Multnomah,4102,President,,REP,Donald J Trump,611,0,39
Multnomah,4103,President,,REP,Donald J Trump,339,1,46
Multnomah,4203,President,,REP,Donald J Trump,345,2,53
Multnomah,4204,President,,REP,Donald J Trump,362,1,68
Multnomah,4205,President,,REP,Donald J Trump,220,0,26
Multnomah,4207,President,,REP,Donald J Trump,185,0,52
Multnomah,4208,President,,REP,Donald J Trump,157,0,26
Multnomah,4209,President,,REP,Donald J Trump,460,0,63
Multnomah,4210,President,,REP,Donald J Trump,846,0,88
Multnomah,4301,President,,REP,Donald J Trump,373,3,70
Multnomah,4302,President,,REP,Donald J Trump,466,0,84
Multnomah,4304,President,,REP,Donald J Trump,330,0,49
