county,precinct,office,district,party,candidate,votes,
Hood River,1,Voters,,,Registered,1491,
Hood River,1,Voters,,D,Registered,778,
Hood River,1,Voters,,R,Registered,278,
Hood River,1,Voters,,I,Registered,78,
Hood River,1,Voters,,NP,Registered,357,
Hood River,1,Voters,,,Ballots,1075,
Hood River,1,Voters,,D,Ballots,633,
Hood River,1,Voters,,R,Ballots,203,
Hood River,1,Voters,,I,Ballots,50,
Hood River,1,Voters,,NP,Ballots,189,
Hood River,1,President,,D,Hillary Clinton,203,
Hood River,1,President,,D,Bernie Sanders,407,
Hood River,1,President,,D,Write-ins,3,
Hood River,1,U.S. Senate,,D,Ron Wyden,487,
Hood River,1,U.S. Senate,,D,Paul Weaver,14,
Hood River,1,U.S. Senate,,D,Kevin Stine,56,
Hood River,1,U.S. Senate,,D,Write-ins,0,
Hood River,1,U.S. House,2,D,James Crary,343,
Hood River,1,U.S. House,2,D,Write-ins,1,
Hood River,1,Governor,,D,Kate Brown,511,
Hood River,1,Governor,,D,Julian Bell,31,
Hood River,1,Governor,,D,Chet Chance,4,
Hood River,1,Governor,,D,Kevin Forsythe,4,
Hood River,1,Governor,,D,Dave Stauffer,10,
Hood River,1,Governor,,D,Steve Johnson,9,
Hood River,1,Governor,,D,Write-ins,0,
Hood River,1,Secretary of State,,D,Richard Devlin,108,
Hood River,1,Secretary of State,,D,Brad Avakian,195,
Hood River,1,Secretary of State,,D,Val Hoyle,142,
Hood River,1,Secretary of State,,D,Write-ins,2,
Hood River,1,State Treasurer,,D,Tobias Read,352,
Hood River,1,State Treasurer,,D,Write-ins,2,
Hood River,1,Attorney General,,D,Ellen Rosenblum,379,
Hood River,1,Attorney General,,D,Write-ins,1,
Hood River,1,State House,52,D,Mark Reynolds,392,
Hood River,1,State House,52,D,Walt Trandum,53,
Hood River,1,State House,52,D,Write-ins,1,
Hood River,1,President,,R,Ted Cruz,36,
Hood River,1,President,,R,John Kasich,51,
Hood River,1,President,,R,Donald Trump,88,
Hood River,1,President,,R,Write-ins,2,
Hood River,1,U.S. Senate,,R,Sam Carpenter,30,
Hood River,1,U.S. Senate,,R,Mark Callahan,73,
Hood River,1,U.S. Senate,,R,Faye Stewart,22,
Hood River,1,U.S. Senate,,R,Dan Laschober,14,
Hood River,1,U.S. Senate,,R,Write-ins,2,
Hood River,1,U.S. House,2,R,Paul Romero,19,
Hood River,1,U.S. House,2,R,Greg Walden,169,
Hood River,1,U.S. House,2,R,Write-ins,0,
Hood River,1,Governor,,R,Bruce Cuff,19,
Hood River,1,Governor,,R,Bob Niemeyer,16,
Hood River,1,Governor,,R,Bob Fortham,1,
Hood River,1,Governor,,R,Bud Pierce,67,
Hood River,1,Governor,,R,Allen Alley,61,
Hood River,1,Governor,,R,Write-ins,2,
Hood River,1,Secretary of State,,R,Dennis Richardson,123,
Hood River,1,Secretary of State,,R,Sid Leiken,28,
Hood River,1,Secretary of State,,R,Write-ins,1,
Hood River,1,State Treasurer,,R,Jeff Gudman,124,
Hood River,1,State Treasurer,,R,Write-ins,1,
Hood River,1,Attorney General,,R,Daniel Crowe,115,
Hood River,1,Attorney General,,R,Write-ins,0,
Hood River,1,State House,52,R,Mark Johnson,163,
Hood River,1,State House,52,R,Write-ins,0,
Hood River,1,President,,Ind,Write-ins,28,
Hood River,1,U.S. Senate,,Ind,Steven Reynolds,9,
Hood River,1,U.S. Senate,,Ind,Marvin Sandnes,2,
Hood River,1,U.S. Senate,,Ind,Write-ins,13,
Hood River,1,U.S. House,2,Ind,Write-ins,7,
Hood River,1,Governor,,Ind,Patrick Barney,5,
Hood River,1,Governor,,Ind,Cliff Thomason,6,
Hood River,1,Governor,,Ind,Write-ins,14,
Hood River,1,Secretary of State,,Ind,Paul Wells,18,
Hood River,1,Secretary of State,,Ind,Write-ins,10,
Hood River,1,State Treasurer,,Ind,Chris Telfer,23,
Hood River,1,State Treasurer,,Ind,Write-ins,5,
Hood River,1,Attorney General,,Ind,Write-ins,10,
Hood River,1,State House,52,Ind,Write-ins,9,
Hood River,2,Voters,,,Registered,1816,
Hood River,2,Voters,,D,Registered,893,
Hood River,2,Voters,,R,Registered,366,
Hood River,2,Voters,,I,Registered,111,
Hood River,2,Voters,,NP,Registered,446,
Hood River,2,Voters,,,Ballots,1254,
Hood River,2,Voters,,D,Ballots,715,
Hood River,2,Voters,,R,Ballots,252,
Hood River,2,Voters,,I,Ballots,65,
Hood River,2,Voters,,NP,Ballots,222,
Hood River,2,President,,D,Hillary Clinton,283,
Hood River,2,President,,D,Bernie Sanders,413,
Hood River,2,President,,D,Write-ins,3,
Hood River,2,U.S. Senate,,D,Ron Wyden,534,
Hood River,2,U.S. Senate,,D,Paul Weaver,18,
Hood River,2,U.S. Senate,,D,Kevin Stine,84,
Hood River,2,U.S. Senate,,D,Write-ins,2,
Hood River,2,U.S. House,2,D,James Crary,417,
Hood River,2,U.S. House,2,D,Write-ins,5,
Hood River,2,Governor,,D,Kate Brown,570,
Hood River,2,Governor,,D,Julian Bell,35,
Hood River,2,Governor,,D,Chet Chance,1,
Hood River,2,Governor,,D,Kevin Forsythe,7,
Hood River,2,Governor,,D,Dave Stauffer,9,
Hood River,2,Governor,,D,Steve Johnson,7,
Hood River,2,Governor,,D,Write-ins,6,
Hood River,2,Secretary of State,,D,Richard Devlin,142,
Hood River,2,Secretary of State,,D,Brad Avakian,218,
Hood River,2,Secretary of State,,D,Val Hoyle,165,
Hood River,2,Secretary of State,,D,Write-ins,0,
Hood River,2,State Treasurer,,D,Tobias Read,437,
Hood River,2,State Treasurer,,D,Write-ins,1,
Hood River,2,Attorney General,,D,Ellen Rosenblum,449,
Hood River,2,Attorney General,,D,Write-ins,0,
Hood River,2,State House,52,D,Mark Reynolds,445,
Hood River,2,State House,52,D,Walt Trandum,72,
Hood River,2,State House,52,D,Write-ins,2,
Hood River,2,President,,R,Ted Cruz,48,
Hood River,2,President,,R,John Kasich,62,
Hood River,2,President,,R,Donald Trump,119,
