county,precinct,office,district,party,candidate,total_ballots,votes,over_votes_with_candidate,under_votes_without_candidate,votes_for_others
Multnomah,2701,President,,DEM,Hillary Clinton,295,221,0,3,71
Multnomah,2702,President,,DEM,Hillary Clinton,332,213,0,2,117
Multnomah,3101,President,,DEM,Hillary Clinton,511,253,0,4,254
Multnomah,3102,President,,DEM,Hillary Clinton,718,328,0,5,385
Multnomah,3103,President,,DEM,Hillary Clinton,216,98,0,6,112
Multnomah,3301,President,,DEM,Hillary Clinton,4550,2400,0,26,2124
Multnomah,3303,President,,DEM,Hillary Clinton,1223,760,0,12,451
Multnomah,3304,President,,DEM,Hillary Clinton,281,144,0,1,136
Multnomah,3501,President,,DEM,Hillary Clinton,396,184,0,2,210
Multnomah,3502,President,,DEM,Hillary Clinton,2240,1056,0,32,1152
Multnomah,3602,President,,DEM,Hillary Clinton,2631,1113,0,22,1496
Multnomah,3603,President,,DEM,Hillary Clinton,3386,1439,0,24,1923
Multnomah,3604,President,,DEM,Hillary Clinton,55,33,0,1,21
Multnomah,3605,President,,DEM,Hillary Clinton,1103,646,0,14,443
Multnomah,3606,President,,DEM,Hillary Clinton,932,419,0,4,509
Multnomah,3607,President,,DEM,Hillary Clinton,2910,1551,1,28,1330
Multnomah,3608,President,,DEM,Hillary Clinton,1900,1039,0,15,846
Multnomah,3609,President,,DEM,Hillary Clinton,245,167,0,3,75
Multnomah,3610,President,,DEM,Hillary Clinton,1770,924,0,18,828
Multnomah,3611,President,,DEM,Hillary Clinton,2628,1264,0,29,1335
Multnomah,3612,President,,DEM,Hillary Clinton,2547,1058,0,21,1468
Multnomah,3801,President,,DEM,Hillary Clinton,37,21,0,0,16
Multnomah,3802,President,,DEM,Hillary Clinton,4380,2124,0,43,2213
Multnomah,3803,President,,DEM,Hillary Clinton,2937,1265,1,19,1652
Multnomah,3804,President,,DEM,Hillary Clinton,579,290,0,6,283
Multnomah,3805,President,,DEM,Hillary Clinton,398,203,0,2,193
Multnomah,3806,President,,DEM,Hillary Clinton,762,421,0,2,339
Multnomah,3807,President,,DEM,Hillary Clinton,363,227,0,3,133
Multnomah,3808,President,,DEM,Hillary Clinton,80,26,0,1,53
Multnomah,4101,President,,DEM,Hillary Clinton,4583,1882,1,34,2666
Multnomah,4102,President,,DEM,Hillary Clinton,2258,710,1,24,1523
Multnomah,4103,President,,DEM,Hillary Clinton,1968,1089,0,18,861
Multnomah,4203,President,,DEM,Hillary Clinton,4794,1134,1,26,3633
Multnomah,4204,President,,DEM,Hillary Clinton,4768,1614,0,41,3113
Multnomah,4205,President,,DEM,Hillary Clinton,2405,869,0,13,1523
Multnomah,4207,President,,DEM,Hillary Clinton,3002,894,0,20,2088
Multnomah,4208,President,,DEM,Hillary Clinton,1694,551,1,14,1128
Multnomah,4209,President,,DEM,Hillary Clinton,3805,1083,0,30,2692
Multnomah,4210,President,,DEM,Hillary Clinton,5177,1580,1,35,3561
Multnomah,4301,President,,DEM,Hillary Clinton,5010,1727,0,38,3245
Multnomah,4302,President,,DEM,Hillary Clinton,4904,1701,0,46,3157
Multnomah,4304,President,,DEM,Hillary Clinton,4227,1897,0,41,2289
Multnomah,4305,President,,DEM,Hillary Clinton,4844,1747,0,41,3056
Multnomah,4306,President,,DEM,Hillary Clinton,1066,428,0,11,627
Multnomah,4310,President,,DEM,Hillary Clinton,4446,1808,1,28,2609
Multnomah,4401,President,,DEM,Hillary Clinton,4107,1271,0,30,2806
Multnomah,4402,President,,DEM,Hillary Clinton,4212,1538,0,30,2644
Multnomah,4403,President,,DEM,Hillary Clinton,3999,1326,2,44,2627
Multnomah,4404,President,,DEM,Hillary Clinton,4344,1541,0,47,2756
Multnomah,4409,President,,DEM,Hillary Clinton,758,250,0,5,503
Multnomah,4501,President,,DEM,Hillary Clinton,5737,3045,0,56,2636
Multnomah,4502,President,,DEM,Hillary Clinton,2260,816,0,24,1420
Multnomah,4503,President,,DEM,Hillary Clinton,2116,1015,0,16,1085
Multnomah,4505,President,,DEM,Hillary Clinton,3853,1537,0,32,2284
Multnomah,4506,President,,DEM,Hillary Clinton,1301,421,1,19,860
Multnomah,4508,President,,DEM,Hillary Clinton,1916,599,0,17,1300
Multnomah,4509,President,,DEM,Hillary Clinton,829,335,0,14,480
Multnomah,4510,President,,DEM,Hillary Clinton,780,364,0,12,404
Multnomah,4511,President,,DEM,Hillary Clinton,789,265,0,13,511
Multnomah,4512,President,,DEM,Hillary Clinton,245,112,0,1,132
Multnomah,4601,President,,DEM,Hillary Clinton,5328,2085,0,43,3200
Multnomah,4602,President,,DEM,Hillary Clinton,2077,1151,0,18,908
Multnomah,4604,President,,DEM,Hillary Clinton,2155,612,1,18,1524
Multnomah,4605,President,,DEM,Hillary Clinton,2448,794,0,27,1627
Multnomah,4606,President,,DEM,Hillary Clinton,4789,1341,1,46,3401
Multnomah,4607,President,,DEM,Hillary Clinton,1170,523,0,17,630
Multnomah,4608,President,,DEM,Hillary Clinton,528,154,0,3,371
Multnomah,4701,President,,DEM,Hillary Clinton,820,446,0,20,354
Multnomah,4702,President,,DEM,Hillary Clinton,277,116,0,5,156
Multnomah,4703,President,,DEM,Hillary Clinton,754,329,0,22,403
Multnomah,4704,President,,DEM,Hillary Clinton,1290,638,0,34,618
Multnomah,4705,President,,DEM,Hillary Clinton,1803,652,0,34,1117
Multnomah,4706,President,,DEM,Hillary Clinton,1030,405,0,25,600
Multnomah,4707,President,,DEM,Hillary Clinton,604,223,0,11,370
Multnomah,4708,President,,DEM,Hillary Clinton,1174,461,1,23,689
Multnomah,4709,President,,DEM,Hillary Clinton,628,243,0,20,365
Multnomah,4710,President,,DEM,Hillary Clinton,972,327,0,21,624
Multnomah,4801,President,,DEM,Hillary Clinton,430,156,0,6,268
Multnomah,4802,President,,DEM,Hillary Clinton,15,3,0,0,12
Multnomah,4803,President,,DEM,Hillary Clinton,2360,658,0,29,1673
Multnomah,4804,President,,DEM,Hillary Clinton,479,151,0,7,321
Multnomah,4805,President,,DEM,Hillary Clinton,263,78,0,5,180
Multnomah,4806,President,,DEM,Hillary Clinton,464,187,0,9,268
Multnomah,4807,President,,DEM,Hillary Clinton,822,311,0,8,503
Multnomah,4901,President,,DEM,Hillary Clinton,12,4,0,0,8
Multnomah,4902,President,,DEM,Hillary Clinton,7,4,0,0,3
Multnomah,4903,President,,DEM,Hillary Clinton,1216,591,0,35,590
Multnomah,4904,President,,DEM,Hillary Clinton,1975,829,0,42,1104
Multnomah,4905,President,,DEM,Hillary Clinton,57,24,0,1,32
Multnomah,4906,President,,DEM,Hillary Clinton,321,130,0,5,186
Multnomah,4907,President,,DEM,Hillary Clinton,96,60,0,1,35
Multnomah,4908,President,,DEM,Hillary Clinton,517,228,0,9,280
Multnomah,4909,President,,DEM,Hillary Clinton,1159,508,0,19,632
Multnomah,4910,President,,DEM,Hillary Clinton,908,424,0,15,469
Multnomah,4911,President,,DEM,Hillary Clinton,1001,412,0,21,568
Multnomah,5001,President,,DEM,Hillary Clinton,1019,402,0,13,604
Multnomah,5002,President,,DEM,Hillary Clinton,1602,658,0,37,907
Multnomah,5003,President,,DEM,Hillary Clinton,299,148,0,6,145
Multnomah,5004,President,,DEM,Hillary Clinton,1832,791,0,29,1012
Multnomah,5006,President,,DEM,Hillary Clinton,833,376,0,16,441
Multnomah,5007,President,,DEM,Hillary Clinton,960,393,1,17,549
Multnomah,5008,President,,DEM,Hillary Clinton,968,494,0,27,447
Multnomah,5009,President,,DEM,Hillary Clinton,268,114,0,10,144
Multnomah,5101,President,,DEM,Hillary Clinton,222,87,0,1,134
