county,precinct,office,district,party,candidate,votes,
Josephine,1 Highland GP,Voters,,DEM,Registered,1165,
Josephine,1 Highland GP,Voters,,DEM,Ballots,777,
Josephine,1 Highland GP,Voters,,IND,Registered,242,
Josephine,1 Highland GP,Voters,,IND,Ballots,105,
Josephine,1 Highland GP,Voters,,REP,Registered,1479,
Josephine,1 Highland GP,Voters,,REP,Ballots,973,
Josephine,1 Highland GP,President,,DEM,Hillary Clinton,340,
Josephine,1 Highland GP,President,,DEM,Bernie Sanders,403,
Josephine,1 Highland GP,President,,DEM,Write-in,16,
Josephine,1 Highland GP,President,,IND,Write-in,52,
Josephine,1 Highland GP,President,,REP,Ted Cruz,143,
Josephine,1 Highland GP,President,,REP,John Kasich,107,
Josephine,1 Highland GP,President,,REP,Donald Trump,627,
Josephine,1 Highland GP,President,,REP,Write-in,40,
Josephine,1 Highland GP,U.S. Senate,,DEM,Ron Wyden,590,
Josephine,1 Highland GP,U.S. Senate,,DEM,Paul Weaver,18,
Josephine,1 Highland GP,U.S. Senate,,DEM,Kevin Stine,95,
Josephine,1 Highland GP,U.S. Senate,,DEM,Write-in,3,
Josephine,1 Highland GP,U.S. Senate,,IND,Steven Reynolds,18,
Josephine,1 Highland GP,U.S. Senate,,IND,Marvin Sandnes,10,
Josephine,1 Highland GP,U.S. Senate,,IND,Write-in,27,
Josephine,1 Highland GP,U.S. Senate,,REP,Sam Carpenter,218,
Josephine,1 Highland GP,U.S. Senate,,REP,Mark Callahan,294,
Josephine,1 Highland GP,U.S. Senate,,REP,Faye Stewart,117,
Josephine,1 Highland GP,U.S. Senate,,REP,Dan Laschober,83,
Josephine,1 Highland GP,U.S. Senate,,REP,Write-in,12,
Josephine,1 Highland GP,U.S. House,2,DEM,James Crary,419,
Josephine,1 Highland GP,U.S. House,2,DEM,Write-in,12,
Josephine,1 Highland GP,U.S. House,2,IND,Write-in,34,
Josephine,1 Highland GP,U.S. House,2,REP,Paul Romero,167,
