county,precinct,office,district,candidate,votes
Harney,Burns #21,Governor,,Joe Keating,7
Harney,Hines #25,Governor,,Joe Keating,1
Harney,Rural Harney #26,Governor,,Joe Keating,7
Harney,Burns #21,Governor,,Ted Kulongoski,267
Harney,Hines #25,Governor,,Ted Kulongoski,177
Harney,Rural Harney #26,Governor,,Ted Kulongoski,199
Harney,Burns #21,Governor,,Richard Morley,14
Harney,Hines #25,Governor,,Richard Morley,11
Harney,Rural Harney #26,Governor,,Richard Morley,11
Harney,Burns #21,Governor,,Mary Starrett,53
Harney,Hines #25,Governor,,Mary Starrett,31
Harney,Rural Harney #26,Governor,,Mary Starrett,35
Harney,Burns #21,Governor,,Ron Saxton,643
Harney,Hines #25,Governor,,Ron Saxton,417
Harney,Rural Harney #26,Governor,,Ron Saxton,1126
Harney,Burns #21,Governor,,Write-ins,0
Harney,Hines #25,Governor,,Write-ins,2
Harney,Rural Harney #26,Governor,,Write-ins,6
Harney,Burns #21,Governor,,Over Votes,0
Harney,Hines #25,Governor,,Over Votes,0
Harney,Rural Harney #26,Governor,,Over Votes,0
Harney,Burns #21,Governor,,Under Votes,14
Harney,Hines #25,Governor,,Under Votes,12
Harney,Rural Harney #26,Governor,,Under Votes,9
Harney,Burns #21,U.S. House,2,"Jack Alan Brown, Jr.",34
Harney,Hines #25,U.S. House,2,"Jack Alan Brown, Jr.",13
Harney,Rural Harney #26,U.S. House,2,"Jack Alan Brown, Jr.",42
Harney,Burns #21,U.S. House,2,Carol Voisin,212
Harney,Hines #25,U.S. House,2,Carol Voisin,130
Harney,Rural Harney #26,U.S. House,2,Carol Voisin,146
Harney,Burns #21,U.S. House,2,Greg Walden,727
Harney,Hines #25,U.S. House,2,Greg Walden,487
Harney,Rural Harney #26,U.S. House,2,Greg Walden,1172
Harney,Burns #21,U.S. House,2,Write-ins,1
Harney,Hines #25,U.S. House,2,Write-ins,1
Harney,Rural Harney #26,U.S. House,2,Write-ins,2
Harney,Burns #21,U.S. House,2,Over Votes,0
Harney,Hines #25,U.S. House,2,Over Votes,0
Harney,Rural Harney #26,U.S. House,2,Over Votes,0
Harney,Burns #21,U.S. House,2,Under Votes,24
Harney,Hines #25,U.S. House,2,Under Votes,20
Harney,Rural Harney #26,U.S. House,2,Under Votes,31
Harney,Burns #21,State House,60,R. Thomas (Tom) Butler,649
Harney,Hines #25,State House,60,R. Thomas (Tom) Butler,436
Harney,Rural Harney #26,State House,60,R. Thomas (Tom) Butler,1132
Harney,Burns #21,State House,60,Peter Hall,281
Harney,Hines #25,State House,60,Peter Hall,167
Harney,Rural Harney #26,State House,60,Peter Hall,188
Harney,Burns #21,State House,60,Write-ins,5
Harney,Hines #25,State House,60,Write-ins,1
Harney,Rural Harney #26,State House,60,Write-ins,1
Harney,Burns #21,State House,60,Over Votes,0
Harney,Hines #25,State House,60,Over Votes,0
Harney,Rural Harney #26,State House,60,Over Votes,1
Harney,Burns #21,State House,60,Under Votes,62
Harney,Hines #25,State House,60,Under Votes,47
Harney,Rural Harney #26,State House,60,Under Votes,71
