Crook,PRECINCT 01,State House,55,party,candidate,votes
Crook,PRECINCT 10,State House,55,CON,Jack Alan Brown Jr.,10
Crook,PRECINCT 11,State House,55,CON,Jack Alan Brown Jr.,9
Crook,PRECINCT 12,State House,55,CON,Jack Alan Brown Jr.,14
Crook,PRECINCT 13,State House,55,CON,Jack Alan Brown Jr.,1
Crook,PRECINCT 14,State House,55,CON,Jack Alan Brown Jr.,11
Crook,PRECINCT 15,State House,55,CON,Jack Alan Brown Jr.,14
Crook,PRECINCT 16,State House,55,CON,Jack Alan Brown Jr.,24
Crook,PRECINCT 17,State House,55,CON,Jack Alan Brown Jr.,9
Crook,PRECINCT 02,State House,55,CON,Jack Alan Brown Jr.,40
Crook,PRECINCT 03,State House,55,CON,Jack Alan Brown Jr.,10
Crook,PRECINCT 04,State House,55,CON,Jack Alan Brown Jr.,3
Crook,PRECINCT 05,State House,55,CON,Jack Alan Brown Jr.,29
Crook,PRECINCT 06,State House,55,CON,Jack Alan Brown Jr.,22
Crook,PRECINCT 07,State House,55,CON,Jack Alan Brown Jr.,5
Crook,PRECINCT 08,State House,55,CON,Jack Alan Brown Jr.,4
Crook,PRECINCT 09,State House,55,CON,Jack Alan Brown Jr.,12
Crook,PRECINCT 09,U.S. House,2,CON,Jack Alan Brown Jr.,2
Crook,PRECINCT 01,U.S. House,2,DEM,Carol Voisin,88
Crook,PRECINCT 10,U.S. House,2,DEM,Carol Voisin,80
Crook,PRECINCT 11,U.S. House,2,DEM,Carol Voisin,185
Crook,PRECINCT 12,U.S. House,2,DEM,Carol Voisin,12
Crook,PRECINCT 13,U.S. House,2,DEM,Carol Voisin,104
Crook,PRECINCT 14,U.S. House,2,DEM,Carol Voisin,60
Crook,PRECINCT 15,U.S. House,2,DEM,Carol Voisin,75
Crook,PRECINCT 16,U.S. House,2,DEM,Carol Voisin,75
Crook,PRECINCT 17,U.S. House,2,DEM,Carol Voisin,355
Crook,PRECINCT 02,U.S. House,2,DEM,Carol Voisin,60
Crook,PRECINCT 03,U.S. House,2,DEM,Carol Voisin,50
Crook,PRECINCT 04,U.S. House,2,DEM,Carol Voisin,112
Crook,PRECINCT 05,U.S. House,2,DEM,Carol Voisin,223
Crook,PRECINCT 06,U.S. House,2,DEM,Carol Voisin,124
Crook,PRECINCT 07,U.S. House,2,DEM,Carol Voisin,19
Crook,PRECINCT 08,U.S. House,2,DEM,Carol Voisin,125
Crook,PRECINCT 09,U.S. House,2,DEM,Carol Voisin,29
Crook,PRECINCT 01,U.S. House,2,REP,Greg Walden,204
Crook,PRECINCT 10,U.S. House,2,REP,Greg Walden,200
Crook,PRECINCT 11,U.S. House,2,REP,Greg Walden,920
Crook,PRECINCT 12,U.S. House,2,REP,Greg Walden,56
Crook,PRECINCT 13,U.S. House,2,REP,Greg Walden,382
Crook,PRECINCT 14,U.S. House,2,REP,Greg Walden,141
Crook,PRECINCT 15,U.S. House,2,REP,Greg Walden,322
Crook,PRECINCT 16,U.S. House,2,REP,Greg Walden,322
Crook,PRECINCT 17,U.S. House,2,REP,Greg Walden,950
Crook,PRECINCT 02,U.S. House,2,REP,Greg Walden,178
Crook,PRECINCT 03,U.S. House,2,REP,Greg Walden,86
Crook,PRECINCT 04,U.S. House,2,REP,Greg Walden,552
Crook,PRECINCT 05,U.S. House,2,REP,Greg Walden,833
Crook,PRECINCT 06,U.S. House,2,REP,Greg Walden,321
Crook,PRECINCT 07,U.S. House,2,REP,Greg Walden,146
Crook,PRECINCT 08,U.S. House,2,REP,Greg Walden,278
Crook,PRECINCT 09,U.S. House,2,REP,Greg Walden,116
Crook,PRECINCT 01,U.S. House,2,,Write-ins,0
Crook,PRECINCT 10,U.S. House,2,,Write-ins,0
Crook,PRECINCT 11,U.S. House,2,,Write-ins,0
Crook,PRECINCT 12,U.S. House,2,,Write-ins,0
Crook,PRECINCT 13,U.S. House,2,,Write-ins,0
Crook,PRECINCT 14,U.S. House,2,,Write-ins,0
Crook,PRECINCT 15,U.S. House,2,,Write-ins,0
Crook,PRECINCT 16,U.S. House,2,,Write-ins,0
Crook,PRECINCT 17,U.S. House,2,,Write-ins,0
Crook,PRECINCT 02,U.S. House,2,,Write-ins,0
Crook,PRECINCT 03,U.S. House,2,,Write-ins,0
Crook,PRECINCT 04,U.S. House,2,,Write-ins,0
Crook,PRECINCT 05,U.S. House,2,,Write-ins,0
Crook,PRECINCT 06,U.S. House,2,,Write-ins,0
Crook,PRECINCT 07,U.S. House,2,,Write-ins,0
Crook,PRECINCT 08,U.S. House,2,,Write-ins,0
Crook,PRECINCT 09,U.S. House,2,,Write-ins,0
Crook,PRECINCT 01,Governor,,PGP,Joe Keating,4
Crook,PRECINCT 10,Governor,,PGP,Joe Keating,5
Crook,PRECINCT 11,Governor,,PGP,Joe Keating,9
Crook,PRECINCT 12,Governor,,PGP,Joe Keating,1
Crook,PRECINCT 13,Governor,,PGP,Joe Keating,1
Crook,PRECINCT 14,Governor,,PGP,Joe Keating,3
Crook,PRECINCT 15,Governor,,PGP,Joe Keating,7
Crook,PRECINCT 16,Governor,,PGP,Joe Keating,3
Crook,PRECINCT 17,Governor,,PGP,Joe Keating,12
Crook,PRECINCT 02,Governor,,PGP,Joe Keating,5
Crook,PRECINCT 03,Governor,,PGP,Joe Keating,3
Crook,PRECINCT 04,Governor,,PGP,Joe Keating,4
Crook,PRECINCT 05,Governor,,PGP,Joe Keating,4
Crook,PRECINCT 06,Governor,,PGP,Joe Keating,4
Crook,PRECINCT 07,Governor,,PGP,Joe Keating,0
Crook,PRECINCT 08,Governor,,PGP,Joe Keating,4
Crook,PRECINCT 09,Governor,,PGP,Joe Keating,0
Crook,PRECINCT 01,Governor,,DEM,Ted Kulongoski,116
Crook,PRECINCT 10,Governor,,DEM,Ted Kulongoski,107
Crook,PRECINCT 11,Governor,,DEM,Ted Kulongoski,317
Crook,PRECINCT 12,Governor,,DEM,Ted Kulongoski,18
Crook,PRECINCT 13,Governor,,DEM,Ted Kulongoski,132
Crook,PRECINCT 14,Governor,,DEM,Ted Kulongoski,69
Crook,PRECINCT 15,Governor,,DEM,Ted Kulongoski,209
Crook,PRECINCT 16,Governor,,DEM,Ted Kulongoski,95
Crook,PRECINCT 17,Governor,,DEM,Ted Kulongoski,434
Crook,PRECINCT 02,Governor,,DEM,Ted Kulongoski,70
Crook,PRECINCT 03,Governor,,DEM,Ted Kulongoski,51
Crook,PRECINCT 04,Governor,,DEM,Ted Kulongoski,166
Crook,PRECINCT 05,Governor,,DEM,Ted Kulongoski,347
Crook,PRECINCT 06,Governor,,DEM,Ted Kulongoski,185
Crook,PRECINCT 07,Governor,,DEM,Ted Kulongoski,23
Crook,PRECINCT 08,Governor,,DEM,Ted Kulongoski,141
Crook,PRECINCT 09,Governor,,DEM,Ted Kulongoski,38
Crook,PRECINCT 01,Governor,,LBT,Richard Morley,9
Crook,PRECINCT 10,Governor,,LBT,Richard Morley,2
Crook,PRECINCT 11,Governor,,LBT,Richard Morley,16
Crook,PRECINCT 12,Governor,,LBT,Richard Morley,0
Crook,PRECINCT 13,Governor,,LBT,Richard Morley,5
Crook,PRECINCT 14,Governor,,LBT,Richard Morley,4
Crook,PRECINCT 15,Governor,,LBT,Richard Morley,9
Crook,PRECINCT 16,Governor,,LBT,Richard Morley,4
Crook,PRECINCT 17,Governor,,LBT,Richard Morley,19
Crook,PRECINCT 02,Governor,,LBT,Richard Morley,3
Crook,PRECINCT 03,Governor,,LBT,Richard Morley,1
Crook,PRECINCT 04,Governor,,LBT,Richard Morley,11
Crook,PRECINCT 05,Governor,,LBT,Richard Morley,4
Crook,PRECINCT 06,Governor,,LBT,Richard Morley,7
Crook,PRECINCT 07,Governor,,LBT,Richard Morley,1
Crook,PRECINCT 08,Governor,,LBT,Richard Morley,2
Crook,PRECINCT 09,Governor,,LBT,Richard Morley,1
Crook,PRECINCT 01,Governor,,REP,Ron Saxton,166
Crook,PRECINCT 10,Governor,,REP,Ron Saxton,171
Crook,PRECINCT 11,Governor,,REP,Ron Saxton,764
Crook,PRECINCT 12,Governor,,REP,Ron Saxton,51
Crook,PRECINCT 13,Governor,,REP,Ron Saxton,349
Crook,PRECINCT 14,Governor,,REP,Ron Saxton,130
Crook,PRECINCT 15,Governor,,REP,Ron Saxton,391
Crook,PRECINCT 16,Governor,,REP,Ron Saxton,297
Crook,PRECINCT 17,Governor,,REP,Ron Saxton,839
Crook,PRECINCT 02,Governor,,REP,Ron Saxton,161
Crook,PRECINCT 03,Governor,,REP,Ron Saxton,79
Crook,PRECINCT 04,Governor,,REP,Ron Saxton,460
Crook,PRECINCT 05,Governor,,REP,Ron Saxton,703
Crook,PRECINCT 06,Governor,,REP,Ron Saxton,255
Crook,PRECINCT 07,Governor,,REP,Ron Saxton,144
Crook,PRECINCT 08,Governor,,REP,Ron Saxton,262
Crook,PRECINCT 09,Governor,,REP,Ron Saxton,111
Crook,PRECINCT 01,Governor,,CON,Mary Starrett,10
Crook,PRECINCT 10,Governor,,CON,Mary Starrett,14
Crook,PRECINCT 11,Governor,,CON,Mary Starrett,28
Crook,PRECINCT 12,Governor,,CON,Mary Starrett,0
Crook,PRECINCT 13,Governor,,CON,Mary Starrett,19
Crook,PRECINCT 14,Governor,,CON,Mary Starrett,9
Crook,PRECINCT 15,Governor,,CON,Mary Starrett,35
Crook,PRECINCT 16,Governor,,CON,Mary Starrett,17
Crook,PRECINCT 17,Governor,,CON,Mary Starrett,68
Crook,PRECINCT 02,Governor,,CON,Mary Starrett,10
Crook,PRECINCT 03,Governor,,CON,Mary Starrett,7
Crook,PRECINCT 04,Governor,,CON,Mary Starrett,27
Crook,PRECINCT 05,Governor,,CON,Mary Starrett,3
Crook,PRECINCT 06,Governor,,CON,Mary Starrett,13
Crook,PRECINCT 07,Governor,,CON,Mary Starrett,9
Crook,PRECINCT 08,Governor,,CON,Mary Starrett,14
Crook,PRECINCT 09,Governor,,CON,Mary Starrett,2
Crook,PRECINCT 01,Governor,,,Write-ins,0
Crook,PRECINCT 10,Governor,,,Write-ins,0
Crook,PRECINCT 11,Governor,,,Write-ins,0
Crook,PRECINCT 12,Governor,,,Write-ins,0
Crook,PRECINCT 13,Governor,,,Write-ins,0
Crook,PRECINCT 14,Governor,,,Write-ins,0
Crook,PRECINCT 15,Governor,,,Write-ins,0
Crook,PRECINCT 16,Governor,,,Write-ins,0
Crook,PRECINCT 17,Governor,,,Write-ins,0
Crook,PRECINCT 02,Governor,,,Write-ins,0
Crook,PRECINCT 03,Governor,,,Write-ins,0
Crook,PRECINCT 04,Governor,,,Write-ins,0
Crook,PRECINCT 05,Governor,,,Write-ins,0
Crook,PRECINCT 06,Governor,,,Write-ins,0
Crook,PRECINCT 07,Governor,,,Write-ins,0
Crook,PRECINCT 08,Governor,,,Write-ins,0
